# Chapter 1 continuation: the Yurihime certification
「では、第一問！\nユリヒメのバイト先のお店の名前は？」	“那么，第一问！\n百合姬打工的店叫什么名字？”
「最高にして<ruby=ゆいいつむに>唯一無二</ruby>のレベル<ruby=ファイブ>５</ruby>。\nだからこそソードブレイカー・<ruby=べにほむら>紅焔</ruby>の<ruby=しんうち>真打</ruby>の\n<ruby=けいしょうしゃ>継承者</ruby>に選ばれたんだ。」	“最高、也是<ruby=ゆいいつむに>世上唯一</ruby>的等级<ruby=ファイブ>5</ruby>。\n正因为如此，她才被选为破剑者·<ruby=べにほむら>红焰</ruby>的<ruby=しんうち>真品</ruby>，\n并成为<ruby=けいしょうしゃ>继承者</ruby>。”
「せ……<ruby=せいかい>正解</ruby>……っ。\nぜ、<ruby=ぜんもん>全問</ruby>……<ruby=せいかい>正解</ruby>……っ。」	“答……<ruby=せいかい>对</ruby>……\n全、<ruby=ぜんもん>部</ruby>……<ruby=せいかい>答对</ruby>了……”
「ユリヒメ<ruby=けんていじゅんにきゅう>検定準二級</ruby>……合格。\nま、間違いない……。こいつは川島ユート……\nユリヒメの<ruby=イトコ>従弟</ruby>で間違いないわ……。」	“百合姬<ruby=けんていじゅんにきゅう>鉴定准二级</ruby>……合格。\n不、不会错……这家伙就是川岛悠斗……\n百合姬的<ruby=イトコ>表弟</ruby>，绝对没错……”
「……………へえ。」	“………………哦。”
「す、すごいです……。\nオートマタの姿をしたまま\n自分自身を証明してしまうなんて…。」	“太、太厉害了……\n居然能保持自动人偶的外表，\n证明自己就是自己……”
「コイツ……タダモノではナイ…！」	“这家伙……绝非等闲之辈……！”
「ふっ。当然だ。\n俺はユリ姉の事なら何でも知っている。」	“哼，那是当然。\n只要是百合姐的事，我无所不知。”
「うわー。何かキメ顔で決めてるッスけど\n普通に重度のシスコン過ぎてキモいんスけど。」	“哇，摆出一副帅气表情说得煞有介事，\n其实就是重度姐控，恶心得不行。”
「あちゃー。これはストーカー被害の事例ですねえ。」	“哎呀呀，这已经是跟踪骚扰受害案例了呢。”
「なかなか面白いものを見せてもらったわ。\nこれは私も認めざるを得ないわね。\n川島ユートさん。」	“你让我看了一场相当有趣的表演。\n这下我也不得不承认了，\n川岛悠斗先生。”
「だから、最初から言ってるだろ。\n俺が真の川島ユートだってな。」	“所以我不是从一开始就说了吗？\n我才是真正的川岛悠斗。”
「けれど、あなたが本物の川島さんだとしても\n私の要求は何一つ変わらない。」	“不过，就算你是真正的川岛先生，\n我的要求也不会有任何改变。”
「はて？要求ってなんでしたっけ？」	“咦？你的要求是什么来着？”
「おい。<ruby=とりあたま>鳥頭</ruby>。何忘れてんだ。」	“喂，你这<ruby=とりあたま>鸟脑袋</ruby>，忘了什么呢。”
「私は<ruby=いかるがけいさつ>斑鳩警察</ruby>に要求した。\nウチの娘、サツキを<ruby=たぶら>誑</ruby>かす<ruby=やから>輩</ruby>を始末せよ、と。」	“我向<ruby=いかるがけいさつ>斑鸠警察</ruby>提出的要求是：\n把<ruby=たぶら>蛊惑</ruby>我女儿皋月的<ruby=やから>家伙</ruby>处理掉。”
「その中身が川島ユートだろうと\n研究所を脱走したフェイリクスであろうと\n関係無い。」	“无论那具身体里的是真正的川岛悠斗，\n还是从研究所逃走的费利克斯，\n都没有关系。”
「ウチの娘に手を出したものは等しく<ruby=きょっけい>極刑</ruby>。\n<ruby=そっこく>即刻</ruby>、首を切り落とすべし。」	“胆敢对我女儿出手的人，一律<ruby=きょっけい>处以极刑</ruby>。\n<ruby=そっこく>立即</ruby>斩首。”
「って、結局フェイリクス殺すんかーい！\nそいつ俺の身体ぁー！\n今までのやり取りなんだったんだよ！」	“结果还是要杀费利克斯吗！\n那可是我的身体啊！\n我们刚才说那么多到底有什么意义！”
「マスターの命令ゼッタイ！」	“主人命令绝对服从！”
「ミナトお嬢様を<ruby=ろうらく>篭絡</ruby>した罪は重い…。\n残念ですがここは<ruby=しざい>死罪</ruby>で<ruby=てう>手打</ruby>ちとしましょう…。」	“<ruby=ろうらく>蛊惑</ruby>凑大小姐，罪行重大……\n很遗憾，只能以<ruby=しざい>死罪</ruby><ruby=てう>了结</ruby>此事了……”
「<ruby=さみだれけとうしゅ>五月雨流当主</ruby>のご命令とあらば\n<ruby=いかるがけいさつ>斑鳩警察</ruby>としては受けざるを得ないですからねえ。」	“既然是<ruby=さみだれけとうしゅ>五月雨流当主</ruby>下令，\n<ruby=いかるがけいさつ>斑鸠警察</ruby>也不得不照办啊。”
「いやいや！フェイリクス殺したら\n俺はどうやって元の身体に戻るんだよ！」	“不不不！杀了费利克斯，\n我还怎么回到原来的身体啊！”
「これからはメカワシマとして\n第二の人生を歩んで行きましょう。」	“今后就以机械川岛的身份，\n开启第二人生吧。”
「だ、大丈夫よユート！\n結構、その<ruby=い>出</ruby>で<ruby=た>立</ruby>ち似合ってるよ？」	“没、没关系，悠斗！\n你这身<ruby=い>装</ruby><ruby=た>扮</ruby>其实挺合适的？”
「全然大丈夫じゃねえ！\nお前らいい加減にしろ！\n命を粗末にするんじゃねえ！」	“哪里没关系了！\n你们都给我适可而止！\n别把人命当儿戏！”
「では、川島さん。\nあなたは一体どうしろと言うのかしら。\nフェイリクスを殺す以外に何か手があるとでも？」	“那么，川岛先生，\n你说究竟该怎么办？\n难道除了杀掉费利克斯，你还有别的办法？”
「手はある！\n―――――それは、<ruby=たいわ>対話</ruby>だ！」	“当然有办法！\n————那就是<ruby=たいわ>对话</ruby>！”
「………、<ruby=たいわ>対話</ruby>、ですか？」	“………<ruby=たいわ>对话</ruby>？”
「相手は研究所を脱走した廃棄予定のオートマタ。\nウチの娘を含めた大勢の人間を洗脳している。\n話し合いに応じるとはとても思えないけれど。」	“对方是从研究所逃出来、原本预定废弃的自动人偶。\n它还洗脑了包括我女儿在内的大批人类。\n我实在不认为它会愿意坐下来谈判。”
「対話をするのはフェイリクスじゃねぇ。\nフェイリクスが洗脳した人質達。\nつまりユリ姉達だ！」	“要对话的不是费利克斯。\n而是被费利克斯洗脑的人质，\n也就是百合姐她们！”
「ユリヒメを…！？」	“和百合姬……！？”
「ミナトお嬢様を<ruby=せっとく>説得</ruby>するというのですか…？」	“你是说要<ruby=せっとく>说服</ruby>凑大小姐……？”
「何故この期に及んでサツキを説得しろというの？\n娘達はフェイリクスに洗脳されているのではなくて？」	“事到如今，为什么还要我们去说服皋月？\n她们不是都被费利克斯洗脑了吗？”
「フェイリクスは川島ユートに化けている。\nだが、本物の俺はここに居る。」	“费利克斯伪装成了川岛悠斗。\n但真正的我就在这里。”
「つまり、ユリ姉達に奴が偽物だと説明すれば\n真実が明らかになり洗脳が解けるかもしれねぇ。」	“也就是说，只要向百合姐她们说明那家伙是假货，\n真相就可能大白，洗脑也可能随之解除。”
「……洗脳によって川島ユートに\n好意を抱くように操作されていた。\nけれど、その前提が覆れば洗脳条件が解除される…と。」	“……她们是受洗脑影响，才会对川岛悠斗产生好感。\n但只要这个前提被推翻，\n洗脑的条件就会解除……是这个意思吧。”
「なるほど…！やってみる価値はありそうね！」	“原来如此……！确实值得一试！”
「私、お嬢様を説得したいです！\n川島ユートはお嬢様のパートナーにふさわしくないと\n気付かせてあげるのです！」	“我想去说服大小姐！\n我要让她明白，川岛悠斗\n根本配不上她！”
「何かその言い口だとすげー複雑な気分なんだが……。」	“你这说法听得我心情相当复杂……”
「まぁ、実際甲斐性無しの川島さんは\n事故物件なのでやめておいた方がいいとは思うッスよ。」	“不过说真的，川岛先生既没本事又是个麻烦人物，\n我也觉得还是放弃比较好。”
「あれ？ノヴァ？\nお前、俺に惚れてるんじゃなかったっけ？\n何でそんな事言うのかな？」	“咦？诺瓦？\n你不是喜欢我吗？\n怎么会说这种话？”
「おやおや。<ruby=にぶ>鈍</ruby>いですねえ川島さんは。\nノヴァさんは川島さんを\n他の女の子に取られたくないのですよ。」	“哎呀呀，川岛先生还真是<ruby=にぶ>迟钝</ruby>。\n诺瓦女士只是不想让川岛先生\n被别的女孩抢走罢了。”
「だから、ああやってツンデレな……」	“所以她才会那样口是心非……”
「いったぁ～い！\nなんでいきなり蹴るんですかぁ！\nノヴァさん！」	“好痛～！\n为什么突然踢我啊！\n诺瓦女士！”
「うるせえ。黙れよ。\n天道。」	“吵死了，闭嘴。\n天道。”
「ちょっと皆さん！見ました！？\nこのシスター、暴力を振るったんですよ！？」	“各位！你们看到了吗！？\n这个修女刚才动手打人了！”
「ドンマイ。テンドー。」	“别在意，天道。”
「で、どうだい？\nユリ姉達の説得、やってみないか？」	“怎么样？\n要不要试着去说服百合姐她们？”
「あなたに従うのは気に入らないけど、\nサツキの真意を<ruby=みきわ>見極</ruby>めたいところだし。\nその話、乗るとしましょうか。」	“虽然我不喜欢听你的指挥，\n但我也想<ruby=みきわ>看清</ruby>皋月的真实想法。\n这件事就按你说的办吧。”
「ええ！是非！\nミナトお嬢様を説得してみせますとも！」	“当然！求之不得！\n我一定会说服凑大小姐！”
「よーし！行こう！\nユリヒメの目を覚ましてあげるんだから！」	“好！出发！\n我要让百合姬清醒过来！”
「よし！決まりだな！\nいっちょやってやろうぜ！」	“好，就这么定了！\n咱们大干一场吧！”
「話は決まったようですね。」	“看来已经决定了。”
「それでは皆さん！\nいざフェイリクスの待つ敵地へ！」	“那么，各位！\n现在就向费利克斯所在的敌阵进发！”
「<ruby=とつげき>突撃</ruby>！<ruby=きんきゅうほごしゃさんかん>緊急保護者参観</ruby>！」	“<ruby=とつげき>突击</ruby>！<ruby=きんきゅうほごしゃさんかん>紧急家长参观</ruby>！”
