# Chapter 1 continuation: challenged by the Card Hunter
「いやー。今日は大勝利でしたなぁ。」	“哎呀——，今天真是大获全胜。”
「いいでしょう。\nただし、自分が勝ったら『<ruby=こんぱくゆうごう>魂魄融合</ruby>』を頂くッスよ。」	“可以。\n但如果我赢了，就要拿走你的《<ruby=こんぱくゆうごう>魂魄融合</ruby>》。”
「どうせ持ってるんでしょう？\n<ruby=デュエリスト>決闘者</ruby>から奪ったカードを。」	“反正你手里肯定有吧？\n从<ruby=デュエリスト>决斗者</ruby>那里抢来的卡。”
「ふっ。勘がいいな。\n<ruby=ごめいさつ>御明察</ruby>だ。」	“哼，直觉很敏锐嘛。\n<ruby=ごめいさつ>正如你所料</ruby>。”
「いいだろう。\nお前が勝ったら俺の『<ruby=こんぱくゆうごう>魂魄融合</ruby>』をくれてやる。」	“好吧。\n如果你赢了，我的《<ruby=こんぱくゆうごう>魂魄融合</ruby>》就归你。”
「ふんっ。\nこんなカード、俺は３６枚は持ってるよ。」	“哼。\n这种卡，我手里足足有三十六张。”
「さ、３６枚…っ！？\n一枚５０００円だから全部売ると……えーと……っ。」	“三、三十六张……！？\n一张五千日元，全部卖掉就是……我算算……”
「お、億万長者じゃねぇか…っ！\nこ、こいつやべー金持ちだぞノヴァ…っ！」	“那、那不是亿万富翁吗……！\n这、这家伙富得吓人啊，诺瓦……！”
「なんだこいつ…？\nオートマタの癖に頭悪いぞ。」	“这家伙怎么回事……？\n明明是自动人偶，脑子却这么差。”
「ちょっと。川島さん。\n我々オートマタの<ruby=ひんい>品位</ruby>を下げないで欲しいッス。」	“等一下，川岛先生。\n请你不要拉低我们自动人偶的<ruby=ひんい>格调</ruby>。”
「お前のさっきのカードショップでのやり取りで\n既にオートマタの<ruby=ひんい>品位</ruby>は地に落ちてると思うが。」	“经过你刚才在卡牌店里的那番表现，\n自动人偶的<ruby=ひんい>格调</ruby>早就跌到谷底了。”
「さあ、始めるとしようか！\nカードを賭けた闇のデュエルを！」	“来吧，开始吧！\n赌上卡牌的黑暗决斗！”
「受けてたつぜ！」	“我接受你的挑战！”
（ノヴァは謎の<ruby=こうじょう>口上</ruby>を叫ぶと、目にも止まらぬ速さで服を着替えた。）	（诺瓦喊出一段神秘的<ruby=こうじょう>开场白</ruby>后，便以肉眼难辨的速度换好了衣服。）
「え…。なんで制服に着替えたの？\n今、その<ruby=しょさ>所作</ruby>必要だった…？」	“欸……为什么要换上校服？\n刚才那番<ruby=しょさ>举动</ruby>有必要吗……？”
「待たせたな。このフォームじゃないと本気を出せないんでね。」	“久等了。不是这个形态，我就拿不出真本事。”
「なるほど！それがお前のバトルフォームという事か！\n面白い！相手にとって不足無し！」	“原来如此！那就是你的战斗形态吗！\n有意思！这样的对手才够格！”
「あ、いいんだそれで。」	“啊，这样就能接受啊。”
