# Chapter 1 continuation: Nova changes into uniform
「キモッ。」	“恶心。”
（仮にも<ruby=いかるがけいさつ>斑鳩警察</ruby>の<ruby=ふけい>婦警</ruby>が\nそんなあざとい真似をするなど\nまったくけしからんな。）	（堂堂<ruby=いかるがけいさつ>斑鸠警察</ruby>的<ruby=ふけい>女警</ruby>，\n居然做出这种故意卖萌的举动，\n实在不像话。）
「うむ。上出来だ。\nなかなか可愛いぞ。」	“嗯，很不错。\n相当可爱。”
（俺は<ruby=そっちょく>率直</ruby>な評価を<ruby=くだ>下</ruby>す。）	（我<ruby=そっちょく>坦率</ruby>地<ruby=くだ>作出</ruby>评价。）
「おや。ツンデレの川島さんが\n意外にも素直な感想を。\nこれはノヴァちゃんにデレちゃったかなー？」	“哦？傲娇的川岛先生\n意外给出了坦率的感想。\n这是对诺瓦敞开心扉了吗——？”
「まぁな。」	“算是吧。”
「おお。ド直球に来ましたな。」	“哦哦，竟然打了一记直球。”
（俺のストレートな返答に\n珍しく目を丸くするノヴァ。）	（面对我直截了当的回答，\n诺瓦难得惊讶地睁大眼睛。）
（実際、先日のデートイベントで\n俺のノヴァへの好感度は上がっている。）	（事实上，经过前几天的约会事件，\n我对诺瓦的好感度已经提升。）
（悔しいがノヴァの警官姿は\nあざと可愛い。どうやら俺も徐々にノヴァの\n魅力に気付きつつあるらしい。）	（虽然很不甘心，但诺瓦的警察造型\n确实可爱得刻意。看来我也在逐渐\n注意到诺瓦的魅力。）
（だ、だが俺にはユリ姉が…っ！\nい、一体俺はどうすればいいんだ…っ！）	（可、可是我还有百合姐……！\n我、我究竟该怎么办……！）
「うぐ…っ。ぐぐぐ…っ。\nぐぬぬぬ……っ！」	“呜……咕咕咕……\n唔唔唔……”
「川島さん。\nなんか腕組みながら<ruby=うな>唸</ruby>ってますね。」	“川岛先生抱着手臂，\n好像一直在<ruby=うな>低声呻吟</ruby>。”
「ユリせんせー<ruby=ひとすじ>一筋</ruby>だった川島さんが\nノヴァちゃんの小悪魔的可愛さに気付き\n両者を<ruby=てんびん>天秤</ruby>に掛けて<ruby=かっとう>葛藤</ruby>しているのです。」	“曾经对百合老师<ruby=ひとすじ>一心一意</ruby>的川岛先生，\n发现了诺瓦小恶魔般的可爱，\n正在把两人放上<ruby=てんびん>天平</ruby>，陷入<ruby=かっとう>纠结</ruby>。”
「はあ。なんだか大変なんですねえ。」	“哈，感觉很辛苦呢。”
