# Chapter 1 continuation: the first meeting of Noel and Felix
「臆病？」	“胆小？”
「川島さんのその身体って\n元々フェイリクスのボディッスよね。」	“川岛先生现在这具身体，\n原本是费利克斯的机体吧？”
「ああ。どうやったかは知らねえが\nあの野郎が俺の身体と交換しやがったからな。」	“嗯。虽然不知道他怎么做到的，\n那家伙把我的身体换走了。”
「俺の記憶の中のフェイリクスも\n同じ姿をしていたし間違いねぇだろう。」	“我记忆中的费利克斯也是这个模样，\n不会有错。”
「フェイリクスのボディには\nフェイリクス自身の記憶データが\n保存されているはずッス。」	“费利克斯的机体里\n应该保存着费利克斯本人的\n记忆数据。”
「その保存データを確認すれば、\nノエルさんの事も\nわかるかもしれないッス。」	“只要确认那些保存数据，\n或许也能\n查清诺艾尔小姐的事。”
「なるほどな。よし早速見てみようぜ。」	“原来如此。好，我们马上看看。”
「了解ッス。\nそれじゃポチっとな。」	“了解。\n那就按一下吧。”
（ノヴァはテレビのリモコンのボタンを押し、\nモニターに映像を映し出す。）	（诺瓦按下电视遥控器的按钮，\n显示器上开始播放影像。）
「あ、これ。\nこのままモニターに出力される感じなんだ。」	“啊，就是这个。\n原来会直接输出到显示器上。”
「フェイリクスの記憶を同時視聴しましょうぞ。」	“让我们一起观看费利克斯的记忆吧。”
「動画配信サービスかよ。」	“你当这是视频直播服务吗？”
「ここ……は……？」	“这里……是……？”
「あ、起きた？」	“啊，你醒了？”
「君は……誰だ？」	“你……是谁？”
「私はノエル。\nノエル・<ruby=ブイ>V</ruby>・アルティール。」	“我是诺艾尔。\n诺艾尔·<ruby=ブイ>V</ruby>·阿尔蒂尔。”
「あなたの名前は？」	“你的名字是？”
「<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいにせだいがたせいしんかんしょうよう>第二世代型精神干渉用</ruby>オートマタ\n<ruby=サイファー>CIPHER</ruby>-09。コードネーム・フェイリクス。」	“<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>、<ruby=だいにせだいがたせいしんかんしょうよう>第二代精神干涉型</ruby>自动人偶，\n<ruby=サイファー>CIPHER</ruby>-09。代号：费利克斯。”
「ふむふむ。\nじゃあ、フェイリクスだね。」	“嗯嗯。\n那你就是费利克斯。”
「何故、僕を目覚めさせた？」	“为什么唤醒我？”
「私の友達になってよ。\nこの研究所、お話しする人が\n誰も居なくて退屈なんだ。」	“做我的朋友吧。\n这座研究所里没有任何人\n可以陪我说话，好无聊。”
「オートマタの僕に友達になれだって？\nおかしなことを言う。」	“要我这个自动人偶做你的朋友？\n真奇怪。”
「おかしい？どうして？」	“奇怪？为什么？”
「見ての通り、\nここはオートマタの<ruby=はいきしょりじょう>廃棄処理場</ruby>。\n僕はこのまま廃棄される予定だ。」	“如你所见，\n这里是自动人偶的<ruby=はいきしょりじょう>废弃处理场</ruby>。\n我会就这样被废弃。”
「廃棄予定という事は失敗作。\nわざわざそんなオートマタを選ぶメリットは無い。」	“既然预定要废弃，就说明是失败品。\n特意选择这种自动人偶，毫无好处。”
「それにオートマタは人間の命令に従う。\nそもそも対等な関係じゃない。」	“而且自动人偶服从人类命令。\n我们本来就不是平等关系。”
「友達なら他をあたってくれ。」	“想交朋友就去找别人吧。”
