# Chapter 1 continuation: the guardians confront Ikaruga Police
「いやー。お待たせしてすみません。\n保護者の皆様……、」	“哎呀，让各位久等了，实在抱歉。\n各位家长……”
「だからこそ、真田警部は\nフェイリクスの件を\n一刻も早く片づけたいんスよねー。」	“正因如此，真田警部才想\n尽快把费利克斯这件事\n处理掉吧。”
（何やらノヴァと天道がひそひそと話している。\n盾守は斑鳩警察と何か関係があるのか…？）	（诺瓦和天道不知在窃窃私语些什么。\n盾守和斑鸠警察之间有什么关系吗……？）
「ぎょええええ～～～っ！！」	“咿呀啊啊啊～～～！！”
「五月雨流当主であるこの私を放っておいて\n<ruby=だんしょう>談笑</ruby>とは随分と余裕ね。斑鳩警察官さん？」	“把身为五月雨流当主的我晾在一旁，\n还有闲心<ruby=だんしょう>谈笑</ruby>，真从容啊，斑鸠警官？”
「ちょっとあんた！\n私達をこんなところに閉じ込めておいて\n随分雑な扱いしてくれるじゃない！」	“喂，你这家伙！\n把我们关在这种地方，\n还敢这么敷衍我们！”
「あんまり調子乗ってると\nカグヤちゃんがあんたの首を切り落とすわよ！」	“再敢得意忘形，\n辉夜酱会把你的脑袋砍下来哦！”
「そんな<ruby=せっしょう>殺生</ruby>な…！」	“别这么<ruby=せっしょう>残忍</ruby>啊……！”
「リサさん。\nだからカグヤちゃんという呼び方は\n止めてもらいたいのだけど。」	“莉莎小姐。\n我说过了，能不能别再\n叫我辉夜酱。”
「なんでー？可愛いのに。」	“为什么？明明很可爱嘛。”
「……はあ。」	“……唉。”
「お嬢様が…！ミナトお嬢様が\n今大変な事になっているのです…！」	“大小姐……！凑大小姐她\n现在正遭逢大难……！”
「いつものクールでストイックな\nミーちゃ……ミナトお嬢様とはまるで様子が違う。」	“她和平日冷静又严于律己的\n小凑……凑大小姐简直判若两人。”
「まるでアオハルが来たかような\nキャピキャピした恋愛脳に\n汚染されてしまっているのです…！」	“仿佛突然迎来了青春期，\n整个人都被雀跃浮躁的恋爱脑\n污染了……！”
「それもこれも\n突如現れた川島ユートとかいう輩に\n<ruby=ろうらく>篭絡</ruby>されたせいなのです…！」	“这一切全是因为\n她被那个突然冒出来、名叫川岛悠斗的家伙\n<ruby=ろうらく>蛊惑</ruby>了……！”
「そうよそうよ！ユリヒメもユートにゾッコン状態で\nデレデレしちゃってさ！バイトのシフトも\nすっぽかすようになっちゃったし！」	“没错没错！百合姬也被悠斗迷得神魂颠倒，\n整天一副甜腻腻的模样！现在连酒吧排班\n都会直接放鸽子了！”
「まぁ、ユートってばユリヒメの弟だから\nちょっと甘く見てやろうかなと思ってたんだけど、」	“悠斗毕竟是百合姬的弟弟，\n我本来还想稍微对他宽容一点，可是……”
「まさかの２股３股４股と！\nユリヒメだけならいざ知らず\n他の女の子も入れ食い状態じゃないの！」	“没想到他居然脚踏两条、三条、四条船！\n光有百合姬还不够，\n其他女孩也一个接一个地上钩！”
「あのクズ野郎！絶対許さないんだから！」	“那个混账！我绝对饶不了他！”
「ええ。聞けばサツキも\nその川島ユートとかいうどこの馬の骨かも\nわからない男に夢中な様子。」	“是啊。听说皋月也迷上了\n那个名叫川岛悠斗、\n不知从哪里冒出来的男人。”
「おかげで毎日のように<ruby=もんげん>門限</ruby>を破って\n外で遊び歩いている。これもサツキに\n変な遊びを教えたあの男の影響かしらね。」	“害得她几乎每天都违反<ruby=もんげん>门禁</ruby>，\n在外面四处玩乐。大概也是那个男人\n教会了皋月那些乱七八糟的玩法吧。”
「まさか<ruby=じきさみだれけとうしゅ>次期五月雨流当主</ruby>であるウチの娘を\n<ruby=たぶら>誑</ruby>かす命知らずの<ruby=やから>輩</ruby>が現れるなんてね。\n怒りを通り越して呆れてものが言えないわ。」	“竟有人敢对我这个<ruby=じきさみだれけとうしゅ>下任五月雨流当主</ruby>的女儿\n出手<ruby=たぶら>诱骗</ruby>，真是个不要命的<ruby=やから>家伙</ruby>。\n我已经气过头，简直无话可说了。”
（うわー……。\nフェイリクスが俺の身体をパクってるせいで\n完全に俺が<ruby=ふうひょうひがい>風評被害</ruby>に遭ってるじゃねぇか…！）	（我的天……\n就因为费利克斯抢了我的身体，\n我的名声彻底遭了<ruby=ふうひょうひがい>无妄之灾</ruby>啊……！）
（クソ…ッ！まさかあの野郎！\n俺の姿で<ruby=あくじ>悪事</ruby>を働くことによって\n俺の評判を<ruby=おとし>貶</ruby>める作戦だったのか…ッ！）	（可恶……！难道那个混蛋的计划，\n就是用我的模样干尽<ruby=あくじ>坏事</ruby>，\n借此<ruby=おとし>败坏</ruby>我的名声吗……！）
（ちくしょう…ッ！\nなんて<ruby=こしゃく>小癪</ruby>な野郎なんだ…ッ！）	（混账……！\n真是个<ruby=こしゃく>可恨</ruby>的家伙……！）
「斑鳩警察さん。\n私の娘に手を出した川島ユートという<ruby=がいちゅう>害虫</ruby>。\n<ruby=そっこくしまつ>即刻始末</ruby>して頂けるかしら？」	“斑鸠警察。\n那个对我女儿出手、名叫川岛悠斗的<ruby=がいちゅう>害虫</ruby>，\n可以请你们将他<ruby=そっこくしまつ>就地处决</ruby>吗？”
「ええ～っ。<ruby=あんさついらい>暗殺依頼</ruby>ですかぁ…っ。\nはあ…。仕方ないですねぇ…。」	“什么～？这是<ruby=あんさついらい>暗杀委托</ruby>吗……\n唉……那也没办法了……”
（カグヤの<ruby=あつ>圧</ruby>に<ruby=くっ>屈</ruby>した天道はYESマンになり\nやれやれと言いながら\nフェイリクスを始末しようとする。）	（天道不敌辉夜的<ruby=あつ>威压</ruby>，<ruby=くっ>屈服</ruby>后成了应声虫，\n一边无奈地叹气，\n一边准备去处决费利克斯。）
（あれ？ちょっと待って？\nフェイリクスを始末したら\n俺が元の身体に戻れなくね？）	（咦？等一下？\n要是把费利克斯处决了，\n我不就回不到原来的身体了吗？）
「ちょっと待てぇえ～～！！\n始末反対！ダメ絶対！\n警察が命を<ruby=そまつ>粗末</ruby>にするんじゃねええーー！」	“给我等一下啊啊～～！！\n反对处决！绝对不行！\n警察怎么能<ruby=そまつ>轻贱</ruby>生命啊啊——！”
「普通に逮捕して罪を償わせろ！\nいくらなんでも<ruby=そうけい>早計</ruby>過ぎるだろッ！」	“正常逮捕他，让他赎罪不就行了！\n再怎么样也太<ruby=そうけい>草率</ruby>了吧！”
「あら？何かしらこの<ruby=からくりにんぎょう>機巧人形</ruby>は？\n人間様に<ruby=ものもう>物申</ruby>すだなんて\n自分の立場をわかっていないようね。」	“哎呀？这个<ruby=からくりにんぎょう>机巧人偶</ruby>是怎么回事？\n竟敢对人类大人<ruby=ものもう>说三道四</ruby>，\n看来还不清楚自己的身份。”
「なんなのよアンター！口答えするんじゃないわよ！」	“你算什么东西！不许顶嘴！”
「ユートはユリヒメの心を<ruby=もてあそ>弄</ruby>んでるのよ！\nそんな<ruby=ゆうちょう>悠長</ruby>な事言ってられないわよ！」	“悠斗正在<ruby=もてあそ>玩弄</ruby>百合姬的感情！\n哪还有工夫说这种<ruby=ゆうちょう>悠哉</ruby>的话！”
「そうです！一刻も早くミナトお嬢様を\n川島ユートの魔の手から\n解放させてあげなければ…！」	“正是！必须尽快将凑大小姐\n从川岛悠斗的魔掌中\n解救出来……！”
「ソウダソウダー！コロセー！\nヤッチマエー！」	“就是就是！杀了他！\n干掉他！”
（何なんだこいつらは…！\n口を開けば始末だの殺せだのなんだの…！\nなんて<ruby=ぶっそう>物騒</ruby>な奴らなんだ…！）	（这帮家伙到底怎么回事……！\n张口闭口就是处决、杀人……！\n未免也太<ruby=ぶっそう>危险</ruby>了吧……！）
（こいつらには<ruby=りんりかん>倫理観</ruby>ってモンがねぇのか…！？）	（她们就没有所谓的<ruby=りんりかん>伦理观</ruby>吗……！？）
「おい！いい加減に…っ！」	“喂！你们适可而止……”
「―――――――皆さん、<ruby=せいしゅく>静粛</ruby>に。」	“——————各位，请<ruby=せいしゅく>肃静</ruby>。”
「罪を憎んで人を憎まず。\n神は言っています。\n川島ユートは裁かれるべきだと。」	“憎其罪，不憎其人。\n神明有言：\n川岛悠斗应当接受审判。”
「あ……あなたは！」	“你……你是！”
「シスター・ノヴァ！」	“诺瓦修女！”
「……は？シスター・ノヴァ？」	“……哈？诺瓦修女？”
「ここは神聖なる教会。\n迷える<ruby=こひつじ>子羊<</ruby>よ。怒りを<ruby=しず>鎮</ruby>めてください。」	“此处是神圣的教会。\n迷途的<ruby=こひつじ>羔羊<</ruby>啊，请<ruby=しず>平息</ruby>你们的怒火。”
「……この部屋のどこが教会だ。」	“……这房间哪里像教会了。”
「ははー！シスター！\nこれは失礼をいたしましたー！」	“遵命！修女大人！\n方才真是失礼了！”
「シスターの前でこのような<ruby=そそう>粗相</ruby>を…！\n本当に申し訳ありません…！」	“竟在修女大人面前做出这般<ruby=そそう>失态</ruby>之举……！\n实在万分抱歉……！”
（何故かリサとステラがエセシスターの前に\nひれ伏した。）	（不知为何，莉莎和斯黛拉竟在这个冒牌修女面前\n跪伏了下来。）
「わかればよいのです。\nさあ、顔を上げてください。」	“知错便好。\n来，请抬起头吧。”
「ははー！」	“遵命！”
「なんと<ruby=もったい>勿体</ruby>ないお言葉…！」	“这话实在令我<ruby=もったい>受宠若惊</ruby>……！”
「あらシスターさん。\nその二人の怒りを鎮めても\n私の怒りは収まってないわよ？」	“哎呀，修女小姐。\n就算你平息了她们两人的怒火，\n我的怒气可还没消呢。”
「私の娘、サツキを<ruby=たぶら>誑</ruby>かす犯罪者。\n川島ユートは<ruby=きょっけい>極刑</ruby>に<ruby=しょ>処</ruby>す。\nそれは決定事項で絶対に揺るがないわ。」	“<ruby=たぶら>诱骗</ruby>我女儿皋月的罪犯，川岛悠斗，\n必须以<ruby=きょっけい>极刑</ruby><ruby=しょ>处置</ruby>。\n此事已经决定，绝无更改。”
（やべーぞ。サツキの母親。\n完全にフェイリクスを殺そうとしてやがる。\n……俺の身体なのに！）	（糟了，皋月她妈\n是真的打算杀掉费利克斯。\n……那明明是我的身体啊！）
「わかりました。川島ユートへの\nカグヤさんの抑えようのない怒り。\nこの怒りを簡単に鎮める事は出来ないと。」	“我明白了。辉夜女士对川岛悠斗的怒火\n已然无法遏制，\n绝非三言两语便能平息。”
「ふふっ。だから殺す。始末する。\n川島ユートを。」	“呵呵，所以我要杀了他，处决他。\n处决川岛悠斗。”
（カグヤは笑みを浮かべながら手元の刀を弄ぶ。\n……何でこの人、物騒な事言いながら\nこんなに愉しそうなんだろ。怖すぎるでしょ。）	（辉夜面带微笑，把玩着手中的刀。\n……这个人说着如此可怕的话，\n为什么还能这么愉快？太吓人了吧。）
「ですが、サツキ嬢を<ruby=ろうらく>篭絡</ruby>した輩が\n川島ユートでないとしたら？」	“但是，如果<ruby=ろうらく>蛊惑</ruby>皋月小姐的家伙\n并非川岛悠斗呢？”
「………どういう事かしら？」	“………什么意思？”
「え？え？」	“咦？什么？”
「シスター様…？一体何を…？」	“修女大人……？您究竟在说什么……？”
「いいですか。落ち着いて聞いてください。」	“请各位冷静下来，听我说明。”
「あなた方の娘さんはもちろん\n聖皇学園の生徒達を洗脳しその手中に収めているのは\n川島ユートではありません。」	“将各位的女儿，以及圣皇学园的学生们洗脑、\n控制在掌心之中的人，\n并不是川岛悠斗。”
「何を言ってるのよ！シスター！\nどう見ても川島ユートじゃない！」	“你在说什么啊，修女！\n那怎么看都是川岛悠斗！”
「そうですよ！シスター様！\nあの品性の欠片も無いふざけた顔は\n川島ユートに間違いありません！」	“正是，修女大人！\n那张毫无半点品格的轻浮嘴脸，\n绝对就是川岛悠斗！”
「ソウダソウダー！\nあの間抜け面はユートダー！」	“就是就是！\n那张蠢脸就是悠斗！”
「誰の表情が間抜けでふざけてんねん。」	“你们说谁长着一张轻浮的蠢脸啊。”
（こいつら、中身がフェイリクスとはいえ\n俺の外見を好き放題言いやがる…！）	（这帮家伙，虽说里面的人是费利克斯，\n也不能这样随便糟蹋我的长相吧……！）
「シスターさん。私のサツキを<ruby=たぶら>誑</ruby>かしたのが\n川島ユートでないとしたら、\n一体誰なのかしら？」	“修女小姐。若<ruby=たぶら>诱骗</ruby>我家皋月的\n并非川岛悠斗，\n那究竟是谁？”
「<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいにせだいがたせいしんかんしょうよう>第二世代型精神干渉用</ruby>オートマタ\n<ruby=サイファー>CIPHE</ruby>R-09。コードネーム・フェイリクス。」	“<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>的<ruby=だいにせだいがたせいしんかんしょうよう>第二代精神干涉型</ruby>自动人偶，\n<ruby=サイファー>CIPHE</ruby>R-09，代号费利克斯。”
「<ruby=せんじつていこくじゅうこう>先日帝国重工</ruby>・<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>から脱走した\n廃棄予定のオートマタッス。」	“它<ruby=せんじつていこくじゅうこう>日前从帝国重工</ruby>的<ruby=せいたいこうがくけんきゅうじょ>生物工程研究所</ruby>逃脱，\n原本是预定废弃的自动人偶。”
「精神干渉……なるほど。\n聖皇学園の生徒を洗脳した手口は\n<ruby=からくりにんぎょう>機巧人形</ruby>の能力だったというわけね。」	“精神干涉……原来如此。\n也就是说，给圣皇学园学生洗脑的手段，\n正是<ruby=からくりにんぎょう>机巧人偶</ruby>自身的能力。”
「ちょっと待ってよ。シスター！\nユリヒメを誘惑し聖皇学園でハーレムを築いてる\nあの男はどうみても川島ユートじゃない！」	“等一下，修女！\n诱惑百合姬、在圣皇学园里建立后宫的\n那个男人，怎么看都是川岛悠斗啊！”
「そうですよ！ミナトお嬢様を誑かしているのは\n川島ユートその人！あの<ruby=ふうてい>風体</ruby>、見間違えるはずがありません！\n私の目は誤魔化せませんよ！」	“没错！蛊惑凑大小姐的正是\n川岛悠斗本人！那副<ruby=ふうてい>模样</ruby>，我绝不可能看错！\n休想瞒过我的眼睛！”
「確かにあの姿は\n<ruby=しょうしんめい>正真正銘</ruby>、川島ユートで間違いありません。」	“那副外表确实<ruby=しょうしんめい>千真万确</ruby>，\n就是川岛悠斗本人。”
「ですが―――――――」	“但是——————”
「―――――中身はフェイリクス。\nあれはフェイリクスが\n川島ユートの身体を乗っ取っているのです。」	“————里面却是费利克斯。\n那是费利克斯\n占据了川岛悠斗的身体。”
「………なっ！」	“………什么！”
「なんですってーーー！！？」	“你说什么——！！？”
「ソンナバカナー！」	“怎么可能！”
「いやいやいや！\n人間の身体をオートマタが乗っ取る！？\nそんなの聞いた事ないわよ！」	“不不不！\n自动人偶占据人类的身体！？\n这种事我从来没听说过！”
「そうですよ！いくら<ruby=ていこくじゅうこう>帝国重工</ruby>でも\nそんな<ruby=こうとうむけい>荒唐無稽</ruby>な事が\n出来るわけないじゃないですか！」	“就是啊！就算是<ruby=ていこくじゅうこう>帝国重工</ruby>，\n也不可能办到如此<ruby=こうとうむけい>荒诞无稽</ruby>的\n事情！”
「確かにあまりにも現実離れしていて\n信じられない事は<ruby=じゅうじゅうしょうち>重々承知</ruby>しています。」	“此事确实太过脱离现实，\n我也<ruby=じゅうじゅうしょうち>非常清楚</ruby>各位难以置信。”
「ですが、これは紛れもない事実。\n事実なのです。」	“但这毫无疑问就是事实。\n事实正是如此。”
「カグヤさん。<ruby=さみだれけとうしゅ>五月雨流当主</ruby>のあなたなら\nあの川島ユートの中身がオートマタ……\nフェイリクスである事がわかるんじゃないですか？」	“辉夜女士。身为<ruby=さみだれけとうしゅ>五月雨流当主</ruby>的你，\n应该能看出那个川岛悠斗体内的其实是自动人偶……\n也就是费利克斯吧？”
「そうなのカグヤちゃん！？」	“是真的吗，辉夜酱！？”
「だから、カグヤちゃんと呼ぶのはやめなさい。」	“都说了，不要叫我辉夜酱。”
「確かに。あの男、川島ユートの<ruby=こんぱく>魂魄</ruby>からは\n人間らしさを感じなかった。」	“确实如此。那个名叫川岛悠斗的男人，\n他的<ruby=こんぱく>魂魄</ruby>中没有半点人类的气息。”
「そう…どこか<ruby=むきしつ>無機質</ruby>な人工的な<ruby=こどう>鼓動</ruby>を感じたわ。\nあれは人間ではない。私の<ruby=さみだれりゅう>五月雨流</ruby>としての<ruby=ちょかん>直感</ruby>が\nそう<ruby=つ>告</ruby>げてくる。」	“没错……我感受到了一种<ruby=むきしつ>无机质</ruby>的人工<ruby=こどう>搏动</ruby>。\n那不是人类。身为<ruby=さみだれりゅう>五月雨流</ruby>传人的<ruby=ちょかん>直觉</ruby>\n正如此<ruby=つ>告诉</ruby>我。”
「そ、そんな……！」	“怎、怎么会……！”
「でも確かに……彼の<ruby=こんぱく>魂魄</ruby>の<ruby=しゅうはすう>周波数</ruby>は\nあまりに<ruby=きそくてき>規則的</ruby>過ぎました……。」	“不过，他的<ruby=こんぱく>魂魄</ruby><ruby=しゅうはすう>频率</ruby>确实……\n过于<ruby=きそくてき>规律</ruby>了……”
「何かの間違いかと思ったのですが\nオートマタと言われると<ruby=がてん>合点</ruby>が行く事があります…。」	“我原以为是哪里出了差错，\n但若说他是自动人偶，许多事便<ruby=がてん>说得通</ruby>了……”
「ステラちゃんまで…！」	“连斯黛拉酱也这么说……！”
「あ、私もちゃん付けなんですね。」	“啊，原来我也要被加上‘酱’啊。”
「おやおや。どうやら信じてもらえたようですねえ。\n今の川島ユートさんの中身がフェイリクスであると。」	“哎呀呀，看来各位终于相信，\n现在的川岛悠斗先生体内其实是费利克斯了。”
「それと同時にこの事件の<ruby=しゅぼうしゃ>首謀者</ruby>が\n<ruby=ていこくじゅうこう>帝国重工</ruby>・<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>から脱走した\n廃棄予定のオートマタだったという事が。」	“同时也相信了这起事件的<ruby=しゅぼうしゃ>主谋</ruby>，\n正是从<ruby=ていこくじゅうこう>帝国重工</ruby>的<ruby=せいたいこうがくけんきゅうじょ>生物工程研究所</ruby>逃脱、\n原定废弃的自动人偶。”
「あなた達が言う事はまんざら嘘でもないようね。」	“看来你们所言并非全是谎话。”
「いいでしょう。認めるとしましょうか。\nあの男は川島ユートであって川島ユートでは無い。\n似て非なるものであると。」	“好吧，我姑且承认。\n那个男人是川岛悠斗，却又并非川岛悠斗。\n只是形似，本质却截然不同。”
「ご<ruby=なっとく>納得</ruby>頂けたようですな。」	“看来各位总算<ruby=なっとく>接受</ruby>了。”
