# Chapter 1 continuation: street duel
ノヴァ／カードハンター	诺瓦／卡牌猎人
「<ruby=バーストウイングマン>烈風の火炎男</ruby>』の攻撃を無効化し破壊する！」	“使《<ruby=バーストウイングマン>烈风火焰男</ruby>》的攻击无效，并将其破坏！”
「なっ！攻撃した『<ruby=バーストウイングマン>烈風の火炎男</ruby>』が\nカウンターで破壊されたッ！？」	“什么！发动攻击的《<ruby=バーストウイングマン>烈风火焰男</ruby>》，\n竟然被反击破坏了！？”
「さらにッ！『メタル・リフレクターユニット』の第二の効果発動！\n『メタル・ソルジャー』に装着し攻撃力を二倍にする！」	“还没完！发动《金属反射组件》的第二效果！\n将其装备给《金属士兵》，攻击力翻倍！”
「『メタル・ソルジャー』の攻撃力3000……だと！？」	“《金属士兵》的攻击力变成了3000……！？”
「ククク…ッ。どうした速攻デッキとやらは。\n<ruby=いせい>威勢</ruby>よく攻撃してきたはいいが、\n既にお前のフィールドはガラ空きじゃあないか。」	“呵呵呵……所谓的速攻卡组怎么了？\n虽然刚才<ruby=いせい>气势汹汹</ruby>地发动攻击，\n可你的场上已经空无一物了。”
「クッ…ッ！自分は場に2枚カードを伏せ、\nターンエンドッス！」	“唔……！我在场上盖放两张卡，\n回合结束！”
（なんかよくわからんが、\nノヴァが相手のカウンターを喰らって\nピンチな状況らしい。）	（虽然我完全没看明白，\n但诺瓦似乎吃了对方一记反击，\n正陷入危机。）
（っていうか、この人達。\n立ちながらカードを地面にメンコみたいに叩きつけてますけど\nスタンディングデュエルってこーゆー感じなの？）	（话说，这两个人\n站着把卡牌像拍纸片一样往地上摔，\n所谓站立式决斗就是这样吗？）
（なんかアニメだと腕に付けた盤にカード差したり\n<ruby=ソリッドビジョン>立体映像</ruby>で迫力あるモンスターが飛び出したり\nしてたけど、）	（我记得动画里会把卡插进戴在手臂上的决斗盘，\n还有气势十足的怪兽从<ruby=ソリッドビジョン>立体影像</ruby>中跃出来，\n可是现在，）
（<ruby=しゅうし>終始</ruby>、地面にカード置いて叫び合ってるだけだから\n<ruby=めちゃくちゃえづら>滅茶苦茶絵面</ruby>が地味なんだよなぁ。）	（他们<ruby=しゅうし>从头到尾</ruby>都只是在地上摆卡，互相大喊，\n<ruby=めちゃくちゃえづら>整个画面</ruby>实在朴素得要命。）
（デュエルしてる本人達は楽しそうだから別にいいんだけど。）	（不过决斗的两个人看起来很开心，也就无所谓了。）
「俺のターン！ドロー！」	“我的回合！抽卡！”
「俺は手札から『メタル・バリスタ―』を召喚！」	“我从手牌召唤《金属弩炮》！”
「『メタル・バリスタ―』の効果発動ッ！\n『メタル・バリスタ―』と『メタル・ソルジャー』の\n2体を墓地に送り合体ッ！」	“发动《金属弩炮》的效果！\n将《金属弩炮》和《金属士兵》\n两只怪兽送入墓地，合体！”
「『メタル・ファランクス』を特殊召喚ッ！」	“特殊召唤《金属方阵》！”
「攻撃力4000…！？」	“攻击力4000……！？”
「おっと、まだこんなもんじゃないぜッ！\n『メタル・リフレクターユニット』を『メタル・ファランクス』に装着し\n攻撃力２倍だッ！」	“喂，这还远远没有结束！\n将《金属反射组件》装备给《金属方阵》，\n攻击力翻倍！”
「な、なにィ…ッ！？\n攻撃力8000だと…っ！？」	“什、什么……！？\n攻击力8000……！？”
「ククク…ッ！\n『メタル・ファランクス』の一撃で\nお前の命を刈り取る事が出来る攻撃力だ…ッ！」	“呵呵呵……！\n这个攻击力足以让《金属方阵》\n一击收割你的性命……！”
「これで終わりだッ！\n『メタル・ファランクス』でダイレクトアタックッ！」	“这下结束了！\n用《金属方阵》发动直接攻击！”
「く…っ！罠カードオープンッ！\n『ヒーロー・リバイバル』発動！」	“唔……！打开陷阱卡！\n发动《英雄复苏》！”
「融合素材となり墓地に送られた\n『<ruby=ウインドマン>疾風の羽男</ruby>』を墓地から特殊召喚ッ！」	“从墓地特殊召唤作为融合素材\n被送入墓地的《<ruby=ウインドマン>疾风羽翼男</ruby>》！”
「はっ！悪あがきを！\n今更、攻撃力1000のモンスターを召喚したところで\nどうにも出来んぞっ！」	“哈！垂死挣扎！\n事到如今，就算召唤攻击力1000的怪兽，\n也改变不了任何事！”
「―――――――それはどうかな？」	“―――――――那可未必。”
「なに…っ？」	“什么……？”
「更に2枚目の伏せカードオープンッ！\n<ruby=マジック>魔法</ruby>カード『<ruby=こんぱくゆうごう>魂魄融合</ruby>』発動ッ！」	“再打开第二张盖卡！\n发动<ruby=マジック>魔法</ruby>卡《<ruby=こんぱくゆうごう>魂魄融合</ruby>》！”
「あ、あのカードはッ！」	“那、那张卡是！”
「そう。お前が喉から手が出る程、\n欲しがっているレアカードだ。」	“没错。就是你想要到\n恨不得从喉咙里伸出手来的稀有卡。”
「『<ruby=こんぱくゆうごう>魂魄融合</ruby>』の効果発動ッ！\nフィールドの『<ruby=ウインドマン>疾風の羽男</ruby>』と『メタル・ファランクス』で―――――――」	“发动《<ruby=こんぱくゆうごう>魂魄融合</ruby>》的效果！\n用场上的《<ruby=ウインドマン>疾风羽翼男</ruby>》和《金属方阵》―――――――”
「―――――――融合召喚ッ！」	“―――――――融合召唤！”
「なにィ…ッ！？\n俺の『メタル・ファランクス』を\n融合素材にしただとぉおお～～ッ！？」	“什么……！？\n你竟然把我的《金属方阵》\n当成了融合素材～～！？”
「現れろッ！『<ruby=メタルウイングマン>鋼鉄の翼男</ruby>』ッ！」	“现身吧！《<ruby=メタルウイングマン>钢铁翼男</ruby>》！”
「『<ruby=メタルウイングマン>鋼鉄の翼男</ruby>』の効果発動ッ！\n『<ruby=メタルウイングマン>鋼鉄の翼男</ruby>』が特殊召喚された時、\n融合素材になった元々の攻撃力分のダメージを与えるッ！」	“发动《<ruby=メタルウイングマン>钢铁翼男</ruby>》的效果！\n《<ruby=メタルウイングマン>钢铁翼男</ruby>》被特殊召唤时，\n给予对手相当于融合素材原本攻击力的伤害！”
「『メタル・ファランクス』の元々の攻撃力は4000ッ！」	“《金属方阵》原本的攻击力是4000！”
「そして、『<ruby=ウインドマン>疾風の羽男</ruby>』と合わせて\n5500のダメージを受けろッ！」	“再加上《<ruby=ウインドマン>疾风羽翼男</ruby>》，\n承受5500点伤害吧！”
「ぐあああああーーーーーッ！！！」	“咕啊啊啊啊————！！！”
「更にッ！自分のターンッ！\nドローッ！」	“还没完！我的回合！\n抽卡！”
「バトル！\n『<ruby=メタルウイングマン>鋼鉄の翼男</ruby>』でダイレクトアタックッ！」	“进入战斗！\n用《<ruby=メタルウイングマン>钢铁翼男</ruby>》发动直接攻击！”
「これで終わりだッ！\n必殺の『メタルウイングブレード』ッ！」	“这下结束了！\n必杀技《金属翼刃》！”
「うわああああああああーーーーーーッ！！！！	“呜哇啊啊啊啊啊啊——————！！！！”
（ノヴァの攻撃によって\nカードハンターのライフがゼロになった瞬間、）	（诺瓦的攻击令\n卡牌猎人的生命值归零的瞬间，）
（何故かオーバーリアクションで\nカードをばら撒きながら吹っ飛んで行った。）	（他不知为何作出了夸张至极的反应，\n一边洒落卡牌，一边倒飞出去。）
