# Chapter 1 continuation: the emergency parent observation
「川島さん。コーヒーをどうぞ。」	“川岛先生，请用咖啡。”
「もう<ruby=ふうぶつし>風物詩</ruby>になって来てるねー。」	“这都快成<ruby=ふうぶつし>固定节目</ruby>了。”
「あの二人の<ruby=けんあく>険悪</ruby>さには困ったものだね。」	“那两人的<ruby=けんあく>恶劣关系</ruby>还真让人头疼。”
「うわーん！ユート助けてよー！\n獅堂ミナトがこの私を除け者にしようと<ruby=かくさく>画策</ruby>しているよー！」	“呜哇——！悠斗救救我！\n狮堂凑正<ruby=かくさく>策划</ruby>着把我排除在外！”
「はあ！？<ruby=おうじょうぎわ>往生際</ruby>が悪いわよ<ruby=たておんな>盾女</ruby>ッ！\n分が悪くなるとそうやって川島さんに泣きつくのはやめろ！」	“哈！？你这<ruby=おうじょうぎわ>不肯认输</ruby>的<ruby=たておんな>盾女</ruby>！\n一落下风就跑去向川岛先生哭诉，给我适可而止！”
「わー。両手に花だねえ。川島くん。\n私も混ざっちゃおうっと。」	“哇，川岛同学真是左拥右抱啊。\n我也来凑个热闹吧。”
「こら！お前達！\n事あるごとにユートにベタベタするんじゃない！」	“喂！你们几个！\n别一有机会就黏到悠斗身上！”
「やれやれ。困ったな。\n愛されるのは<ruby=こうえい>光栄</ruby>だけど、\nこうスキンシップが激しいと身体が持たないよ。」	“真是伤脑筋。\n被大家喜欢固然<ruby=こうえい>荣幸</ruby>，\n但这么激烈的肢体接触，我的身体可吃不消啊。”
「おらぁー！警察だー！\n<ruby=がくえん>学園</ruby>ラブコメハーレム<ruby=ざい>罪</ruby>の<ruby=げんこうはん>現行犯</ruby>で逮捕するッ！」	“喂——！警察！\n你因<ruby=がくえん>校园</ruby>恋爱喜剧后宫<ruby=ざい>罪</ruby><ruby=げんこうはん>现行犯</ruby>被捕了！”
「お前達は完全に<ruby=ほうい>包囲</ruby>されているッ！\n武器を捨て、我々に<ruby=とうこう>投降</ruby>しろーッ！」	“你们已经被彻底<ruby=ほうい>包围</ruby>！\n放下武器，向我们<ruby=とうこう>投降</ruby>！”
「なっ！<ruby=きこういん>機巧院</ruby>！\n何の真似だ！？」	“什么！<ruby=きこういん>机巧院</ruby>！\n你们想干什么！？”
「やあ。ノエル。\n僕に会いに来てくれたのかい？」	“嗨，诺艾尔。\n你是特意来见我的吗？”
「こら！ユート！\n<ruby=きこういん>機巧院</ruby>は敵だぞ！不用意に近づくんじゃない！」	“喂！悠斗！\n<ruby=きこういん>机巧院</ruby>可是敌人！别轻易靠近！”
「ノエルは敵じゃないよ。\n僕にとってノエルは大切な人さ。\n君と同じようにね。ユリヒメ。」	“诺艾尔不是敌人。\n诺艾尔对我来说是重要的人，\n和你一样，百合姬。”
「そ……そうか。\nそれなら仕方ないな。」	“这……这样啊。\n那就没办法了。”
「おいテメェェエエエッ！！\nフェイリクス！！何ユリ姉を<ruby=くど>口説</ruby>いてんだ！\n馴れ馴れしいんだよッ！死ねやッ！」	“喂你这混蛋啊啊啊！！\n费利克斯！！你凭什么<ruby=くど>勾搭</ruby>我百合姐！\n别自来熟！去死吧！”
「ちょっとユリヒメッ！\nなにデレデレしてんのよ！\nあなたらしくないわよ！」	“喂，百合姬！\n你一脸陶醉是怎么回事！\n这可一点都不像你！”
「な…っ！？リサ！？\nどうしてここに！？」	“什……！？莉莎！？\n你怎么会在这里！？”
「ふっふっふ。\nリサさんだけでは無いッス。」	“呵呵呵。\n来的可不只是莉莎小姐。”
「さあ保護者の皆さん！どうぞこちらへ！」	“各位家长，请往这边来！”
「ミナトお嬢様！\n一体、いつから<ruby=とのがた>殿方</ruby>の為にコーヒーを\n淹れるレディになってしまったのですか！」	“凑大小姐！\n您究竟从什么时候起，变成了为<ruby=とのがた>男人</ruby>\n泡咖啡的女士！”
「ステラ！？なんであなたがここに居るのよ！？\nっていうか、<ruby=いちぶしじゅう>一部始終</ruby>を見ていたというの！？」	“斯黛拉！？你怎么会在这里！？\n话说回来，你一直在<ruby=いちぶしじゅう>目睹全过程</ruby>吗！？”
「ええ！まるっと見ておりましたとも！\n<ruby=とのがた>殿方</ruby>に絶対に<ruby=しっぽ>尻尾</ruby>を振らないクールでストイックな\nお嬢様は一体どこへ行ってしまったのですか！」	“是的！我全都看得一清二楚！\n那个绝不会向<ruby=とのがた>男人</ruby>摇<ruby=しっぽ>尾巴</ruby>、冷静又自律的\n大小姐究竟去哪儿了！”
「あ、あなたには関係無いでしょ！\n恋は自由なのよ！私は川島さんという\n運命の人を見つけたの！放っておいて！」	“这、这和你没关系吧！\n恋爱是自由的！我已经找到了\n名叫川岛先生的命中注定之人！别管我！”
「なんと<ruby=なげ>嘆</ruby>かわしい…！\nそんな<ruby=れんあいのう>恋愛脳</ruby>なお嬢様を見たくはなかったです！」	“真是令人<ruby=なげ>痛心</ruby>……！\n我不想看到大小姐变成这副<ruby=れんあいのう>恋爱脑</ruby>的样子！”
「ステラあなた…！\nいきなり学園に来ておいて\n言いたい放題言ってくれるわね…！」	“斯黛拉，你这家伙……！\n突然跑到学校来，\n还真是什么都敢说啊……”
「す、すげえ……っ。\nあの<ruby=ごうがんふそん>傲岸不遜</ruby>の獅堂が動揺している…っ。」	“好、好厉害……\n那个<ruby=ごうがんふそん>傲慢无礼</ruby>的狮堂居然动摇了……”
「さすが獅堂家の使用人。\nステラさんの前では獅堂かいちょーも\nタジタジというわけですな。」	“不愧是狮堂家的佣人。\n在斯黛拉小姐面前，狮堂会长也\n只能束手无策啊。”
「失礼するわ。」	“打扰了。”
「ヤッホー。サツキー。」	“哟，皋月。”
「お母さん！？<ruby=ふうげつ>風月</ruby>！？」	“妈妈！？<ruby=ふうげつ>风月</ruby>！？”
「サツキ。あなたがそこの男に<ruby=たぶら>誑</ruby>かされて\n毎日<ruby=もんげん>門限</ruby>を守らず、\n遊び歩いているのは知っているのですよ。」	“皋月，我知道你被那边的男人<ruby=たぶら>蛊惑</ruby>，\n每天都不遵守<ruby=もんげん>门禁</ruby>，\n在外面到处玩。”
「げっ…。何故それを…っ！」	“糟……你怎么知道的……”
「フーゲツはナンデモお見通しダー！」	“风月什么都知道！”
「<ruby=ふうげつ>風月</ruby>ー！お母さんにチクったなー！」	“<ruby=ふうげつ>风月</ruby>！你向妈妈告密！”
「さ、<ruby=さみだれ>五月雨</ruby>さんがお母様の前で\n<ruby=あわ>慌</ruby>てているの可愛い……っ。」	“皋、<ruby=さみだれ>五月雨</ruby>同学在母亲面前\n<ruby=あわ>慌张</ruby>的样子好可爱……”
「……どういう感情なのよそれは。」	“……你这是什么奇怪的感想。”
「と、ところで……、\nまさかとは思うけど\n私のパパも来てるんじゃ……っ。」	“话、话说回来……\n虽然我觉得不太可能，\n我爸爸该不会也来了吧……”
（<ruby=たてがみ>盾守</ruby>は言葉と<ruby=うらはら>裏腹</ruby>にやたらとそわそわと\n期待するかのような<ruby=まなざ>眼差</ruby>しで辺りを\nキョロキョロと見渡す。）	（<ruby=たてがみ>盾守</ruby>嘴上说着与<ruby=うらはら>事实相反</ruby>的话，身体却坐立不安，\n用仿佛充满期待的<ruby=まなざ>目光</ruby>\n东张西望地环顾四周。）
「あー。安心してください。\n<ruby=たてがみ>盾守</ruby>パイセンのパパさんは\n来てないッスよ。」	“啊，请放心。\n<ruby=たてがみ>盾守</ruby>前辈的爸爸\n没有来。”
「ちょっと！\nなんでウチのパパだけ来てないのよ！\n他の皆の保護者は来てるのに！」	“等等！\n为什么只有我爸爸没来！\n明明其他人的家长都来了！”
「盾なんとかさんは\n親に心配されてないんじゃない？\nむしろどうでもいい存在だから。」	“盾什么小姐大概\n根本没被父母放在心上吧？\n毕竟对他们来说无关紧要。”
「ふざけんなっ！パパは私の事、\n大切に思ってくれてるもん！」	“开什么玩笑！爸爸他\n明明很重视我的！”
「それはあなたの独りよがりな思い違いよ。\nだって今ここに居ないじゃない。」	“那只是你一厢情愿的误会。\n因为他现在根本不在这里。”
「う……うう……っ。」	“呜……呜呜……”
「うわあああーー！ユートぉおおおーー！\n獅堂ミナトがいじめるよぉおおーーー！」	“呜哇啊啊啊——！悠斗啊啊啊——！\n狮堂凑欺负我啊啊啊——！”
「ミナト。あんまりアメリアをいじめちゃダメだよ。」	“凑，不能太欺负阿梅莉亚。”
「ごめんなさい。この女をいじるとつい面白くて。」	“抱歉。逗弄这个女人实在太有趣了。”
「……なんて最低な理由だ。」	“……这理由未免太差劲了。”
「ほら。アメリア。\nこれで涙を<ruby=ふ>拭</ruby>いて。」	“来，阿梅莉亚。\n用这个<ruby=ふ>擦</ruby>擦眼泪。”
（フェイリクスのキザ野郎は\n盾守にハンカチを手渡す。）	（费利克斯那个自恋的混蛋\n把手帕递给了盾守。）
「あ、ありがとうユートぉおお～～～！！」	“谢、谢谢你，悠斗～～～！！”
「ユート優しい～！\n私の悲しみを分かってくれるのは\nユートだけだよぉ～～！」	“悠斗好温柔～！\n只有悠斗\n懂我的悲伤～～！”
「な、なんという<ruby=しんしてきたいおう>紳士的対応</ruby>……っ。」	“这、这是何等<ruby=しんしてきたいおう>绅士的应对</ruby>……”
「敵ながらやるわね…っ！」	“虽然是敌人，但这一手真漂亮……”
「オイィィィーーーッ！！お前ら！\nフェイリクスにちょっとなびいてるんじゃねえ！\n奴はユリ姉達を洗脳した悪の<ruby=げんきょう>元凶</ruby>なんだぞ！」	“喂喂喂——！！你们几个！\n别被费利克斯稍微打动就倒戈啊！\n那家伙可是洗脑百合姐她们的邪恶<ruby=げんきょう>元凶</ruby>！”
「はっ！そうでした！」	“啊！对哦！”
「おっと危ない危ない！」	“哎呀，差点忘了！”
「さて、保護者の皆さんが\n続々と生徒会室に来られたのは\n一体どんな用件なのかな？」	“那么，各位家长接连来到学生会室，\n究竟是为了\n什么事？”
「それはもちろん……、」	“那当然是……”
（俺が喋ろうとした瞬間、\n話を<ruby=さえぎ>遮</ruby>りカグヤが割って入った。）	（就在我准备开口的瞬间，\n辉夜<ruby=さえぎ>打断</ruby>了我的话，插了进来。）
「しれた事。ウチの娘を<ruby=たぶら>誑</ruby>かした<ruby=つみ>罪</ruby>。\n死を持って<ruby=つぐな>償</ruby>ってもらう。」	“这不是明摆着吗？<ruby=たぶら>蛊惑</ruby>我女儿的<ruby=つみ>罪行</ruby>，\n就用死亡来<ruby=つぐな>偿还</ruby>吧。”
（まさかのカグヤ<ruby=ばっとう>抜刀</ruby>である。\n話し合う気など<ruby=いっさいな>一切無</ruby>い様子。）	（辉夜居然<ruby=ばっとう>拔刀</ruby>了。\n看样子，她根本<ruby=いっさいな>完全没有</ruby>谈判的打算。）
「いや、話がちげええええーーーーーッ！！！」	“不对，事情不是这样的啊啊啊——！！！”
「おやおや。いきなり<ruby=ぬ>抜</ruby>き<ruby=み>身</ruby>の<ruby=しんけん>真剣</ruby>とは。\n穏やかじゃないね。」	“哎呀呀，一上来就是<ruby=ぬ>出</ruby><ruby=み>鞘</ruby>的<ruby=しんけん>真剑</ruby>，\n可真够不太平的。”
「ここであなたを殺せばすべてが終わりよ。」	“只要在这里杀了你，一切就结束了。”
「そんな事はさせん！」	“休想得逞！”
（カグヤの<ruby=ばっとう>抜刀</ruby>に合わせて、\nすかさずユリ姉も<ruby=ばっとう>抜刀</ruby>する。）	（配合辉夜的<ruby=ばっとう>拔刀</ruby>，\n百合姐也立即<ruby=ばっとう>拔刀</ruby>。）
「ちょ！？ユリ姉もぉおおお！？」	“等等！？百合姐你也来啊啊啊！？”
「あー。ユリヒメってば洗脳されてても\n<ruby=ちょとつもうしん>猪突猛進</ruby>なところは変わってないのね。」	“啊，百合姬就算被洗脑，\n这股<ruby=ちょとつもうしん>一往无前</ruby>的劲头还是没变啊。”
「あら？\nまさかとは思うけれど\n私とやろうというの川島先生。」	“哎呀？\n川岛老师，你该不会是\n想和我交手吧？”
「いくら<ruby=さみだれ>五月雨</ruby>の<ruby=ははぎみ>母君</ruby>カグヤ殿であっても\nユートに<ruby=やいば>刃</ruby>を向けるというのなら\n容赦はしない。」	“即便您是<ruby=さみだれ>五月雨</ruby>家的<ruby=ははぎみ>母亲</ruby>辉夜阁下，\n只要敢把<ruby=やいば>刀刃</ruby>指向悠斗，\n我也绝不留情。”
「ふっ。恋は<ruby=もうもく>盲目</ruby>とはよく言ったものね。\nけれど面白い。」	“呵，‘恋爱使人<ruby=もうもく>盲目</ruby>’这句话说得真好。\n不过，这样才有趣。”
