# Chapter 1 continuation: Lieutenant Tendo
白髪のチャラ男	白发轻浮男
「うぜー。まったく<ruby=せいい>誠意</ruby>が感じられない。」	“烦死了，完全感受不到一点<ruby=せいい>诚意</ruby>。”
「今の聞きました？川島さん。\nノヴァさんっていつも私に冷たいんですよ。\n一体どうしてなんでしょうか？」	“刚才听见了吗，川岛先生？\n诺瓦小姐一直对我这么冷淡。\n究竟是为什么呢？”
「……知らねーよ。唐突に俺に振るんじゃねー。」	“……我哪知道。别突然把话题丢给我。”
「……待て、どうして俺の名前を？\nっていうか、このオートマタの姿で\n何故俺が川島だとわかった？」	“……等一下，你为什么知道我的名字？\n话说，我都变成这副自动人偶的模样了，\n你怎么知道我是川岛？”
「こうみえて諜報部の警部補ですからね。\nあなたが身体を奪われオートマタの姿にされた事も\n知っていますよ。川島ユートさん。」	“别看我这样，好歹也是情报部的警部补。\n你被夺走身体、变成自动人偶的事，\n我也知道哦，川岛悠斗先生。”
（……これが諜報部の<ruby=じょうほうもう>情報網</ruby>ってやつか。\nこいつ、只者じゃねぇ。）	（……这就是情报部的<ruby=じょうほうもう>情报网</ruby>吗。\n这家伙绝非等闲之辈。）
（この天道という男。チャラついた<ruby=ふうてい>風体</ruby>とは\n<ruby=うらはら>裏腹</ruby>に油断がならないようだ。）	（这个名叫天道的男人，似乎与他轻浮的<ruby=ふうてい>外表</ruby>\n<ruby=うらはら>截然相反</ruby>，不可掉以轻心。）
（俺は天道から<ruby=ただよ>漂</ruby>う<ruby=そこし>底知</ruby>れぬ何かに警戒レベルを高める。）	（我感受到天道身上<ruby=ただよ>散发</ruby>着某种<ruby=そこし>深不可测</ruby>的气息，提高了戒备等级。）
「天道さんは自分の調査資料から\n情報得てるだけの知ったか野郎なので\n相手にするだけ無駄ッス。」	“天道先生只不过是从我的调查资料里\n获取信息，装成什么都知道的家伙。\n理他也是浪费时间。”
「ノヴァさぁん。酷いじゃないですか。\nどうしてネタバレしてしまうんですかぁ。\nそこは上司の顔を立ててくださいよぉ。」	“诺瓦小姐，太过分了吧。\n为什么要直接揭穿我？\n这种时候请给上司留点面子嘛。”
（ノヴァの言う通りどうやらこいつは\n見かけ通りただのチャランポランのようだ。\n俺は天道への警戒を解いた。）	（看来正如诺瓦所说，\n这家伙就是个和外表一样不靠谱的轻浮男。\n我解除了对天道的戒备。）
「この野郎。脅かしやがって。\nつまんねーハッタリかますんじゃねー。」	“你这混蛋，居然吓唬我。\n少装腔作势。”
「はあ。ノヴァさんの報告通り、\nあなたは<ruby=めうえ>目上</ruby>に対する礼儀を知らないようですね。\n私、これでも警察官なんですけど。」	“唉，正如诺瓦小姐的报告，\n你似乎不懂得对<ruby=めうえ>上级</ruby>应有的礼貌。\n我好歹也是警察啊。”
