# Chapter 1 continuation: the laboratory's automatic defenses
「おいおい！\nあんな遠距離から腕飛ばせるのかよ！？」	“喂喂！\n手臂还能从那么远的地方飞过来吗！？”
「だけどパワーはガラハドくんの方が上だよ！\nそのまま押しつぶしちゃえ！」	“但是力量是加拉哈德更强！\n就这样把他压垮！”
「了解マスター。」	“了解，主人。”
（ガラハドは<ruby=つばぜ>鍔迫</ruby>り合いのまま\nブレードの出力を上げ\n俺を地面に押しつぶそうとする。）	（加拉哈德保持<ruby=つばぜ>刀刃相抵</ruby>，\n提高刀刃输出，\n试图把我压倒在地。）
「ぐ……っ！\nこ、このままじゃ……っ！」	“唔……！\n这、这样下去……！”
「川島さん！\nそのままガラハドの頭部を狙い撃つッス！」	“川岛先生！\n就这样瞄准加拉哈德的头部射击！”
「無茶を言ってくれる……！\nだが、これしか……ねぇッ！」	“你还真会提出乱来的要求……！\n但我也只能……这么做！”
（俺は<ruby=つばぜ>鍔迫</ruby>り合いのまま、右腕リボルバーの照準を\nガラハドの頭部に合わせ―――）	（我保持<ruby=つばぜ>刀刃相抵</ruby>，将右臂左轮的准星\n对准加拉哈德的头部————）
（――――――弾丸を発射する！）	（——————发射子弹！）
「くたばれぇえええーーーーーッ！！」	“去死吧啊啊啊啊————！”
「…頭部損傷率１００。\n機能……停止。」	“……头部损伤率100%。\n功能……停止。”
「機能停止。\n勝者、<ruby=サイファー>CIPHER</ruby>-09。」	“功能停止。\n胜者：<ruby=サイファー>CIPHER</ruby>-09。”
「そんな……ガラハドくんが負けた？」	“怎么会……加拉哈德输了？”
「軍事用オートマタを破壊するとはな。」	“居然能破坏军用自动人偶。”
「<ruby=サイファー>CIPHER</ruby>シリーズとは思えない戦闘力だ。\n随分と腕の良いメカニックが居るようだ。」	“这战斗力，完全不像<ruby=サイファー>CIPHER</ruby>系列。\n看来有一位相当优秀的机械师。”
「メカワシマさんは\nドクターが<ruby=まかいぞう>魔改造</ruby>してますからなー。\nそんじゃそこらのオートマタなど敵では無いのですよ。」	“机械川岛可是博士<ruby=まかいぞう>魔改造</ruby>过的。\n普通的自动人偶\n根本不是对手。”
「俺達の勝ちだ。サツキ。\nこれに<ruby=こ>懲</ruby>りたらフェイリクスの\n悪の<ruby=かたぼう>片棒</ruby>を担ぐのはやめろ。」	“我们赢了，皋月。\n这次吃到<ruby=こ>教训</ruby>后，\n别再给费利克斯的恶行<ruby=かたぼう>助纣为虐</ruby>了。”
「ふーんだ。やめないよー。\n私、まだ負けて無いもん。」	“哼，我才不会停。\n我还没有输呢。”
「ふっ。<ruby=ごうじょう>強情</ruby>のやつだ。」	“哼，真是<ruby=ごうじょう>顽固</ruby>。”
「サツキ！わがままを言うな！\n奴は危険だ！俺の言う事を……っ！」	“皋月！别任性！\n那家伙很危险！听我说……！”
（俺が駄々をこねるサツキの腕を掴んだ瞬間――――、）	（就在我抓住撒娇耍赖的皋月手臂的瞬间————）
館内放送	馆内广播
「<ruby=きんきゅうけいほう>緊急警報</ruby>！<ruby=きんきゅうけいほう>緊急警報</ruby>！\n<ruby=とくエーきゅうじっけんたい>特A級実験体</ruby>への接触を検知！」	“<ruby=きんきゅうけいほう>紧急警报</ruby>！<ruby=きんきゅうけいほう>紧急警报</ruby>！\n检测到接触<ruby=とくエーきゅうじっけんたい>特A级实验体</ruby>！”
「<ruby=とくエーきゅうじっけんたい>特A級実験体</ruby>の安全を最優先！\n直ちに接触した外敵を排除します！」	“<ruby=とくエーきゅうじっけんたい>特A级实验体</ruby>安全优先！\n立即排除接触到的外敌！”
「な……っ！\nなんだ……！？」	“什……！\n怎么回事……！？”
「研究所内の<ruby=じどうぼうえいきのう>自動防衛機能</ruby>が作動したッス！」	“研究所内的<ruby=じどうぼうえいきのう>自动防卫功能</ruby>启动了！”
「川島テメェ……ッ！\n何をやらかしやがった！？」	“川岛，你这混蛋……！\n到底做了什么好事！？”
「俺かよ！？」	“怎么又是我！？”
「あ、何か来るよ。」	“啊，有什么东西过来了。”
（サツキが指差す方向を見やると、\n<ruby=かくのうこ>格納庫</ruby>のシャッターが開き、\n中から大量のオートマタが押し寄せて来た。）	（我看向皋月指的方向，\n<ruby=かくのうこ>机库</ruby>的闸门打开，\n大量自动人偶从里面涌出。）
警備オートマタ達	警备自动人偶们
「外敵ハイジョ…！外敵ハイジョ…！」	“排除外敌……！排除外敌……！”
「なんつー数のオートマタだよ！\nどっから湧いて来やがった！？」	“这数量也太夸张了吧！\n到底从哪里冒出来的！？”
「まずいッス！完全に我々を狙ってるッス！」	“不妙！它们完全锁定我们了！”
「逃げるぞ。サツキ。」	“我们走，皋月。”
「え、わあっ。」	“咦，哇！”
（アイゼンはひょいっとサツキを抱きかかえる。）	（艾森轻轻抱起皋月。）
「おい！アイゼン！\nサツキをどうするつもりだ！」	“喂！艾森！\n你想把皋月带到哪里去！”
「サツキは俺が安全な場所に逃がす。\nお前らは勝手にしろ。」	“我会把皋月带到安全的地方。\n你们随意。”
「サツキ、しっかりと捕まっていろ。」	“皋月，抓紧我。”
「う、うんっ。」	“嗯、嗯！”
（アイゼンは跳躍すると天窓をブチ破り\n外に脱出する。）	（艾森跳起撞破天窗，\n逃到外面。）
「なんつージャンプ力してんだアイツッ！」	“那家伙的跳跃力是什么鬼！”
「なるほど。あそこから外に出られるんスね。」	“原来如此，可以从那里出去。”
「川島さん！我々も続くッス！」	“川岛先生！我们也跟上！”
「は！？あの<ruby=てんまど>天窓</ruby>５メートルはあるぞ！\nどうやっても届かねぇよッ！」	“哈！？那扇<ruby=てんまど>天窗</ruby>离地面有五米！\n怎么都够不到啊！”
「とうっ！」	“嘿！”
（ノヴァは戦隊ヒーローのような掛け声と共に\n俺の肩に飛び乗った。）	（诺瓦发出战队英雄般的喊声，\n跳到我的肩上。）
「行けぇ！メカワシマブースターッ！」	“上吧！机械川岛推进器！”
（ノヴァが叫ぶと俺のバックパックから\nエネルギーがジェット噴射され\nロケットのように急上昇する！）	（诺瓦一声令下，我的背包喷射出能量，\n像火箭一样\n急速升空！）
「う、うおおおおおおおーーーーーーーッ！！！！」	“呜、呜哦哦哦哦哦————！”
「ふーっ。\nひとまず<ruby=きゅうち>窮地</ruby>は脱出出来たッスね。」	“呼——\n暂时从<ruby=きゅうち>困境</ruby>里逃出来了。”
「おいおい！\n背中にバーニアまで付けてたのかよ！\n勝手に改造しすぎだろ！やりたい放題だな！」	“喂喂！\n你连喷气推进器都装在我背上了？\n也太随便改造了吧！想干什么就干什么啊！”
「アイゼンさんは？」	“艾森先生呢？”
「いや聞けよ！」	“先听我说啊！”
（俺達より一足先に屋上に来ていたアイゼンは\nサツキを抱えながら、パルクールが如く\n屋上から屋上へ<ruby=さっそう>颯爽</ruby>と駆け抜けていた。）	（比我们早一步来到屋顶的艾森抱着皋月，\n如跑酷般在一座座屋顶之间\n<ruby=さっそう>潇洒</ruby>穿梭。）
「なんだあの身のこなし……忍者かよ。」	“那是什么身手……忍者吗？”
（破壊された天窓から下の階を覗き込むと\nオートマタ達がワイヤーを引っかけて\n昇って来ようとしてる。）	（我从被破坏的天窗向下望去，\n自动人偶们勾住钢索，\n正试图爬上来。）
「まじかよ…！\nあいつらここまで昇ってくる気だ…！」	“真的假的……！\n它们打算爬到这里来……！”
「どこか出口は……！？」	“出口在哪里……！？”
「げえ……っ！\n屋上の扉をブチ破って来やがった…ッ！」	“糟……！\n它们撞破屋顶的门追上来了……！”
「まずいッスね。\n屋上の出入口に加え、下の階からも\n警備オートマタ達が向かって来てるッス。」	“不妙。\n除了屋顶出入口，\n警备自动人偶也从下面楼层赶来了。”
「に、逃げ場は無いのか……！？」	“没、没有逃生的地方吗……！？”
「ご安心を……逃げ場ならあるッス！」	“放心……逃生路线当然有！”
「<ruby=Sky>空</ruby>！」	“<ruby=Sky>天空</ruby>！”
「<ruby=Sky>空</ruby>！？」	“<ruby=Sky>天空</ruby>！？”
「来い！<ruby=おおぞら>大空</ruby>を<ruby=かけ>翔</ruby>る<ruby=つばさ>翼</ruby>！\nソードウイングユニットッ！」	“来吧！<ruby=おおぞら>苍穹</ruby>中<ruby=かけ>翱翔</ruby>的<ruby=つばさ>羽翼</ruby>！\n剑翼单元！”
（ノヴァが指を鳴らすと\n上空から高速飛行物体が飛んでくるッ！）	（诺瓦打了个响指，\n高速飞行物体从空中飞来！）
「とうッ！」	“嘿！”
（ノヴァが<ruby=ちょうやく>跳躍</ruby>し高速飛行物体と重なるッ！）	（诺瓦<ruby=ちょうやく>跃起</ruby>，与高速飞行物体重合！）
「<ruby=かんそう>換装</ruby>ッ！\n<ruby=こうきどうひこうけいたい>高機動飛行形態</ruby>ソードウイングモードッ！」	“<ruby=かんそう>换装</ruby>！\n<ruby=こうきどうひこうけいたい>高机动飞行形态</ruby>，剑翼模式！”
「えええええーーーーーーッ！！！\n合体したぁあああーーーーーーッ！！！？」	“诶诶诶诶诶————！\n合体了啊啊啊啊————！？”
「ソードドッキングッ！」	“剑翼合体！”
