# Chapter 1 continuation: Blaze Children and the Sword Breaker
「あの私服はお気に入りなんスから\n仕事で使ったら汚れちゃうじゃないッスか。」	“那套便服可是我的心爱之物，\n拿来工作弄脏了怎么办？”
「そうか。俺の邪魔をしないというのなら\n好きにしろ。」	“这样吗。只要不妨碍我，\n你们随意。”
「……なんで上から目線なんだよ。」	“……为什么一副高高在上的口气。”
「つーか、お前。\n『ブレイズチルドレン計画』の事、\n俺達強化人間の事を知ってるのか？」	“话说，你知道\n‘烈焰之子计划’，\n还有我们强化人类的事吗？”
「ああ。帝国重工はソードブレイカーの研究に\n力を入れていて、いくつもの計画を立ち上げては\n失敗を繰り返していた。」	“嗯。帝国重工曾大力研究破剑者，\n启动过许多计划，\n却一次又一次失败。”
「俺が実験体として参加していた、\nオートマタをソードブレイカーの<ruby=して>仕手</ruby>とする\n『アイゼンフリューゲル計画』。」	“我作为实验体参与的，\n是让自动人偶成为破剑者<ruby=して>操纵者</ruby>的\n‘艾森之翼计划’。”
「お前が実験体として参加していた、\n人間をソードブレイカーの<ruby=して>仕手</ruby>とする\n『ブレイズチルドレン計画』。」	“你作为实验体参与的，\n是让人类成为破剑者<ruby=して>操纵者</ruby>的\n‘烈焰之子计划’。”
「他にもいくつもの計画があったようだが\nどれも満足な成果は上げてはいないようだ。」	“似乎还有其他许多计划，\n但没有一个取得令人满意的成果。”
「俺も形は違えどソードブレイカーの実験体だった。\nお前と同じな。」	“虽然形式不同，我也曾是破剑者的实验体。\n和你一样。”
「だから\n『ブレイズチルドレン計画』の事も\n多少知っている。」	“所以，\n我对‘烈焰之子计划’\n也略知一二。”
「……オートマタをソードブレイカーの<ruby=して>仕手</ruby>とする。\n俺達以外にもそんな実験が行われていたのか。」	“……让自动人偶成为破剑者的<ruby=して>操纵者</ruby>。\n除了我们之外，竟然还有这种实验。”
「川島さんとアイゼンさんはどちらも\nソードブレイカー計画の実験体だった。\nお互い似た<ruby=きょうぐう>境遇</ruby>を持っているようッスね。」	“川岛先生和艾森先生\n都是破剑者计划的实验体。\n看来你们有着相似的<ruby=きょうぐう>境遇</ruby>。”
「そもそもソードブレイカーとは何スか？」	“说起来，破剑者究竟是什么？”
「ソードブレイカーとは、\n<ruby=もともとけんま>元々剣魔</ruby>に対抗する為に作られた<ruby=はかいぶそう>破壊武装</ruby>。」	“破剑者，\n原本是为了对抗<ruby=もともとけんま>剑魔</ruby>而制造的<ruby=はかいぶそう>破坏武装</ruby>。”
「<ruby=けんま>剣魔</ruby>は<ruby=まけん>魔剣</ruby>を<ruby=ばいかい>媒介</ruby>にして<ruby=けんげん>顕現</ruby>する怪物。\n奴等の本質は<ruby=はかいしょうどう>破壊衝動</ruby>に満たされていて\n目に映るすべてを破壊しつくすだけだ。」	“<ruby=けんま>剑魔</ruby>是以<ruby=まけん>魔剑</ruby>为<ruby=ばいかい>媒介</ruby><ruby=けんげん>显现</ruby>的怪物。\n它们的本质充满<ruby=はかいしょうどう>破坏冲动</ruby>，\n只会摧毁眼前的一切。”
「人類にとって<ruby=けんま>剣魔</ruby>は脅威であり\n排除すべき敵でしかない。」	“对人类而言，<ruby=けんま>剑魔</ruby>是威胁，\n是必须排除的敌人。”
「<ruby=けんま>剣魔</ruby>が展開する<ruby=ぼうぎょしょうへき>防御障壁</ruby>は\n現存する通常兵器は無効化され\n突破する事が出来ない。」	“<ruby=けんま>剑魔</ruby>展开的<ruby=ぼうぎょしょうへき>防御障壁</ruby>\n能使现存的常规武器无效，\n根本无法突破。”
「だが、<ruby=けんま>剣魔</ruby>が展開する<ruby=ぼうぎょしょうへき>防御障壁</ruby>を<ruby=かんつう>貫通</ruby>し\n唯一<ruby=けんま>剣魔</ruby>を殺すことが出来る手段が\nソードブレイカーの存在というわけだ。」	“但是，<ruby=けんま>剑魔</ruby>展开的<ruby=ぼうぎょしょうへき>防御障壁</ruby>，我能将其<ruby=かんつう>贯穿</ruby>；\n唯一能杀死<ruby=けんま>剑魔</ruby>的手段，\n就是破剑者。”
「しかし、ソードブレイカーは誰でも\n振るえるわけではない。」	“不过，破剑者\n不是谁都能挥舞的。”
「ソードブレイカーには強い意志が存在し\n装備した<ruby=やどぬし>宿主</ruby>との<ruby=どうちょうりつ>同調率</ruby>が低ければ、」	“破剑者拥有强大的意志，\n如果与装备它的<ruby=やどぬし>宿主</ruby>的<ruby=どうちょうりつ>同步率</ruby>太低，”
「<ruby=やどぬし>宿主</ruby>はたちまちソードブレイカーに\n<ruby=おせん>汚染</ruby>され破壊の限りを尽くす\n剣魔と同等の存在となってしまう。」	“<ruby=やどぬし>宿主</ruby>就会立刻被破剑者<ruby=おせん>污染</ruby>，\n竭尽破坏之能，\n最终变成与剑魔同等的存在。”
「ソードブレイカーは<ruby=もろは>諸刃</ruby>の剣。\n剣魔を倒す唯一の手段ではあるが、\n宿主に認められなければ剣魔と同等の存在に成り果てる。」	“破剑者是一把<ruby=もろは>双刃</ruby>剑。\n它虽是打倒剑魔的唯一手段，\n但若得不到宿主认可，宿主就会沦为与剑魔同等的存在。”
「だからこそ帝国重工は剣魔に対抗する戦士を量産する為に\n<ruby=こうてんてき>後天的</ruby>にソードブレイカーの使い手を生み出す計画を立ち上げた。」	“正因如此，帝国重工为了量产对抗剑魔的战士，\n才启动了通过<ruby=こうてんてき>后天</ruby>手段制造破剑者使用者的计划。”
「それが俺とお前のソードブレイカー計画だ。」	“那就是你我参与的破剑者计划。”
「ああ。俺達『ブレイズチルドレン計画』の実験体も\n剣魔を倒す為、ソードブレイカーとの同調率を\n上げる改造を受けていた。」	“嗯。我们这些‘烈焰之子计划’的实验体，\n为了打倒剑魔，也接受了\n提高与破剑者同步率的改造。”
「だが、それでも剣魔との戦いで何人もの<ruby=どうほう>同胞</ruby>は死んでいった。\nソードブレイカー持ちの強化人間でも剣魔を倒すのは難しい。\nそれだけ奴等は驚異的な強さを誇る。」	“即便如此，还是有许多<ruby=どうほう>同胞</ruby>死在与剑魔的战斗中。\n就算是持有破剑者的强化人类，也很难打倒剑魔。\n它们就是强大到这种程度。”
「そうだ。剣魔は<ruby=てごわ>手強</ruby>い。だからこそ、\n帝国重工は一人でも多くの戦士を作る必要があった。\n戦力を補充し前線を維持し続ける為にな。」	“没错，剑魔很<ruby=てごわ>棘手</ruby>。正因如此，\n帝国重工才必须制造尽可能多的战士，\n不断补充战力、维持前线。”
「…………皮肉な話だな。\n帝国重工からすれば俺達は消耗品ってわけかよ。」	“……真讽刺。\n对帝国重工来说，我们只是消耗品吗？”
「それが現実。\n実験体とはそういうものだ。」	“这就是现实。\n实验体本来就是这种东西。”
「まぁ、その剣魔も数年前の<ruby=けんまそうとうさくせん>剣魔掃討作戦</ruby>で\n<ruby=くちく>駆逐</ruby>されたって話だ。俺達ソードブレイカー計画の\n実験体も用済みってわけだな。」	“不过，听说那些剑魔已经在几年前的<ruby=けんまそうとうさくせん>剑魔扫荡作战</ruby>中\n被<ruby=くちく>消灭</ruby>了。我们这些破剑者计划的\n实验体也就失去了用处。”
「帝国重工の計画も凍結され、\n剣魔も居なくなった。晴れて俺は自由の身。\nのんびり気ままに生きるとするぜ。」	“帝国重工的计划被冻结，\n剑魔也消失了。我终于恢复自由身，\n就悠闲自在地活下去吧。”
「……<ruby=けんま>剣魔</ruby>は<ruby=くちく>駆逐</ruby>された、か。」	“……<ruby=けんま>剑魔</ruby>被<ruby=くちく>消灭</ruby>了吗。”
「果たして本当にそうか？」	“真的如此吗？”
「帝国重工が長年掛けて剣魔と戦って来たというのに\nそれが数年前の<ruby=けんまそうとうさくせん>剣魔掃討作戦</ruby>から<ruby=こつぜん>忽然</ruby>と\n姿を見せなくなったのがどうにも不自然過ぎる。」	“帝国重工与剑魔战斗了那么多年，\n可从几年前的<ruby=けんまそうとうさくせん>剑魔扫荡作战</ruby>之后，剑魔就<ruby=こつぜん>突然</ruby>\n销声匿迹，实在太不自然。”
「俺には<ruby=さくいてき>作為的</ruby>な意図があるような気がしてならない。」	“我总觉得其中有<ruby=さくいてき>人为操纵</ruby>的意图。”
「<ruby=けんまそうとうさくせん>剣魔掃討作戦</ruby>が何者かの<ruby=さくりゃく>策略</ruby>であったと？」	“你是说，<ruby=けんまそうとうさくせん>剑魔扫荡作战</ruby>是某人的<ruby=さくりゃく>策略</ruby>？”
「それ以前にソードブレイカー計画そのものが\n本来の目的とは違っていた可能性すらある。」	“甚至有可能，破剑者计划本身\n就与最初的目的不同。”
「なんだと……？\nそれは一体……？」	“什么……？\n到底是怎么回事……？”
「その証拠を掴む為にもここへ来てみたが\n結局、何も見つかりはしなかった。」	“我来这里就是为了找到证据，\n可到头来什么都没找到。”
「どうやら<ruby=むだあし>無駄足</ruby>だったようだ。」	“看来是<ruby=むだあし>白跑一趟</ruby>了。”
「さて、随分と無駄話をしてしまったな。\n俺はもう行く。じゃあな。」	“好了，不知不觉说了太多废话。\n我要走了，再见。”
「あ、おい。」	“喂，等一下。”
（俺の呼び止めも聞かず、\nアイゼンはマントを<ruby=ひるがえ>翻</ruby>すと\n出口に向かって去って行った。）	（艾森没有理会我的呼喊，\n<ruby=ひるがえ>一甩</ruby>披风，\n朝出口离去。）
「ったく、なんだったんだアイツは。」	“真是的，那家伙到底怎么回事。”
「アイゼンさんと川島さん。\nソードブレイカー計画の\n実験体だった境遇を持つ二人。」	“艾森先生和川岛先生，\n两人都有着\n曾是破剑者计划实验体的经历。”
「うーむ。これはジャーナリズムが刺激される\n共通点発見ですなあ。」	“嗯——这可是能刺激新闻敏感度的\n共同点发现啊。”
（ノヴァは俺達の話を聞いて\nやたらテンションが上がっていた。）	（诺瓦听着我们的对话，\n兴奋得异常。）
（こいつはこいつで一般人と\n感覚ちょっとズレてるんだよなあ。）	（这家伙的感觉\n也和普通人有点偏差。）
「ここが潜入任務の目的地、\n<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>・<ruby=イーとうだいよんくかく>E棟第4区画</ruby>ッスね。」	“这里就是潜入任务的目的地，\n<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>的<ruby=イーとうだいよんくかく>E栋第4区</ruby>。”
「フェイリクスの話によれば\nここにノエルさんの手掛かりが\nあるらしいッスけど。」	“据费利克斯所说，\n诺艾尔小姐的线索\n就在这里。”
「ここは………。」	“这里是……”
「川島さん？」	“川岛先生？”
「この場所……見覚えがある。\n俺はここに来たことがある気がする。」	“这个地方……我似乎见过。\n我感觉自己曾来过这里。”
「ほほう。なるほど。」	“哦——原来如此。”
「川島さんが実験体として参加していた\n『ブレイズチルドレン計画』は隣のD棟で\n実験が行われていたッス。」	“川岛先生作为实验体参与的\n‘烈焰之子计划’，\n就是在旁边的D栋进行实验的。”
「もしかするとこのE棟まで\n足を運ぶ機会があったのかもしれないッスね。」	“说不定你以前也有机会\n来到这座E栋呢。”
