# Chapter 1 continuation: Karakuri Duel, first half
「フェイリクスッ！\n――――――――俺と<ruby=きこうしょうぶ>機巧勝負</ruby>だッ！」	“费利克斯！\n――――――――跟我来一场<ruby=きこうしょうぶ>机巧对决</ruby>！”
「飛んで火にいる夏の虫！\n撃っちゃえガラハドくん！ばんばん！」	“这叫飞蛾扑火！\n开枪吧，加拉哈德！砰砰！”
「了解。マスター。\n右腕ガトリング、射撃開始。」	“明白，主人。\n右臂加特林，开始射击。”
（ガラハドは右腕に\n取り付けられたガトリングの照準を俺に合わせ、\n狙いを付ける。）	（加拉哈德将右臂上\n装载的加特林瞄准我，\n锁定了目标。）
「川島さんッ！回避ッ！」	“川岛先生！快躲开！”
「嘘だろッ！　おいッ！」	“不是吧！喂！”
（ガラハドに突進していた俺は\n<ruby=とっさ>咄嗟</ruby>に９０度方向転換しガトリング弾の乱射を避ける。）	（正冲向加拉哈德的我<ruby=とっさ>当机立断</ruby>，\n猛然转向九十度，躲开了加特林机枪的扫射。）
「へー。<ruby=とっさ>咄嗟</ruby>の判断にしては\nなかなか良い身のこなしをするね。」	“哦——。仓促之间还能作出这种<ruby=とっさ>临场判断</ruby>，\n身手相当不错嘛。”
「逃がすな！ガラハドくん！\n蜂の巣にしちゃえ！」	“别让他跑了，加拉哈德！\n把他打成蜂窝！”
「いちいち言ってる事が物騒なんだよッ！\nサツキはもっと優しくて素直な子だと思ってましたッ！」	“你说的每句话都杀气腾腾啊！\n我还以为皋月是个更温柔、更坦率的女孩！”
「あれが五月雨さんの素直さなんスよねー。\nただ純粋なサイコパスなだけッス。」	“那就是皋月同学的坦率啊——。\n只不过她是个纯粹的心理变态。”
「タチが悪ィッ！！」	“那不是更恶劣吗！！”
（ガラハドはガトリングを撃ちながら旋回し、\n走り回る俺を狙い続ける。）	（加拉哈德一边旋转一边射击加特林，\n持续瞄准四处奔跑的我。）
（俺は脚力を生かし\nガトリング弾に当たらないように\n<ruby=うおうさおう>右往左往</ruby>と走り回る。）	（我发挥腿部力量，\n为了不被加特林子弹击中，\n<ruby=うおうさおう>左冲右突</ruby>地四处奔逃。）
「むー！チョロチョロとすばしっこいなぁ！」	“唔——！窜来窜去的，好灵活啊！”
「確かに、\n何だか前よりが身体が軽い気がするぞ…ッ！」	“确实，\n总觉得身体比以前轻快多了……！”
「ドクターが川島さんの機体を戦闘用に改造したッスからね。\n以前より格段に性能が向上してるはずッスよ。」	“因为博士把川岛先生的机体改造成了战斗型。\n性能应该比以前提升了好几个档次。”
「なるほどっ！そういう事かッ！\nさすが影山だぜッ！\n<ruby=だて>伊達</ruby>にマッドサイエンティストやってねぇな！」	“原来如此！是这么回事啊！\n不愧是影山！\n你这疯狂科学家果然不是<ruby=だて>白当</ruby>的！”
「別にドクターは一言も\nマッドサイエンティストを自称してないッスが。」	“不过博士从来没有说过\n自己是什么疯狂科学家。”
「…右腕ガトリング砲ノ弾切レヲ確認。\n<ruby=じゅうだん>銃弾</ruby>ノ<ruby=さいそうてん>再装填</ruby>ヲ行イマス。」	“……确认右臂加特林炮弹药耗尽。\n开始进行<ruby=じゅうだん>子弹</ruby>的<ruby=さいそうてん>重新装填</ruby>。”
「えー。弾切れぇ～？\nもっと真面目にやってよ。\nガラハドくーん。」	“欸——，没子弹了～？\n认真一点嘛。\n加拉哈德——。”
「スミマセン。マスター。」	“非常抱歉，主人。”
「チャンスッス！川島さん！\n奴は今、ガトリングのリロードで\n攻撃の手を止めている！」	“机会来了，川岛先生！\n那家伙正在给加特林重新装弹，\n暂时停止了攻击！”
「ガラハドの懐に飛び込んで\n鉄拳をお見舞いしてやるッス！」	“冲进加拉哈德的近身范围，\n赏它一记铁拳！”
「よっしゃあッ！\nようやくこっちのターンだぜッ！」	“好嘞！\n终于轮到我们的回合了！”
（俺は影山にカスタムされた機動力を生かし、\n<ruby=いっそくと>一足飛</ruby>びでガラハドとの距離を詰めるッ！）	（我发挥出影山改装后的机动力，\n<ruby=いっそくと>一跃而起</ruby>，瞬间逼近加拉哈德！）
「パンチだッ！ロボッ！」	“用拳头！机器人！”
（ノヴァがＮＧワードスレスレの言葉を発しているが\n今はツッコんでる暇はない。）	（诺瓦喊出了几乎踩到禁区边缘的台词，\n但我现在没空吐槽。）
（俺はガラハドの頭部目掛けて拳を振りかぶる！）	（我瞄准加拉哈德的头部，挥起了拳头！）
「残念。そこはガラハドくんの間合いだよ。」	“可惜。那里正是加拉哈德的攻击范围。”
「必殺！ロケットぱーんち！」	“必杀！火箭飞拳！”
