# Chapter 1 continuation: synchronisation data and the heroine route
（影山は手慣れた手つきでノートパソコンを\nカタカタと操作する。）	（影山熟练地操作着笔记本电脑，\n键盘发出哒哒声。）
「そもそも我々の作戦は学園アイドルを攻略し\n<ruby=むげんつくよみ>夢幻月読</ruby>を<ruby=だは>打破</ruby>する事。」	“说到底，我们的作战就是攻略学院偶像，\n<ruby=むげんつくよみ>梦幻月读</ruby><ruby=だは>打破</ruby>。”
「その為に川島さんがラブコメ主人公として覚醒するのは\n必然であり、最も望まれているスキルなのですよ。」	“因此，川岛先生觉醒为恋爱喜剧男主角，\n既是必然，也是最为理想的技能。”
「さあさあ。川島さん！今回のメインヒロインである\nノヴァちゃんを一体どのように攻略するのか！\n腕の見せ所ですぞ！」	“来吧来吧，川岛先生！\n这次的主女主角诺瓦酱，你打算如何攻略？\n现在正是展现本事的时候！”
「なんだろう。\nヒロインから『ほら。攻略しろよ。』って\n言われるラブコメってあんま聞いた事ないんだけど。」	“怎么说呢，\n我还真没听过女主角对男主说\n‘来，攻略我啊’的恋爱喜剧。”
「これだけノヴァさんの好感度が高いのは\n過去に既に攻略済みだったのが\n影響しているようですね。」	“诺瓦小姐的好感度之所以这么高，\n似乎是因为过去就已经攻略完成了，\n这件事产生了影响。”
「それなら既に学園アイドルを攻略するという\n作戦は成功しているのでは？」	“既然如此，攻略学院偶像的作战\n不是已经成功了吗？”
「いや、学園アイドルの攻略とは\nすなわち<ruby=こんぱくせつぞく>魂魄接続</ruby>の<ruby=オーバードライブ>限界突破</ruby>を意味する。」	“不，攻略学院偶像\n也就是让<ruby=こんぱくせつぞく>魂魄连接</ruby><ruby=オーバードライブ>突破极限</ruby>。”
「まず、互いの<ruby=どうちょうりつ>同調率</ruby>を<ruby=こんぱくせつぞくかのうりょういき>魂魄接続可能領域</ruby>まで\n引き上げる必要がある。\nその為には一方的な好意では駄目なのだ。」	“首先，必须将双方的<ruby=どうちょうりつ>同步率</ruby>\n提升到<ruby=こんぱくせつぞくかのうりょういき>魂魄连接可行范围</ruby>。\n单方面的好感是不够的。”
「１３号の川島への好感度は基底水準を達しているが\n川島の１３号への好感度が不足している。」	“十三号对川岛的好感度已达到基础水平，\n但川岛对十三号的好感度还不够。”
「なるほど。愛とは両者の想いを通じ合わせる事。\n片思いじゃダメって事だな。」	“原来如此。爱就是让双方的心意相通。\n单相思是不行的。”
「さすがラブコメ主人公川島。\n理解が早くて助かる。」	“不愧是恋爱喜剧男主川岛。\n理解得真快，省了我不少事。”
「という事はどちらかというと\nノヴァさんが川島さんを\n攻略するという事になるのでは？」	“这么说来，严格讲应该是\n诺瓦小姐攻略\n川岛先生吧？”
「確かに。真のヒロインは俺だった…？」	“确实。真正的女主角其实是我……？”
「馬鹿野郎ッ！！」	“你这蠢货！！”
（ノヴァが何の<ruby=みゃくりゃく>脈略</ruby>も無く\n唐突に天道を殴り倒す。）	（诺瓦毫无<ruby=みゃくりゃく>来由</ruby>地\n突然一拳打倒天道。）
「いった～～ッ！！\n何で急に殴るんですかぁ～！！」	“好痛～～！！\n为什么突然打人啊～～！”
「何勘違いしているんだ……っ。」	“你到底误会什么了……”
「ヒロインはなァ…ッ！\nこのノヴァちゃんなんだよォ…ッ！」	“女主角啊……！\n就是本诺瓦酱啊……！”
「ヒロインが主人公を攻略しに行くとかよォ…ッ！\n<ruby=ぎゃくば>逆張</ruby>りもいいところだァ…ッ！」	“女主角跑去攻略男主什么的……！\n这<ruby=ぎゃくば>唱反调</ruby>也该有个限度啊……！”
「<ruby=き>奇</ruby>をてらってウケようとすんじゃねぇ…っ！\n男だったら正面から堂々と<ruby=こく>告</ruby>って来いよ…ッ！\nそうだろ…っ！？」	“别故意<ruby=き>标新立异</ruby>想博眼球……！\n是男人就从正面堂堂正正地向我<ruby=こく>告白</ruby>……！\n对吧……！？”
（ノヴァのヒロイン<ruby=ぶし>節</ruby>。\n<ruby=げきじょう>激情</ruby>の<ruby=たんか>啖呵</ruby>が天道に突き刺さる。）	（诺瓦的女主角<ruby=ぶし>宣言</ruby>。\n<ruby=げきじょう>激情</ruby>的<ruby=たんか>豪言</ruby>狠狠刺向天道。）
「わかりました！わかりましたよ！\nけれど、それは私じゃなくて\n川島さんに言ってくださいよ！」	“知道了！知道了！\n不过这种话别对我说，\n请对川岛先生说啊！”
「そういうわけだ。川島。\nこの学園アイドル攻略作戦。\nそれは君の行動に<ruby=か>懸</ruby>かっているのだ。」	“就是这么回事，川岛。\n这场攻略学院偶像的作战，\n全<ruby=か>寄托</ruby>在你的行动上。”
「こいつは重要な役回りだぜ…っ！\nキッチリやり遂げなくっちゃあな…っ！」	“这可是重要的任务……！\n我一定得好好完成……！”
「その通り。頼んだッスよ。\n相棒！」	“没错，就拜托你了。\n搭档！”
「おう！任せとけ！」	“哦！交给我吧！”
「………いや、ちょっと待て。\n何かがおかしい。」	“……不，等一下。\n好像有什么不对。”
「何が？」	“什么不对？”
「学園アイドル攻略に注力する事になってるけど\nそもそも、フェイリクスを\nどうにかしないといけないんじゃなかったか？」	“我们现在是要专心攻略学院偶像，\n可说到底，不是还得\n想办法解决费利克斯吗？”
「あ、確かに。」	“啊，确实。”
「……確かにって。\nお前の給料がに<ruby=か>懸</ruby>かってるとか何とかで\n騒ぎ出したんじゃねぇか。何で忘れてんだ。」	“……确实什么确实。\n你不是因为工资<ruby=か>悬</ruby>在一线\n才闹起来的吗？怎么就忘了？”
「いや、ループしてる。ループしてる。\nさっきその流れ聞いたばっかだわ。」	“不对，循环了。循环了。\n刚才不是才听过这一套吗。”
「前回までの会話は一体なんだったんですかねえ。」	“那我们刚才的对话到底算什么啊。”
「斑鳩警察の作戦目的はフェイリクスの捕獲。\nしかし、奴は学園の生徒達を洗脳し\n人質にしている。<ruby=うかつ>迂闊</ruby>に手は出せないだろう。」	“斑鸠警察的作战目标是捕获费利克斯。\n可是那家伙洗脑了学院的学生，\n把他们当作人质，不能<ruby=うかつ>贸然</ruby>出手。”
「フェイリクスの野郎、\n<ruby=きこうしょうぶ>機巧勝負</ruby>で勝ったら人質を解放するとか言ってたぜ。」	“费利克斯那家伙说过，\n只要在<ruby=きこうしょうぶ>机巧对决</ruby>中获胜，就会释放人质。”
「正面から堂々と\n乗り込んでぶちのめしてやればいい。」	“那就从正面堂堂正正地闯进去，\n把他狠狠揍一顿。”
「それが出来れば苦労はしない。」	“能做到的话就不用这么辛苦了。”
「前回の<ruby=きこうしょうぶ>機巧勝負</ruby>、君達は獅堂との戦いで<ruby=ひへい>疲弊</ruby>し\nフェイリクス率いる学園生徒会全員を相手にするほどの\n余力は無かったではないか。」	“上次的<ruby=きこうしょうぶ>机巧对决</ruby>，你们和狮堂交战后已经<ruby=ひへい>疲惫不堪</ruby>，\n根本没有余力对付费利克斯率领的\n整个学生会，不是吗？”
「ぐ……っ！\nそ、それは……っ！」	“唔……！\n那、那是因为……！”
「あの時はフェイリクスさんの<ruby=おんじょう>温情</ruby>で\n見逃してもらったんですよねえ。」	“那次是费利克斯先生大发<ruby=おんじょう>慈悲</ruby>，\n才放过你们的吧。”
「フェイリクスさんは\nノヴァさんには甘いですからねえ。」	“因为费利克斯先生\n对诺瓦小姐特别纵容嘛。”
「っていうか、そもそもなんで\nフェイリクスはノヴァに<ruby=げきあま>激甘</ruby>なんだよ。」	“话说回来，费利克斯为什么\n对诺瓦<ruby=げきあま>宠溺过头</ruby>啊？”
「お前、過去にあいつと何があったんだ？」	“你过去和那家伙到底发生过什么？”
「おやおや。まさか<ruby=しっと>嫉妬</ruby>ですかな？\nういやつよのう。」	“哎呀呀，难道是<ruby=しっと>嫉妒</ruby>吗？\n真是可爱啊。”
「俺は今、真面目な話をしているんだ。」	“我现在在认真说话。”
「今までは真面目な話じゃなかったんですかねえ。」	“难道刚才都不算认真说话吗？”
「確かに。フェイリクスは１３号に\n<ruby=しゅうちゃく>執着</ruby>している<ruby=ふし>節</ruby>がある。」	“确实。费利克斯似乎对十三号\n有<ruby=しゅうちゃく>执着</ruby>的<ruby=ふし>迹象</ruby>。”
「その<ruby=よういん>要因</ruby>がわかればフェイリクスに\n付け入る隙が出来る可能性が高い。」	“如果能弄清其中的<ruby=よういん>原因</ruby>，\n就很可能找到对付费利克斯的突破口。”
「ほら。フェイリクスをとっ捕まえるには\nお前とフェイリクスの<ruby=な>馴</ruby>れ<ruby=そ>初</ruby>めを知る必要があるんだ。」	“所以，要抓住费利克斯，\n就得知道你和费利克斯是怎么<ruby=な>认识</ruby>、<ruby=そ>结缘</ruby>的。”
「<ruby=な>馴</ruby>れ<ruby=そ>初</ruby>めって恋人みたいですよね。」	“说什么<ruby=な>相识</ruby>、<ruby=そ>结缘</ruby>，听起来像情侣一样呢。”
「ふざんけんな。天道。\nぶっ殺すぞ。」	“别胡说，天道。\n我宰了你。”
「うわあ…っ。\n急に殴りかからないでくださいよ。\n怖い怖い。」	“哇……！\n别突然扑过来打人啊。\n好可怕好可怕。”
（天道はノヴァのパンチをひらりと<ruby=かわ>躱</ruby>しながら\nおどけてみせる。）	（天道轻巧地<ruby=かわ>躲开</ruby>诺瓦的拳头，\n还故意装出滑稽的样子。）
「シュシュシュ。\nシュシュシュ。」	“咻咻咻。\n咻咻咻。”
（ノヴァは避けられたのが悔しいのか\nシャドウボクシングをしながら天道を<ruby=いかく>威嚇</ruby>する。）	（诺瓦似乎因拳头被躲开而不甘，\n一边打着影子拳，一边<ruby=いかく>威吓</ruby>天道。）
「うわあ。<ruby=どうもう>獰猛</ruby>ですねえ。\n近づきたくありません。」	“哇，真是<ruby=どうもう>凶猛</ruby>。\n我可不想靠近。”
「それで、ノヴァ。\nフェイリクスとの事、\n何か知らないのか？」	“那么，诺瓦。\n关于费利克斯的事，\n你知道些什么吗？”
「言ったはずッス。\n自分は何も知らないと。」	“我不是说过了吗。\n我什么都不知道。”
「フェイリクスが<ruby=こしつ>固執</ruby>しているのは\nノエルであって自分では無いッス。」	“费利克斯<ruby=こしつ>执着</ruby>的是诺艾尔，\n不是我。”
「という事はそのノエルさんの<ruby=すじょう>素性</ruby>を追って行けば\nフェイリクスさんの正体に辿り着けるかもしれませんね。」	“也就是说，只要追查诺艾尔小姐的<ruby=すじょう>身世</ruby>，\n或许就能查明费利克斯先生的真面目。”
「その可能性は高い。\nフェイリクスには我々の知らない\nいくつかの謎が残されている。」	“这个可能性很高。\n费利克斯身上还留有\n几个我们不知道的谜团。”
「何故フェイリクスが１３号をノエルと<ruby=こしょう>呼称</ruby>するのか。\n何故フェイリクスは今になって現れたのか。」	“为什么费利克斯把十三号<ruby=こしょう>称作</ruby>诺艾尔？\n为什么费利克斯偏偏在现在出现？”
「そして何故、\nフェイリクスは川島を憎んでいるのか。」	“还有，\n费利克斯为什么憎恨川岛？”
「全ての鍵を握っているのは\nノエルという人物に他ならない。」	“掌握全部关键的，\n正是名为诺艾尔的人。”
「ノエルか。そいつが<ruby=くろまく>黒幕</ruby>ってわけか。」	“诺艾尔吗？也就是说她才是<ruby=くろまく>幕后黑手</ruby>？”
「いや、話聞いてたんスか？\nノエルさんはフェイリクスが執着している\n自分に似ているらしい人物ッス。」	“你到底有没有听我说话？\n诺艾尔小姐只是一个据说\n和费利克斯执着的对象很像的人。”
「フェイリクスが１３号をノエルと\n<ruby=こしょう>呼称</ruby>するからには何か共通点があるはずだ。\n何か手掛かりはないのか？」	“既然费利克斯把十三号<ruby=こしょう>称作</ruby>诺艾尔，\n两人之间肯定有什么共同点。\n有没有什么线索？”
「そういえば……、」	“说起来……”
「奴はそんな事を<ruby=くちばし>口走</ruby>っていた気がするッス。\nその時は単なる<ruby=ざれごと>戯言</ruby>だと思ったんスけど。」	“我记得那家伙好像<ruby=くちばし>说漏</ruby>过这种话。\n当时我还以为只是<ruby=ざれごと>胡言乱语</ruby>。”
「なんで俺が聞いた時は知らぬ存ぜぬだったのに\n影山が聞くと<ruby=そくとう>即答</ruby>してんだよ。」	“为什么我问的时候你装作什么都不知道，\n影山一问你就<ruby=そくとう>立刻回答</ruby>？”
「川島さん。<ruby=おとめごころ>乙女心</ruby>がわからないんですねえ。」	“川岛先生，你真是不懂<ruby=おとめごころ>少女心</ruby>呢。”
「喧嘩売ってんのかテメェは。」	“你这是在找茬吗？”
「なるほど。<ruby=ていこくじゅうこうせいたいこうがくけんきゅうじょ>帝国重工生体工学研究所</ruby>か。」	“原来如此，是<ruby=ていこくじゅうこうせいたいこうがくけんきゅうじょ>帝国重工生体工学研究所</ruby>吗。”
「あの場所ではいくつもの実験が行われていた。\n実際、フェイリクスも実験機として運用されていたが\n後に廃棄処分とされたわけだ。」	“那里曾进行过许多实验。\n事实上，费利克斯也曾作为实验机运作，\n后来被当作废品处理。”
「その時にフェイリクスは\nノエルと接触していたと考えるのが妥当。」	“合理推测，费利克斯就是在那时\n接触到了诺艾尔。”
「つまり、生体工学研究所に行って\nノエルさんの手がかりを集めて来ればいいんですね。」	“也就是说，我们去生体工学研究所，\n收集诺艾尔小姐的线索就行了。”
「ああ。それがフェイリクスの\n正体に迫る鍵となるだろう。」	“没错，那将成为\n揭开费利克斯真相的关键。”
「では、方針も固まりましたし、\nノヴァさん達は生体工学研究所に\n行って来てくださいね。」	“既然方针已经确定，\n诺瓦小姐，你们就去一趟\n生体工学研究所吧。”
「うわー。潜入調査とか面倒くせー。」	“呜哇——潜入调查什么的，好麻烦。”
「ちょっとノヴァさん。仕事を頼む度に\n嫌そうなリアクションしないでくださいよ。」	“诺瓦小姐，每次一安排工作，\n请不要都摆出一副不情愿的样子。”
「今、頑張らないと\n真田警部に減給処分にされてしまいますよ？」	“现在不努力的话，\n真田警部可是会扣你工资的哦？”
