# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「頭打ってキオクソーシツなんだって？\nまさか、俺の事は忘れたりしてねーよな？」	“听说你撞到头失忆了？\n该不会连我也忘了吧？”
<Off>笑み5	<Off>笑容5
「覚えてるに決まってんだろう。\n男子生徒Ｂ。」	“当然记得。\n男学生B。”
「まるで覚えてねーじゃねーか。\nつーか、何でいきなりＢ？\nＡどこいった？」	“这不就是完全没记住吗。\n话说，为什么突然变成B？\nA去哪儿了？”
<Off>笑顔3	<Off>笑脸3
「はは、覚えてるよ。　<ruby=おかざき>岡崎</ruby>。」	“哈哈，我记得。<ruby=おかざき>冈崎</ruby>。”
岡崎	冈崎
「ま、そんなボケ返せれば、大丈夫か。\nそれよか、あの噂聞いたか？」	“能这么接梗，看来没问题了。\n先不说这个，你听说那个传闻了吗？”
「噂？」	“传闻？”
「お前が大怪我した事件の事さ。」	“就是你受重伤那起事件。”
「あれなら、俺が他校の奴らと殴り合いの\n大喧嘩したって事で決着ついただろ。\n……正直覚えてねーけど。」	“那不是已经定性为我和别校的人\n大打出手，最后闹成一场大架了吗。\n……虽然老实说我不记得。”
「実はあれな。\nお前が学園のアイドルにちょっかい出したのが原因で\n粛清されたって事になってる。」	“其实啊，那件事现在的说法是：\n你因为招惹了学校的偶像，\n所以遭到了肃清。”
<Off>怒り7	<Off>愤怒7
「まじかよ。\nさっきの風紀委員の奴も言ってたが、\n俺が女の子を口説きまわってたのは本当なのか？」	“真的假的。\n刚才那个风纪委员也这么说，\n我真的到处搭讪女孩子吗？”
「ああ。　実際にその現場を見たって奴も何人も居る。\nなんなら口説かれた女の子本人も覚えがあるんじゃないか？」	“嗯。亲眼见过现场的人可不少。\n说不定被你搭讪过的女孩本人也记得呢？”
<Off>思案2	<Off>思考2
「……ああ。\nそういや向こうも、\nガッツリ覚えてる風だったな。」	“……是啊。\n这么一说，她们好像也\n记得清清楚楚。”
「学園のアイドルに覚えてもらえるなんて、\n光栄な事じゃねーか。」	“能被学校的偶像记住，\n不是很光荣吗。”
「けど、正直その時の事覚えてねーし、\nむしろ俺にとっては初対面なんだよなぁ。\n変な話だけど。」	“不过，说实话我不记得当时的事，\n对我来说反而是第一次见面。\n虽然听起来很奇怪。”
「なら、\nお前が先月口説いてた学園のアイドル５人を\nちょっくら紹介してやるぜ。」	“那我就来给你介绍一下\n你上个月搭讪过的\n五位学校偶像吧。”
「５人も居んのかよ…。」	“居然有五个……”
「まずはエントリー№１！\n１年Ａ組　<ruby=さみだれ>五月雨</ruby>サツキ！」	“首先是参赛№1！\n一年A班，<ruby=さみだれ>五月雨</ruby>皋月！”
「あ、エントリー方式なんだ。」	“啊，还是参赛制啊。”
「ポニーテールが特徴の\n優しくて元気いっぱい幼馴染系後輩キャラだ！」	“扎着马尾、温柔又元气满满的\n青梅竹马系学妹角色！”
「意外とドジで天然なところもポイントが高く、\n同級生のみならず、上級生からも人気の優良株！」	“意外地冒失又天然，这些也是加分项，\n不但同年级，连高年级学生都很喜欢她，是支优质潜力股！”
「エントリー№２！\n２年Ｆ組　<ruby=しどう>獅堂</ruby>ミナト！」	“参赛№2！\n二年F班，<ruby=しどう>狮堂</ruby>凑！”
「ご存じ我が学園の生徒会長にして、\n学園一の才女とも言われ、\n誰もその笑顔見たことが無いと名高い冷酷無比系美少女！」	“她是大家都知道的本校学生会长，\n被誉为学校第一才女，\n也是以从没人见过笑容而闻名的冷酷系美少女！”
「その凍り付くような冷淡さが人気の秘訣で、\n<ruby=ののし>罵</ruby>られたい系男子だけでなく、そのクールさに\n女子からの人気も高い圧倒的支持率！」	“冰冷刺骨的淡漠正是她的人气秘诀，\n不仅想被<ruby=ののし>辱骂</ruby>的男生为之倾倒，\n她的冷酷也让女生拥有极高支持率！”
「<ruby=ののし>罵</ruby>られたい系男子って、\nそれ何ジャンルなの？」	“想被<ruby=ののし>辱骂</ruby>的男生，\n那到底算什么类型？”
「エントリー№３！\n２年Ｆ組　<ruby=たてがみ>盾守</ruby>アメリア！」	“参赛№3！\n二年F班，<ruby=たてがみ>盾守</ruby>艾米莉亚！”
「<ruby=きんぱつへきがん>金髪碧眼</ruby>ツインテールという、\n人気鉄板の容姿を兼ね備えた美少女にして、\n学園の風紀を取り締まる風紀委員長！」	“拥有<ruby=きんぱつへきがん>金发碧眼</ruby>双马尾这一经典外表的美少女，\n同时也是负责整顿\n校园风纪的风纪委员长！”
「常にプンスカ怒ってるが、\n時折見せるデレっぷりが男心を虜にする、\nテンプレのようなツンデレが大人気だ！」	“虽然总是气鼓鼓的，\n但偶尔流露的傲娇一面俘获了无数男生的心，\n这种教科书般的傲娇可是大受欢迎！”
「何で常に怒ってんだよ…。\n何がそんなに気に入らないのか。」	“她为什么总是在生气……\n到底有什么不满啊。”
「エントリー№４！\n１年Ａ組　<ruby=きこういん>機巧院</ruby>ノヴァ！」	“参赛№4！\n一年A班，<ruby=きこういん>机巧院</ruby>诺瓦！”
「ちっこくて可愛い幼児体型ボディーの\n小悪魔系ロリっ子美少女に\n学園のロリコン共はもうメロメロ！」	“娇小可爱的幼儿体型身体，\n再加上小恶魔系萝莉美少女的魅力，\n学校里的萝莉控们早已神魂颠倒！”
「一体何人の男が彼女の<ruby=てご>手籠</ruby>めにされ、\n金銭を巻き上げられたから数知れず。\n恐ろしい魅力と人気を兼ね備えた実力派！」	“究竟有多少男人被她<ruby=てご>玩弄</ruby>于股掌之间，\n又被敲走了多少钱，根本数都数不清。\n她是兼具可怕魅力与人气的实力派！”
「あれ。こいつは知らないな。」	“咦，这家伙我不认识。”
「そして最後を飾るのは！\nエントリー№５！\n２年Ｆ組クラス担任　<ruby=かわしま>川島</ruby>ユリヒメ！」	“最后登场的是！\n参赛№5！\n二年F班班主任，<ruby=かわしま>川岛</ruby>百合姬！”
「俺、ユリ<ruby=ねぇ>姉</ruby>も口説いてたの！？」	“我连百合<ruby=ねぇ>姐</ruby>也搭讪过！？”
「我がクラスの担任は知っての通り、\nそこの軟派野郎川島ユートの実の従姉！」	“大家都知道，我们班的班主任\n就是那个轻浮男人川岛悠斗的亲表姐！”
「軟派野郎は余計だ。」	“轻浮男人就多余了。”
「学園の教師の中でも№１の人気を誇り、\n厳しくも優しい熱血指導っぷりに、\n数多の不良が自ら懇願しながら更生したという伝説を残す！」	“她在全校教师中人气第一，\n严厉却温柔的热血教导，\n甚至留下了无数不良少年主动恳求并改过自新的传说！”
「さすがユリ姉…っ！」	“不愧是百合姐……！”
「更にその親しみやすさから、\nユリ先生と呼ばれ生徒たちのハートを鷲掴み！\n男子は勿論、女子からも絶大な人気を誇るユリヒメ女史！」	“而且她平易近人，\n被学生们称为百合老师，牢牢抓住了大家的心！\n百合姬女士不仅在男生中，在女生中也拥有压倒性的人气！”
<Off>挑発4	<Off>挑衅4
「ユリ姉凄い…っ！」	“百合姐好厉害……！”
「まさに学園一のアイドルは、\nユリ先生で決まりかーーーーー！？」	“学校第一偶像，\n看来就是百合老师了——————！？”
<Off>叫び3	<Off>呼喊3
「うおおおおーーーーっ！\nユリ姉ーーーーーーっ！！\n好きだぁああーーーーーーーーーーっ！！」	“呜哦哦哦哦————！\n百合姐——————！！\n我喜欢你啊——————！！”
「痛いっ！」	“好痛！”
「お前ら。　何を馬鹿話をしている。」	“你们几个，在胡说八道些什么。”
「げ。ユリ先生。」	“糟，百合老师。”
<Off>激怒3	<Off>暴怒3
「馬鹿話なんかじゃねぇっ！\n俺達はユリ姉の素晴らしさについて、\n語り合っていただけだ！」	“才不是胡说八道！\n我们只是在讨论\n百合姐有多棒！”
「だからそれを馬鹿話というんだ。\nくだらない事を言ってないで早く席に着け。\nホームルームを始めるぞ。」	“所以这才叫胡说八道。\n别说些无聊的话了，赶紧回座位。\n班会要开始了。”
「やれやれ。\nユリ先生は相変わらずガードが固いね。」	“真是的。\n百合老师还是一如既往地难以接近。”
<Off>笑顔	<Off>笑脸
「へっ。　ユリ姉を誰にも落とせないぜ。\n……俺以外はな。」	“哼，谁也别想拿下百合姐。\n……除了我。”
「言うじゃねぇか。」	“口气不小嘛。”
「……何のやり取りだこれは。」	“……这到底是什么对话。”
「そこの馬鹿二人！\nユリ先生の手を煩わせてんじゃないわよっ！\nさっさと席に着きなさいよ！」	“那边的两个笨蛋！\n别给百合老师添麻烦！\n赶紧回座位！”
「川島先生。\nホームルームを始めても？」	“川岛老师。\n现在可以开始班会了吗？”
「ああ。　そうだな。\n号令を頼む。　獅堂。」	“嗯，是啊。\n那就拜托你领口令了，狮堂。”
「起立、礼。」	“起立，敬礼。”
「では、ホームルームはこれで終わりだ。\n各自解散。」	“那么，班会到此结束。\n各自解散。”
女性生徒Ａ	女学生A
「ユリ先生さようならー。」	“百合老师再见——。”
「ああ。　気を付けて帰るのだぞ。」	“嗯，回去路上小心。”
<Off>片目	<Off>单眼
「さてと、やることも無いし。\n俺も帰るとするかね。」	“好了，也没什么事可做。\n我也回去吧。”
「まったく、\nそんな暇を持て余しているのなら、\nお前も何か部活にでも入ったらどうだ？」	“真是的，\n既然你闲得发慌，\n不如也参加个社团怎么样？”
「別に暇だからって\n特にやりたい部活があるわけでも無いし、\n帰って惰眠でも貪っていた方が余程有意義だ。」	“也不是因为闲就有什么特别想参加的社团，\n回去睡个懒觉，\n反而更有意义。”
「く……っ。　何という駄目人間の発想か。\n一体どこで育て方を間違えたというのだ…。」	“唔……！这是何等废柴的人生观。\n我到底是从哪里开始把你教歪了……”
「ユリ先生。　心中お察しします。」	“百合老师，我很能理解您的心情。”
<Off>ウインク2	<Off>眨眼2
「それじゃ駄目人間はお先に失礼しますよ。」	“那么这个废柴就先告辞了。”
「ユート。\nトイレ用洗剤が切れていたから、\n帰りに買っておいてくれ。」	“悠斗。\n厕所清洁剂用完了，\n回去路上记得买。”
「え。　パシり？」	“诶？使唤我跑腿？”
「何が不服なのよ？\nユリ先生の温情で駄目人間のあんたに\n仕事を授けて下さっているんじゃない。」	“你有什么不满？\n百合老师大发慈悲，给你这个废柴\n安排点工作，不是很好吗？”
「うん。　その扱いが不服なんだけどね。\nっていうか、朝からお前、俺に対して棘あるよね？」	“嗯，我不满的就是这种待遇。\n话说，你从早上开始就对我带刺吧？”
（あれは……獅堂、だったか？）	（刚才那是……狮堂，对吧？）
「あなた、<ruby=しそう>死相</ruby>が出ているわ。」	“你脸上有<ruby=しそう>死相</ruby>。”
「は？　それはどういう……、」	“哈？这是什么意思……”
「って無視かよ…。\n何だったんだ？」	“结果无视我吗……\n她到底怎么回事？”
「ユリ姉に頼まれてたのも買ったし、\n帰るとするか。」	“百合姐拜托我买的东西也买好了，\n回家吧。”
市民A	市民A
「うわぁあああーーーーッ！\nオートマタの暴走だーーーっ！」	“哇啊啊啊啊————！\n自动人偶暴走啦————！”
「オートマタ…！？」	“自动人偶……！？”
（凄まじい破裂音と悲鳴が聞こえた方向を見やると、\n全身鋼鉄に包まれた機械人形が\n公園の自販機を軽々と放り投げていた。）	（我望向传来巨响与惨叫的方向，\n只见一个全身包裹着钢铁的机械人偶\n正轻松地把公园的自动售货机扔出去。）
オートマタ	自动人偶
「廃棄、廃棄。\n公園、キレイニスル\n廃棄、廃棄。」	“废弃，废弃。\n清理公园。\n废弃，废弃。”
市民B	市民B
「あの清掃用オートマタ…！\n見境無しに片っ端から公園にあるものを\nぶっ壊してやがる…！」	“那个清扫用自动人偶……！\n不分青红皂白，把公园里的东西\n一个接一个全砸烂了……！”
市民C	市民C
「またオートマタの暴走か…！\nこれで今月何度目だよ…！」」	“又是自动人偶暴走吗……！\n这个月都第几次了……！”」
「ニンゲン、確認。\n公園、キレイニスル。\n廃棄、廃棄。」	“确认人类。\n清理公园。\n废弃，废弃。”
「うわぁ…っ！\nあいつ、俺達人間をゴミ扱いしてやがる…！」	“呜哇……！\n那家伙把我们人类当垃圾了……！”
（オートマタは\nおもむろに近くに植え付けられていた街灯の柱を\n力任せに引き抜き、己の武器とした。）	（自动人偶慢悠悠地\n拔起了附近的路灯柱，\n将其当作自己的武器。）
「武装強化。\nニンゲン、廃棄、廃棄。」	“强化武装。\n人类，废弃，废弃。”
「冗談じゃねぇ…！\nあんなのにぶっ叩かれたら\nタダじゃ済まねぇぞ…！」	“开什么玩笑……！\n被那种东西砸中，\n可不是受点轻伤就能了事的……！”
「皆、逃げろぉおーーーーーッ！！」	“大家快逃啊——————！！”
（公園に居た市民達は\n暴走するオートマタから、\n悲鳴を上げながら一目散に逃げ出した。）	（公园里的市民们\n纷纷从暴走的自动人偶身边\n尖叫着逃窜。）
（街灯の柱を抱えたオートマタの\n移動速度は大して早くない。\n走れば逃げ切れるだろう。）	（抱着路灯柱的自动人偶\n移动速度并不快。\n只要跑起来，应该能逃掉。）
<Off>怒り4	<Off>愤怒4
「クソッ！何だってこんなことに…！\nここに居たら俺もヤバイ！\nとっととズラかるぜ！」	“可恶！怎么会变成这样……！\n继续待在这里我也要遭殃！\n赶紧开溜！”
（俺も巻き込まれるのはごめんだとばかりに\n速やかに公園から退避しようとした。\n――――だが。）	（我可不想被卷进去，\n于是赶紧准备撤离公园。\n————然而。）
女性の声	女性的声音
「誰かその子を助けてーーーーーっ！！」	“谁来救救那个孩子————！”
「なんだ？」	“什么？”
（突如、女性の悲鳴が聞こえ、\n声が指し示す方向には、）	（突然传来女人的尖叫，\n顺着声音望去，只见——）
（逃げ遅れた子供に向けて、\nオートマタが街灯の柱を振り落とそうとしていた。）	（自动人偶正要把路灯柱\n朝来不及逃跑的孩子砸下去。）
「な…んだとッ！？」	“你……说什么！？”
（俺は考える先に駆け出していた。\n驚くほど自然に、何の<ruby=まよ>躊躇</ruby>いも無く、\n子供を助ける為に行動を起こしていた。）	（我还没来得及思考，身体就已经冲了出去。\n自然得令人惊讶，毫无<ruby=まよ>犹豫</ruby>，\n径直采取行动去救那个孩子。）
（―――――まるで”何度もそうしてきたかのように”。）	（——————就好像“已经这样做过无数次”一样。）
「俺の目の前でッ！\nもう誰もッ！　死なせねぇッ！」	“在我眼前！\n我不会再让任何人！死去！”
（”もう誰も”？\n過去に誰かを失った事があるような言い方だった。）	（“再也不让任何人”？\n这话听起来，就像他过去曾失去过谁。）
（いや、そんな違和感は今はどうでもいい。\n今は目の前のこの子供を助ける。）	（不，现在没空管这种违和感。\n眼下最重要的是救这个孩子。）
（俺は子供を抱きかかえて、\n迫りくるオートマタの攻撃から\n身を守るように庇う。）	（我抱起孩子，\n用身体护住他，\n挡在自动人偶逼近的攻击前。）
<Off>激怒4	<Off>暴怒4
「…駄目だッ！　避けられねぇッ！\n死……ッ！！」	“……不行！躲不开！\n要死……！！”
（まじかよ。\nあいつの予言……結構当たんじゃねぇか。）	（真的假的。\n那家伙的预言……还真准啊。）
（死を覚悟した―――――――その瞬間。）	（就在我做好死亡觉悟的那一刻——————。）
（俺達目掛けて攻撃しようとしていたオートマタが、\n―――――――真っ二つに両断された。）	（正要向我们发动攻击的自动人偶，\n——————被从中间一刀两断。）
マフラーを巻いた女子	围着围巾的女生
<Character=ノヴァ>苦笑2	<Character=ノヴァ>苦笑2
「相変わらず無茶するッスね。\n川島さん。」	“你还是这么乱来啊。\n川岛先生。”
「お前……は……？」	“你……是……？”
「自分は<ruby=きこういん>機巧院</ruby>ノヴァ。\n<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいさんせだいがたちょうほうていさつよう>第三世代型諜報偵察用</ruby>オートマタで\nその暴走オートマタと同じ機械人形ってやつッス。」	“我是<ruby=きこういん>机巧院</ruby>诺瓦。\n<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>的<ruby=だいさんせだいがたちょうほうていさつよう>第三代谍报侦察型</ruby>自动人偶，\n和那台暴走的自动人偶一样，都是机械人偶。”
「は…？　お前もオートマタ…？」	“哈……？你也是自动人偶……？”
子供	孩子
「ママー！」	“妈妈——！”
子供の母親	孩子的母亲
「たかし！　大丈夫！？\n怪我してない！？」	“隆！你没事吧！？\n有没有受伤！？”
「うん。大丈夫！\nこの<ruby=おとこ>男</ruby>とこのお姉ちゃんが助けてくれた！」	“嗯，没事！\n是这个<ruby=おとこ>男人</ruby>和这个姐姐救了我！”
「おい、たかし。\n何で俺だけ”<ruby=おとこ>男</ruby>”呼びなんだよ。\nそこはお兄ちゃん呼びじゃねーのかよ。」	“喂，隆。\n为什么只有我被叫作‘<ruby=おとこ>男人</ruby>’啊。\n这里不该叫哥哥吗？”
「お二人共、本当にありがとうございます！\nあなた達はこの子の命恩人です！\nさあ、たかしもお礼を言いなさい。」	“二位真的非常感谢！\n你们是这孩子的救命恩人！\n来，隆也快道谢。”
「ありがとうお姉ちゃん！」	“谢谢姐姐！”
「それでは私達はこれで失礼しますね。」	“那我们就先告辞了。”
「じゃあねー！」	“再见——！”
「あれ。\n俺、たかしにお礼言われてないんだけど。」	“咦。\n隆还没跟我道谢吧。”
「まぁ、川島さんだし、\n仕方ないかと。」	“毕竟是川岛先生，\n我觉得也没办法。”
「何でだよ。\nそれよりもこの暴走した\nオートマタは何だったんだ？」	“为什么啊。\n先不说这个，\n这台暴走的自动人偶究竟是怎么回事？”
「<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいいちせだいがたせいそうさぎょうよう>第一世代型清掃作業用</ruby>オートマタ。\n<ruby=カンダタ>KANDATA</ruby>-Type-<ruby=ベータ>β</ruby>ッスね。」	“这是<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>的<ruby=だいいちせだいがたせいそうさぎょうよう>第一代清扫作业型</ruby>自动人偶。\n<ruby=カンダタ>KANDATA</ruby>-Type-<ruby=ベータ>β</ruby>。”
「普段は公園の清掃している大人しいオートマタッスけど、\n行動プログラムが”清掃”を”廃棄”と誤認するように\n書き替えられているッスね。」	“平时它是负责清扫公园的老实自动人偶，\n但行动程序被改写成会把‘清扫’\n误认为‘废弃’。”
「なるほど。そのプログラムの書き替えが、\n結果として暴走に繋がったってことか。」	“原来如此。也就是说，程序被改写，\n最终导致了暴走。”
「ちょっと待て。その書き換えって一体……。」	“等一下。那所谓的改写究竟是……”
「おっと、警察のご登場ッスか。\n流石に警察沙汰は勘弁ッスね。」	“哎呀，警察登场了。\n闹到警察那里可就麻烦了。”
