# Chapter 1 continuation: BALLISTA battle and Eisen's counterattack
「言われなくても逃げてるよッ！」	“不用你说我也在逃啊！”
「そうッスね。獅堂かいちょーと盾守パイセンが\nユリせんせーに託すと言っていたのでこの奥で\n我々を待ち構えているのは確実ッス。」	“应该有。狮堂会长和盾守前辈说要把任务交给百合老师，\n所以她肯定就在里面\n等着我们。”
「……ユリ姉と戦う事になるのか。」	“……要和百合姐战斗吗。”
「川島さん。\nユリせんせーが相手だからといって\n手を抜かないでくださいッス。」	“川岛先生。\n就算对手是百合老师，\n也请不要手下留情。”
「これはユリせんせーを洗脳から解き放つ為の\n作戦でもあるんスから。」	“这也是为了把百合老师\n从洗脑中解放出来的行动。”
「わ、わかっている！\nだが……俺はユリ姉を傷つける事は出来ない。」	“我、我知道！\n可是……我不能伤害百合姐。”
「まぁ、フェイリクスも\n一応<ruby=きこうしょうぶ>機巧勝負</ruby>のルールに<ruby=のっと>則</ruby>っているッスから\nオートマタ同士の戦いになるとは思うッス。」	“费利克斯姑且也<ruby=きこうしょうぶ>遵守机巧对决</ruby>的规则，<ruby=のっと>依照</ruby>着\n所以应该会是自动人偶之间的战斗。\n我想是这样。”
「そ、そうだよな…！」	“对、对啊……！”
「ただ、軍事用オートマタの\nバリスタを出して来たところを見ると\nフェイリクスも余裕が無くなって来ている事は事実。」	“不过，既然连军用自动人偶\nBALLISTA都拿出来了，\n费利克斯确实也越来越走投无路。”
「追い込まれたフェイリクスが\n何をしでかすかは<ruby=みちすう>未知数</ruby>。\n常に警戒は怠らずに行くッス。」	“被逼入绝境的费利克斯会做什么还是<ruby=みちすう>未知数</ruby>。\n我们必须时刻\n保持警惕。”
「ああ。何があっても\nユリ姉だけは守ってみせるぜ。」	“嗯，无论发生什么，\n我都会保护百合姐。”
「………本当に自らの命を投げ出しそうで\n不安なんスよね。」	“……你真的会把命豁出去，\n让我很不安。”
