# Chapter 1 continuation: Nova's date begins
「ノヴァのヤツ、おっせーな。\n待ち合わせ時間からもう３０分は過ぎてるぞ。」	“诺瓦那家伙也太慢了。\n已经超过约好的时间三十分钟了。”
「なん……だと……。」	“你……说什么……”
「先生。質問があります。」	“老师，我有问题。”
「はい。川島くん。何かね？」	“好的。川岛同学，什么问题？”
「俺は恋愛ってのはミステリーだと思うんだよね。」	“我觉得恋爱就像一场推理。”
「ほう。」	“哦？”
「お互いをよく知らない二人が\n交流を重ねる事で徐々に互いを知っていき\n距離感を縮め、仲を深めていく。」	“两个不太了解彼此的人，\n通过一次次交流逐渐认识对方，\n缩短距离，加深感情。”
「知らなかった事を、知る。\nそれはつまり相手を理解していくという事。」	“知晓原本不知道的事。\n也就是逐渐理解对方。”
「それが結果として仲を深める。\n恋に発展すると思うんだ。俺は。」	“最终，两人的关系因此加深。\n我认为这才会发展成恋爱。”
「なるほど。知らなかった事を知る発見、\nカタルシスがミステリーに通ずるとこがありますな。」	“原来如此。发现未知之事时的畅快感，\n确实与推理有相通之处。”
「さすがラブコメ主人公なだけはある。\n恋愛シミュレーションゲームの要点は抑えていますな。」	“不愧是恋爱喜剧的主人公。\n确实掌握了恋爱模拟游戏的要点。”
「だがしかし。」	“但是。”
「お前に限って言えば\n恋愛におけるセオリーが当てはまらない。」	“可唯独在你身上，\n恋爱中的这套理论并不成立。”
「その心は？」	“此话怎讲？”
「いや、だってお前。\nヒロインを攻略する側じゃん。」	“不是，因为你本来\n就是负责攻略女主角的那一方。”
「実際にヒロイン攻略するのは俺だけ、\nその作戦立案やサポートをするのはノヴァと影山。」	“实际执行女主角攻略的人只有我，\n而诺瓦和影山负责制定计划与提供支援。”
「それは、\n仕掛け人であるヒロイン攻略の<ruby=ださんてき>打算的</ruby>な部分を\nすべて知っていることになる。」	“也就是说，\n女主角攻略中那些由策划者安排的<ruby=ださんてき>精打细算</ruby>，\n你全都知道得一清二楚。”
「つまりお前を攻略しようとしても\nネタバレ状態で全部知ってるんだから\nそもそも恋愛に発展しなくない？」	“换句话说，就算我想攻略你，\n你也处于剧透状态，什么都知道，\n那根本没法发展成恋爱吧？”
（俺がノヴァのヒロイン攻略に\n対する<ruby=むじゅん>矛盾</ruby>を突きつけると、）	（我向诺瓦指出她作为攻略对象时\n存在的<ruby=むじゅん>矛盾</ruby>后，）
「………ふう。やれやれ。」	“………唉。真拿你没办法。”
（ノヴァは『こいつ、わかってねぇな』という感じで\n両手を上げるジェスチャーをした。\n……うぜぇ。）	（诺瓦一副“这家伙根本不懂”的样子，\n举起双手做了个无奈的手势。\n……真欠揍。）
「川島さん。恋愛はもっと自由なんスよ。」	“川岛先生，恋爱是更自由的东西。”
「――――――好きになるのに理由なんてない。」	“――――――喜欢上一个人，不需要理由。”
「恋に理屈なんていらねーですよ。」	“恋爱不需要什么道理。”
「<ruby=ごたいそう>御大層</ruby>な理屈を並べて<ruby=よ>善</ruby>し<ruby=あ>悪</ruby>しを語る\n恋愛ソムリエは山ほど居ますが\nそんなもの本当の恋の前では毛ほども意味が無い。」	“世上有无数恋爱鉴赏家，摆出<ruby=ごたいそう>冠冕堂皇</ruby>的理论，\n对恋爱的<ruby=よ>好</ruby><ruby=あ>坏</ruby>评头论足，\n可在真正的爱情面前，那些东西毫无意义。”
「大事なのは好きだっていう気持ち。\n<ruby=ハート>心</ruby>なんスよ。」	“重要的是喜欢一个人的感情。\n是这颗<ruby=ハート>心</ruby>。”
「――――――――<ruby=ハート>心</ruby>か。」	“――――――――<ruby=ハート>心</ruby>吗。”
「…………わかったぜ。ノヴァ。\n俺が間違っていた。」	“…………我明白了，诺瓦。\n是我错了。”
「お前の言う通りだ。\n恋に理屈なんていらねーな。」	“你说得对。\n恋爱根本不需要道理。”
「今日はせっかくのデートだ。\n楽しむとしようぜ。」	“今天难得出来约会。\n就好好享受吧。”
「最初からそのつもりッスよ。」	“我从一开始就是这么打算的。”
「さあ始めましょう。我々のデートを。」	“那么，开始我们的约会吧。”
「それでデートって何するんだ？」	“所以，约会要做什么？”
「はー。川島さん。\nやる気あるんスか？」	“唉——。川岛先生，\n你真的有干劲吗？”
「テンションの<ruby=らくさ>落差</ruby>よ。\n急に冷めるのやめてくれない？」	“你这情绪<ruby=らくさ>落差</ruby>也太大了。\n能别突然冷下来吗？”
「デートにおいて、\n男性がデートプランを考えて\n女性をリードするのが成功の<ruby=ひけつ>秘訣</ruby>なんス。」	“约会的时候，\n由男性制定约会计划并引导女性，\n才是成功的<ruby=ひけつ>秘诀</ruby>。”
「そして食事や移動などの代金はすべて男性持ち。\nそんな<ruby=かいしょう>甲斐性</ruby>見せられたら女の子は『わあ、カッコイイ！』\nって褒めまくり、惚れまくり、モテまくりになるッス。」	“而且吃饭、交通之类的费用全部由男性承担。\n只要展现出这样的<ruby=かいしょう>担当</ruby>，女孩就会‘哇，好帅！’\n不停夸你、爱上你，让你大受欢迎。”
「何で奢られる前提なんだよ。」	“为什么默认就要我请客啊。”
「だというのに川島さん。\nデートにノープランで<ruby=おもむ>赴</ruby>き彼女任せだなんて\n覚悟が足りないッス。覚悟が。」	“可川岛先生倒好。\n毫无计划地<ruby=おもむ>赴约</ruby>，还把一切都交给女方，\n你的觉悟不够。远远不够。”
「だってさっきこれがデートである事を聞かされたし。」	“因为我刚才才知道这是约会啊。”
「シャーラーップ！」	“闭——嘴！”
「女の子と出かける約束をしたのなら\nそれ<ruby=すなわ>即</ruby>ちデートと思うべし。」	“只要约好和女孩子一起出门，\n那就<ruby=すなわ>等同于</ruby>约会。”
「誰かにデートと言われて気づくのではなく\n自らデートだと認識し事前に準備を進め\nデートプランを練っておくのが紳士の務め。」	“不能等别人说了才意识到这是约会，\n必须主动认定它是约会，提前做好准备，\n制定约会计划，这才是绅士的职责。”
「そう！\n川島さんにはおもてなしの心が足りてない！\n圧倒的にッ！」	“没错！\n川岛先生缺乏招待客人的心意！\n严重不足！”
「急にブラック企業みたいな事言い出したな。」	“怎么突然说起黑心企业那一套了。”
「戦う前から負けてるんスよ！川島さんは！\nそんな事で学園アイドルを攻略し\n<ruby=むげんつくよみ>夢幻月読</ruby>を<ruby=だは>打破</ruby>出来ると思ってんスか！」	“还没开战，川岛先生就已经输了！\n你以为这样还能攻略校园偶像，\n将<ruby=むげんつくよみ>梦幻月读</ruby><ruby=だは>彻底打破</ruby>吗！”
「せっかくの休日に急に呼び出されたと思ったら\n急に説教が始まるのは何の罰ゲームだよ。\nっていうか、<ruby=むげんつくよみ>夢幻月読</ruby>の話とか久々に思い出したわ。」	“难得的休息日突然把我叫出来，\n结果又突然开始说教，这算什么惩罚游戏。\n话说，我都好久没想起<ruby=むげんつくよみ>梦幻月读</ruby>这回事了。”
「どうせメカワシマになった川島さんは\n部屋に籠ってザクロちゃん観てるだけじゃん。」	“反正变成机械川岛的川岛先生，\n只会关在房间里看小石榴。”
「うるせぇな。\n身体が機械になっても心は学生なんだよ。\nつまり俺にとって今日は休日なのさ。」	“吵死了。\n就算身体变成机械，我的心还是学生。\n也就是说，今天对我而言就是休息日。”
「まぁ、元々このデートも川島さんの\nメンタルケアが目的ですし\nここはいっちょノヴァちゃんが<ruby=ひとはだぬ>一肌脱</ruby>いでやりますか。」	“不过，这场约会原本就是为了\n给川岛先生做心理疏导，\n这里就由诺瓦<ruby=ひとはだぬ>助你一臂之力</ruby>吧。”
「今日のデートプランは自分が立てて来たので\n川島さんは<ruby=おおぶね>大船</ruby>になったつもりで居てください。」	“今天的约会计划已经由我制定好了，\n川岛先生就只管<ruby=おおぶね>放一百个心</ruby>吧。”
「急に『お前船降りろ』とか言わないよね？」	“你不会突然来一句‘给我下船’吧？”
