# Chapter 1 continuation: summoned to Ikaruga Police Station
「そんな事より、天道さん。\n一体何しに来たんスか？」	“比起这些，天道先生。\n你到底来干什么？”
（天道は<ruby=ふところ>懐</ruby>から一通の書類を取り出し\nノヴァに見せつける。）	（天道从<ruby=ふところ>怀里</ruby>取出一份文件，\n展示给诺瓦。）
「うわぁ……。マジかよ<ruby=さなだけいぶ>真田警部</ruby>。\nなんで自分を名指しで指名してくるんスか。」	“呜哇……来真的啊，<ruby=さなだけいぶ>真田警部</ruby>。\n为什么偏偏要点名找我？”
「<ruby=さなだけいぶ>真田警部</ruby>にはちゃあんとノヴァさんの\n活躍を報告してますからねぇ。\n腕を買われたという事ですよ。」	“我一直有好好向<ruby=さなだけいぶ>真田警部</ruby>\n汇报诺瓦小姐的活跃表现。\n这说明你的本领获得了认可。”
「……<ruby=やっかいごと>厄介事</ruby>を押し付けられただけなんスけど。」	“……明明只是把<ruby=やっかいごと>麻烦事</ruby>推给了我。”
「さて、それじゃ。\nノヴァさんにご納得頂けたようですし\n<ruby=いかるがけいさつしょ>斑鳩警察署</ruby>に行きましょうか。」	“好了，那么。\n既然诺瓦小姐已经接受，\n我们就去<ruby=いかるがけいさつしょ>斑鸠警察署</ruby>吧。”
「学園の外にパトカーを停めているので\nお送りしますよ。」	“警车停在学园外面，\n我送你们过去。”
「さあ。車に乗ってください。\nこの私が安全運転で署までお送りしましょう。」	“来，请上车。\n由我安全驾驶，把你们送到警察署。”
「くそっ。しょうがねぇな。」	“可恶，没办法。”
「まさかノヴァが警察官だったとはな。\nまぁ、任務じゃ仕方ねぇ。\n行って来いよ。」	“没想到诺瓦居然是警察。\n不过既然有任务，也没办法。\n你去吧。”
「何を<ruby=ひとごと>他人事</ruby>みたいに言ってるんスか。\n川島さんも一緒に行くンスよ。」	“怎么说得像<ruby=ひとごと>事不关己</ruby>一样？\n川岛先生也要一起去。”
「は？何で俺も行かなきゃなんねーんだよ。\n俺は警察と関係無いだろ。」	“哈？为什么我也非去不可？\n我和警察又没有关系。”
「今の川島さんのマスターは自分なんスから、\nマスターに同行するのは、\nオートマタとして当然の義務ッスよ。」	“现在川岛先生的主人是我，\n陪同主人行动，\n是自动人偶应尽的义务。”
「何そのオートマタの暗黙のルール。\nっていうか、お前もオートマタじゃねぇか。」	“这算什么自动人偶的潜规则。\n话说，你自己不也是自动人偶吗？”
「オートマタだってマスターになれる！\n人間とオートマタの常識を破壊するのが\n<ruby=だいさんせだいがた>第三世代型</ruby>の使命なのです。」	“自动人偶也能成为主人！\n打破人类与自动人偶之间的常识，\n正是<ruby=だいさんせだいがた>第三代机型</ruby>的使命。”
「……こいつ、\nまさか人間様を<ruby=れいぞく>隷属</ruby>させようというのか。」	“……这家伙，\n该不会想让人类大人受她<ruby=れいぞく>奴役</ruby>吧。”
「あなたは今オートマタなんだから\n別にいいじゃないですか。」	“你现在就是自动人偶，\n又有什么关系？”
「うるせー。身体はオートマタでも\n心は人間なんだよ。」	“闭嘴。身体就算是自动人偶，\n我的心还是人类。”
「ほら、乗った乗った。\nあんまりモタモタしてると\n<ruby=さなだけいぶ>真田警部</ruby>に怒られてしまいますよ。」	“好了，上车上车。\n再磨磨蹭蹭下去，\n会被<ruby=さなだけいぶ>真田警部</ruby>训斥的。”
「怒られるのは天道さんだから別によくね？」	“反正被训的是天道先生，有什么关系？”
「私が嫌なんです！」	“我不愿意！”
「どうしてノヴァさんは\nこんなにも私に冷たいのでしょうか？\n私、上司なのに。しくしく。」	“为什么诺瓦小姐\n对我如此冷淡？\n我明明是上司。呜呜。”
「お前が胡散臭いヤツだからじゃね？」	“因为你这家伙很可疑吧？”
「ひどい！」	“太过分了！”
「はい。到着。\nここが我々の拠点。\n<ruby=いかるがけいさつしょ>斑鳩警察署</ruby>です。」	“好了，到达。\n这里就是我们的据点，\n<ruby=いかるがけいさつしょ>斑鸠警察署</ruby>。”
「ここが<ruby=いかるがけいさつしょ>斑鳩警察署</ruby>か。」	“这里就是<ruby=いかるがけいさつしょ>斑鸠警察署</ruby>啊。”
（特に捕まるような事はしてないのに\nまさか来ることになるとはな。\n何だか複雑な気分だ。）	（我明明没做过什么会被抓的事，\n却没想到会来到这里。\n心情有些复杂。）
「ふー。帰って来たぜー。」	“呼——，我回来啦——。”
「ノヴァさん。私が連れて来ないと\n署に<ruby=めった>滅多</ruby>に来ないじゃないですか。」	“诺瓦小姐，要不是我带你回来，\n你<ruby=めった>几乎从不</ruby>来警察署吧。”
「そりゃ<ruby=ちょうほうにんむ>諜報任務</ruby>なんて\n<ruby=しょがいかつどう>署外活動</ruby>が主なんスから\n警察署に顔出してる暇なんて無いッスよ。」	“因为<ruby=ちょうほうにんむ>情报任务</ruby>主要都是\n<ruby=しょがいかつどう>警署外勤</ruby>，\n根本没空来警察署露脸。”
「そう言う割には学園やカードショップには\nしょっちゅう入り浸ってるじゃないですか。」	“话虽如此，你却一直\n泡在学园和卡牌店里。”
「この前なんかカードゲーム大会で優勝してましたし。」	“前不久甚至还赢了卡牌游戏大赛。”
