# Chapter 1 continuation: the capture mission
「<ruby=しょくん>諸君</ruby>に来てもらったのは他でもない。」	“把各位<ruby=しょくん>诸君</ruby>叫来，是因为有件重要的事。”
「いいか。みなまで言わずともわかるだろうが\nお前達には引き続きフェイリクスの\n捕獲任務に当たってもらう。」	“听好了，不用我多说你们也该明白。\n接下来，继续由你们\n负责逮捕费利克斯。”
「なんとカグヤさんのご指名ですよ。\nそれほど先の働きが良かったのかもしれませんね。」	“这是辉夜女士亲自点名的任务。\n看来她很满意我们之前的表现。”
「まぁ、<ruby=きこうしょうぶ>機巧勝負</ruby>で獅堂に勝っちまったからなぁ。\nPTA会長の前だからって\nちょっと張り切り過ぎちまったかな。」	“毕竟我们在<ruby=きこうしょうぶ>机巧对决</ruby>中赢了狮堂。\n可能因为PTA会长在场，\n我稍微有点卖力过头了。”
「あの後、五月雨さんが出て来て\n尻尾巻いて逃げ帰って来たわけッスけど。」	“可之后明明是五月雨小姐出场，\n你夹着尾巴逃回来了。”
「あれは戦略的撤退だ。\n勝負すらしていない。\nつまり俺達はまだ負けていない。」	“那是战略性撤退。\n我们甚至还没开始比赛。\n换句话说，我们还没输。”
「……敵前逃亡の事実を意に介さず\n何故ここまで自信に満ち溢れているのか。」	“……完全不在意临阵脱逃的事实，\n你为什么还能自信满满到这种程度。”
「川島さんはこのハッタリこそ<ruby=しんこっちょう>真骨頂</ruby>なのですよ。」	“川岛先生最擅长的就是这种<ruby=しんこっちょう>真本领</ruby>。”
「褒めてんのか<ruby=けな>貶</ruby>してんのか\nどっちなんだ。」	“你到底是在夸我还是在<ruby=けな>贬</ruby>我？\n这算哪边？”
「まぁまぁ、川島さん達の活躍も\nそれなりの評価を得たのでしょう。\nカグヤさんの目の前で一応の勝利は収めていますし。」	“好了好了，川岛先生他们的表现\n应该还是得到了一定认可。\n毕竟确实在辉夜女士面前赢过一场。”
「一応ってなんだ。完全勝利だバーロー。」	“什么叫‘确实’？那是完胜，混蛋。”
「それに加えて、この私の送迎が\nお気に召したんじゃないですかね？\nほら、私運転上手いですから。」	“再加上各位似乎很满意我的接送服务，\n对吧？\n毕竟，我的驾驶技术很棒嘛。”
「なら、タクシードライバーにでも\n転職したらどうだ？」	“那你干脆转行去开出租车吧。\n怎么样？”
「じゃあ、天道さんの退職届提出しておきますね。」	“那我就替天道先生递交辞职申请。”
「こらこら。何かにつけて私を斑鳩警察から\n追い出そうとしないでくださいよ。」	“喂喂，别动不动就想\n把我赶出斑鸠警察。”
「上司と部下からいじめられて\n酷い職場だと思いませんか？川島さん。」	“被上司和下属一起欺负，\n您不觉得这是个糟糕的工作环境吗，川岛先生？”
「なんかお前って\nそういうキャラなんだと思ってたわ。」	“我一直觉得你就是\n这种角色。”
「好きでやってるんじゃありませんよ。まったく。\n中間管理職の辛いところですねぇ。」	“我又不是自愿的。真是的，\n这就是中层管理的辛酸啊。”
「お前達の失態をする度に方々の始末をつける\nこの私の身にもなってほしいものだな。」	“每次你们闯祸，都得由我四处收拾残局。\n也请替我想想吧。”
「ええ。それは勿論重々承知していますとも。\nすべては真田警部のおかげ。\nですよね？ノヴァさん。」	“当然，我非常清楚。\n全都多亏真田警部。\n对吧，诺瓦小姐？”
「真田警部！あざーす！」	“真田警部！谢啦！”
「お前達の言葉は羽のように軽いな。\nまるで誠意が感じられん。」	“你们的话轻得像羽毛，\n完全感受不到诚意。”
（どうやらトラブルメーカーのノヴァ達の\n面倒を見ている真田も\n随分と苦労しているようだった。）	（看来一直照看诺瓦这些麻烦制造者的真田，\n也吃了不少苦头，\n日子过得相当辛苦。）
「さて、茶番はこの程度にして仕事の話だ。」	“好了，闹剧就到此为止，说正事。”
「フェイリクス捕獲任務は正式に\n<ruby=いかるがけいさつほんぶ>斑鳩警察本部</ruby>が引き受ける事になった。」	“逮捕费利克斯的任务，已正式由\n<ruby=いかるがけいさつほんぶ>斑鸠警察总部</ruby>接手。”
「当然、本部の<ruby=ちょくめい>勅命</ruby>ともなれば\n任務の指揮はこの私が<ruby=と>執</ruby>り行う。」	“既然是总部的<ruby=ちょくめい>敕令</ruby>，\n自然由我亲自<ruby=と>指挥</ruby>任务。”
「<ruby=ほんぶちょくぞく>本部直属</ruby>の任務は大体<ruby=さなだけいぶ>真田警部</ruby>が\n<ruby=じんとうしき>陣頭指揮</ruby>を<ruby=と>執</ruby>る事になってるんですよ。」	“总部<ruby=ほんぶちょくぞく>直属</ruby>的任务，通常都由<ruby=さなだけいぶ>真田警部</ruby>\n亲自<ruby=じんとうしき>坐镇指挥</ruby><ruby=と>执行</ruby>。”
「へー。そうなのかー。」	“哦，原来如此。”
「そして任務遂行はこの私の命により\n<ruby=きこういん>機巧院</ruby>を<ruby=ひっとう>筆頭</ruby>にお前達諜報部に<ruby=いちにん>一任</ruby>とする。」	“根据我的命令，任务执行\n全权交给以<ruby=きこういん>机巧院</ruby>为<ruby=ひっとう>首</ruby>的你们情报部，<ruby=いちにん>委托</ruby>给你们。”
「うわー。お前”<ruby=たち>達</ruby>”って\n私も入ってるんですかー？」	“哇，你说‘<ruby=たち>你们</ruby>’，\n也包括我吗？”
「乗りかかった<ruby=ふね>舟</ruby>。\n天道さんだけ<ruby=とちゅうげしゃ>途中下車</ruby>など許さないッスよ。」	“既然已经上了<ruby=ふね>船</ruby>，\n可不许天道先生一个人<ruby=とちゅうげしゃ>中途下车</ruby>。”
「ひええ。また面倒な事に\n巻き込まれてしまいましたねえ。」	“咿……我又被卷进\n麻烦事里了。”
「任務遂行の手段はお前達に任せよう。\n必要な<ruby=ぶっし>物資</ruby>はすべてこの私が手配する。」	“任务执行方式由你们决定。\n所需<ruby=ぶっし>物资</ruby>全部由我来安排。”
「おおー。<ruby=ふと>太</ruby>っ<ruby=ぱら>腹</ruby>ー。\nさすが真田警部。\n天道さんと違って<ruby=かいしょう>甲斐性</ruby>がありますなあ。」	“哦——真是<ruby=ふと>大</ruby><ruby=ぱら>方</ruby>。\n不愧是真田警部，\n不像天道先生这么没<ruby=かいしょう>本事</ruby>。”
「ちょっとノヴァさん。\n私と真田警部では貰ってるお給料が\n全然違うんですよ。」	“诺瓦小姐，我和真田警部的\n薪水可完全不是一个级别，\n这能相提并论吗？”
「何故お前が私の<ruby=きゅうよがく>給与額</ruby>を知ってるのだ。」	“你为什么会知道我的<ruby=きゅうよがく>工资数额</ruby>？”
「お忘れですか？\nこの私が諜報部の<ruby=けいぶほ>警部補</ruby>の役職を\n<ruby=かん>冠</ruby>してる事を。」	“您忘了吗？\n我可是挂着情报部<ruby=けいぶほ>警部补</ruby>头衔，\n<ruby=かん>身居</ruby>此职的人。”
「お前の諜報能力は\nそんなくだらない事の為に<ruby=ゆう>有</ruby>しているのか。」	“你的情报能力就是用来\n调查这种无聊事情的吗？真是<ruby=ゆう>浪费</ruby>。”
「天道さんは仕事もせずに\n他人のプライベートをコソコソと調べてる\n<ruby=やから>輩</ruby>ですからなぁ。」	“天道先生可是个不干正事、\n只会偷偷调查别人隐私的\n<ruby=やから>家伙</ruby>。”
「いやはやこれも仕事の内ですよ。\n斑鳩警察の<ruby=ないぶかんさ>内部監査</ruby>という<ruby=めいもく>名目</ruby>でね。」	“哪里，这也是工作的一部分。\n以斑鸠警察<ruby=ないぶかんさ>内部监察</ruby>为<ruby=めいもく>名义</ruby>嘛。”
「私としては貴様自身の監査が必要だと思うがな。」	“我认为最需要监察的就是你本人。”
「おやおや困りしたねえ。\nいつまで経っても真田警部は私を信用してはくれません。\nどう思います？川島さん。」	“哎呀呀，这可难办了。\n真田警部无论如何都不肯信任我。\n川岛先生怎么看？”
「知らねーよ。唐突に俺に振るんじゃねー。」	“我怎么知道，别突然把话题扯到我身上。”
「まぁいい。話を戻そう。」	“算了，回到正题。”
