# Chapter 1 continuation: repairs and the next operation
「こちらの修理は完了した。\n１３号。再起動だ。」	“这边的修理已经完成。\n十三号，重新启动。”
「実際、我々の教科書である\nこの恋愛シミュレーションゲームにおいても\n同じことが言える。」	“实际上，对作为我们教科书的\n这款恋爱模拟游戏而言，\n也可以得出相同的结论。”
「これは現実では起こり得ない出来事を\nゲームというフィクションに落とし込んだ代物だ。」	“它把现实中不可能发生的事情，\n放进了名为游戏的虚构作品中。”
「プレイヤーはこのゲームをプレイする事で\n間接的に憧れの異性との恋愛を楽しむ事が出来る。」	“玩家通过游玩这款游戏，\n便能间接体验与憧憬对象相恋的乐趣。”
「さすがは川島。\n今回のラブコメ主人公なだけはある。\nこの世界の真理に既に気づいていたとは。」	“不愧是川岛。\n不愧是本次恋爱喜剧的主人公。\n没想到你已经察觉到这个世界的真理。”
「当然だ。俺は常に青春に憧れ続ける青少年なのだから。」	“那当然。我可是始终憧憬着青春的青少年。”
「憧れる相手が自分のお姉ちゃんなのは\n重度のシスコン過ぎて\nもはや手遅れ感があるッスね。」	“可你憧憬的对象是自己的姐姐，\n重度姐控到这种程度，\n感觉已经无药可救了。”
「正直、川島のシスコンには私も困っている。\n好感度がユリヒメだけ異常に高いせいで\n他のヒロイン攻略の際の障害になり得る危険がある。」	“老实说，川岛的姐控也让我很为难。\n唯独百合姬的好感度高得异常，\n攻略其他女主角时很可能成为阻碍。”
「ユリ姉を…！家族を…！\n自分の姉ちゃんが好きで何が悪い！」	“我喜欢百合姐……喜欢家人……！\n喜欢自己的姐姐有什么错！”
「いや、家族の域を越えてるから\nヤバイって言ってるんスよ。」	“就是因为已经超出家人的范畴，\n才说你很不妙啊。”
「まぁ、そこは他のヒロインの攻略の過程で\n優先度が変わる事を期待するしかないな。」	“这个问题只能期待在攻略其他女主角的过程中，\n他的优先顺序会发生改变了。”
「ところで川島。\n君の機体の修理は完了した。\n動作に支障はないか？」	“对了，川岛。\n你的机体已经修理完毕。\n活动起来有没有问题？”
「ん？　おー！\nガラハドにやられた右腕が\nすっかり動くようになってるぜ！」	“嗯？哦——！\n被加拉哈德打坏的右臂，\n已经完全可以活动了！”
「身体を動かしても問題ねぇ。\n一晩で完璧に直しちまうなんて\nさすがはマッドサイエンティストだな！」	“活动身体也没有问题。\n一个晚上就修得完好如初，\n不愧是疯狂科学家！”
「君は<ruby=ときおり>時折</ruby>、\n私をマッドサイエンティストと呼ぶが\nその<ruby=ゆらい>由来</ruby>は一体なんなのだ？」	“你<ruby=ときおり>时不时</ruby>就会\n称我为疯狂科学家，\n这个称呼的<ruby=ゆらい>由来</ruby>到底是什么？”
「え？お前って悪の科学者でしょ？」	“欸？你不是邪恶科学家吗？”
「私が正義か悪かは立場によって変わるものだ。\nそしてそれは絶対的なものでも不変的なものでもない。」	“我是正义还是邪恶，会随着立场而改变。\n这既不是绝对的，也并非一成不变。”
「ゆえに私は正義か悪かの議論など\n無意味だと考えている。」	“因此我认为，争论正义与邪恶\n没有任何意义。”
「ふーん。何かお前頭固いな。」	“哦——。你这人脑子还挺死板。”
「こら川島さん。\nドクターに何て口の聞き方をするんスか。\nまったく。礼儀がなってないッスよ。」	“喂，川岛先生。\n你怎么能用这种口气跟博士说话？\n真是的，一点礼貌都没有。”
「礼儀がどうとか、\nお前にだけは言われたくねーな。」	“关于礼貌这种事，\n唯独不想被你教训。”
「まぁ<ruby=うよきょくせつ>紆余曲折</ruby>あったが、こうして川島が復帰し\nフェイリクスの<ruby=しかく>刺客</ruby>、ガラハドを<ruby=しりぞ>退</ruby>ける事が出来た。」	“虽然经历了不少<ruby=うよきょくせつ>波折</ruby>，但川岛总算就此复出，\n也成功将费利克斯的<ruby=しかく>刺客</ruby>加拉哈德<ruby=しりぞ>击退</ruby>。”
「少々、<ruby=ていたい>停滞</ruby>していたが\nこれよりフェイリクスから学園アイドルを\n奪還する作戦を進める事が出来るだろう。」	“作战虽然稍有<ruby=ていたい>停滞</ruby>，\n但接下来应该可以继续推进从费利克斯手中\n夺回校园偶像的计划。”
「よーし。反撃開始ッスよー。\n気合入れて行きましょうぞ。川島さん。」	“好——。开始反击啦——。\n打起精神上吧，川岛先生。”
「……だが、その為に\n余りにも大きい代償、<ruby=とうと></ruby>尊い犠牲があった。」	“……但是，为此付出的\n代价实在太过沉重，还有<ruby=とうと></ruby>崇高的牺牲。”
「ちょっとー。せっかく盛り上がってきたところなのに\nなんでまたダウナーになってんスか？\n空気読んでくださいよ。」	“等一下——。气氛好不容易才热烈起来，\n你怎么又消沉下去了？\n拜托看一下气氛啊。”
「……ザクロちゃん。\n俺はあの戦いで大切な人を失ってしまった…。」	“……小石榴。\n我在那场战斗中失去了重要的人……”
（俺は変わり果てた姿の\nザクロちゃんBDコンプリートボックスを握りしめる。）	（我紧紧握住已经面目全非的\n小石榴蓝光全集套装。）
「……くっ。泣きたいのに涙が出ない。\nどうして機械の身体ってのは\nこんなにも融通が利かないもんなんだ。」	“……唔。明明想哭，却流不出眼泪。\n机械的身体\n为什么就这么不通人情呢。”
「１３号。川島は何故あんなにも落ち込んでいるのだ？\nあのディスクはそんなにも\n重要な映像記録が収録されていたというのか。」	“十三号，川岛为什么如此消沉？\n难道那些光盘中\n记录着那么重要的影像吗？”
「あのアニメ…ザクロちゃんは川島さんにとって魂そのもの。\nザクロちゃんを失った川島さんは\n<ruby=こんぱく>魂魄</ruby>が半分削られたようなものなんスよ。」	“那部动画……小石榴就是川岛先生的灵魂。\n失去小石榴的川岛先生，\n就等于被削去了一半<ruby=こんぱく>魂魄</ruby>。”
「……<ruby=こんぱく>魂魄</ruby>の半減、か。\nそれは重大な問題だ。<ruby=こんぱく>魂魄</ruby>は川島のポテンシャルに\n著しく影響する。」	“……<ruby=こんぱく>魂魄</ruby>减半吗。\n这可是严重的问题。<ruby=こんぱく>魂魄</ruby>会对川岛的潜力\n产生显著影响。”
「この状態ではこれから始まるであろう\nフェイリクスとの<ruby=しれつ>熾烈</ruby>な戦いに付いてはいけない。」	“以这种状态，恐怕无法跟上\n接下来与费利克斯之间的<ruby=しれつ>激烈</ruby>战斗。”
「１３号。至急、川島のメンタルケアをするのだ。」	“十三号，立即对川岛进行心理疏导。”
「えー。めんどくさいなー。」	“欸——，好麻烦啊——。”
「え？本人の前で面倒くさいとか言っちゃうの？\nメンタルケアどころか更に追い打ちかけてるよね？」	“欸？你就当着本人的面说麻烦吗？\n这哪里是心理疏导，根本是在继续补刀吧？”
「川島のメンタルケアが成功した<ruby=あかつき>暁</ruby>には、\n次の<ruby=きゅうよさてい>給与査定</ruby>に色をつけておこう。」	“川岛的心理疏导成功<ruby=あかつき>之后</ruby>，\n我会在下次<ruby=きゅうよさてい>薪资评估</ruby>时给你加点分。”
「ははー。このノヴァにお任せくだされー。\n必ずや川島さんのメンタルケアを成功させて\nみせましょうぞ。」	“遵命——。尽管交给我诺瓦吧——。\n我一定会成功完成川岛先生的心理疏导，\n绝不辜负您的期待。”
「おい、何でノヴァだけボーナス貰えるんだよ。\n俺だって前線でフェイリクスのオートマタと戦ってんだから\n俺にもボーナス出るのが筋ってもんじゃねぇのか？」	“喂，为什么只有诺瓦能拿奖金？\n我也在前线跟费利克斯的自动人偶战斗，\n按理说不也该给我发奖金吗？”
「残念。川島さんは\n今オートマタだからボーナス貰えないんスよー。」	“很遗憾。川岛先生现在\n是自动人偶，所以拿不到奖金——。”
「え？お前もオートマタじゃん。」	“欸？你不也是自动人偶吗？”
