# Chapter 1 continuation: the first Karakuri match
「面白い。\nその勝負受けて立とうじゃないか。」	“有意思。\n这场对决，我接下了。”
「川島さん。\nこの私の前でくれぐれも\n<ruby=ぶざま>無様</ruby>な戦いをしないように。」	“川岛先生。\n可别在我面前\n打出一场<ruby=ぶざま>难看的</ruby>战斗。”
「マスターの前でブザマな姿を見セルナヨ！」	“别在主人面前丢脸！”
「そーそー。\nせっかく応援してあげるんだから\n勝ってくれないと困るよー。	“就是就是。\n我们特意来给你加油，\n你不赢可就麻烦啦。”
「……なんか俺らのホーム側の観客席に\n明らかにアウェイな客が居るんだけど。」	“……为什么我们主场的观众席里，\n坐着明显是客场的观众。”
「ふっ。ならばとくとお見せしましょうぞ。\n我々の大勝利をね。」	“呵，那就请各位看个痛快。\n看我们取得压倒性的胜利。”
「わー。お母さんが見てるの\nなんだか緊張するなぁ。」	“哇，妈妈在旁边看着，\n总觉得有点紧张。”
「別に試合するのは<ruby=さみだれ>五月雨</ruby>じゃないでしょ？」	“上场比赛的又不是<ruby=さみだれ>五月雨</ruby>你吧？”
「さて、それでは<ruby=きこうしょうぶ>機巧勝負</ruby>の<ruby=たちあいにん>立会人</ruby>は僕が努めよう。」	“那么，这场<ruby=きこうしょうぶ>机巧对决</ruby>就由我担任<ruby=たちあいにん>裁判</ruby>。”
「ノエル、ミナト、二人とも\nオートマタの準備はいいかい？」	“诺艾尔、凑，你们两个\n都准备好自动人偶了吗？”
「出ろぉぉおお～！！\nメカワシマぁあああーーーーッ！！」	“出来吧——！！\n机械川岛啊啊啊————！！”
（ノヴァは片腕を天高く上げ、\n指を鳴らしオートマタを召喚する。）	（诺瓦高举一只手臂，\n打了个响指召唤自动人偶。）
「……何か召喚してる風だけど\n最初からお前の隣に居るんだけど。」	“……你摆出一副召唤的架势，\n可它从一开始就在你旁边吧。”
「こちらの準備は完了しているぜ！\nさあ！そっちのオートマタを出しな！」	“我这边已经准备完毕！\n来，把你的自动人偶放出来！”
「<ruby=きこういん>機巧院</ruby>さん。この私に勝負を挑んだ事、\n後悔させてあげるわ。」	“<ruby=きこういん>机巧院</ruby>小姐，我会让你后悔\n向我发起挑战。”
「来なさい！私の<ruby=しもべ>僕</ruby>！\n<ruby=ソルジャー>SOLDIER</ruby>-21号！」	“出来吧！我的<ruby=しもべ>仆从</ruby>！\n<ruby=ソルジャー>SOLDIER</ruby>-21号！”
（獅堂はオートマタの名を呼ぶと\nいきなり地面を拳で殴りつけ、\n校庭の大地を割った。）	（狮堂喊出自动人偶的名字，\n突然一拳砸向地面，\n将校园操场震裂。）
「え。何してんのアイツ……。」	“呃，她在干什么……”
「ミ、ミナトお嬢様…！\n素手で土に触れるなど、なんとはしたない…！」	“凑、凑大小姐……！\n竟然徒手碰泥土，实在太不体面了……”
「そういう問題かしら。」	“问题是这个吗？”
（獅堂は片腕を地中に突っ込むと\n直径２<ruby=メートル>ｍ</ruby>程の巨大なコンテナを引きずり出した。）	（狮堂把一只手臂插入地底，\n拖出一个直径约两<ruby=メートル>米</ruby>的巨大集装箱。）
「はああああ？！\n鉄製のコンテナを片手で持ち出しやがった！？\nどんな馬鹿力してんだアイツはッ！！」	“哈啊啊啊！？\n她居然单手拖出了铁制集装箱！？\n那家伙到底哪来的怪力啊！！”
「推定1.5<ruby=トン>t</ruby>の重量を持ち上げるとは\n常人離れをした<ruby=かいりき>怪力</ruby>をお持ちのようね。獅堂さん。」	“居然能举起估计重达1.5<ruby=トン>吨</ruby>的东西，\n狮堂小姐似乎拥有<ruby=かいりき>非人的怪力</ruby>。”
（獅堂が引きずり出したコンテナの扉が開き\n中から一体のオートマタが現れた。）	（狮堂拖出的集装箱门打开，\n一具自动人偶从里面走了出来。）
「起動……起動……起動……。」	“启动……启动……启动……”
「起動シークエンスオールグリーン。\n起動完了しました。」	“启动序列全部正常。\n启动完成。”
「マスター命令確認。\n目標敵機の撃墜。」	“确认主人命令。\n击落目标敌机。”
「戦闘モードスタンバイ。」	“战斗模式待机。”
「あれは…！\n<ruby=ていこくじゅうこうせい>帝国重工製</ruby>・<ruby=だいにせだいがたりくせんほへいよう>第二世代型陸戦歩兵用</ruby>オートマタ\n<ruby=ソルジャー>SOLDIER</ruby>-21…ッ！」	“那是……！\n<ruby=ていこくじゅうこうせい>帝国重工制造</ruby>的<ruby=だいにせだいがたりくせんほへいよう>第二代陆战步兵型</ruby>自动人偶，\n<ruby=ソルジャー>SOLDIER</ruby>-21……！”
「<ruby=ぐんじよう>軍事用</ruby>オートマタ…っ！\nあんなものが何故、\n学園の地中に埋まってるのよ…！」	“<ruby=ぐんじよう>军用</ruby>自动人偶……！\n那种东西为什么会\n埋在学校地下啊……”
「<ruby=ていこくじゅうこう>帝国重工</ruby>の研究所から<ruby=しょうしょうはいしゃく>少々拝借</ruby>してね。\nいざという時の為に配備してあるんだ。」	“我从<ruby=ていこくじゅうこう>帝国重工</ruby>研究所里<ruby=しょうしょうはいしゃく>借</ruby>来了一具。\n为了应对紧急情况，平时就部署在这里。”
「……どういう状況を想定してんだテメーは。」	“……你到底设想过什么状况啊。”
「これが川島さんから<ruby=たまわ>賜</ruby>った私の専用機。」	“这就是川岛先生<ruby=たまわ>赐予</ruby>我的专用机。”
「これであなたを倒すわ。\n覚悟しなさい。<ruby=きこういん>機巧院</ruby>さん。」	“我要用它打败你。\n做好觉悟吧，<ruby=きこういん>机巧院</ruby>小姐。”
「ヒュー。\nこいつはゴキゲンなお出迎えだぜ。」	“呼。\n这欢迎仪式可真够带劲。”
「さあ！我々の友情パワーを\n見せてやるとしようぜ！相棒！」	“来吧！让我们展现\n友情的力量！搭档！”
「どんなノリなんだよ…。」	“你到底是什么节奏……”
「どうやら準備は整ったようだね。」	“看来双方都准备好了。”
「互いの<ruby=マイスター>操縦者</ruby>はオートマタを<ruby=しえき>使役</ruby>し\n先に相手のオートマタを\n機能停止させた方の勝利だ。」	“双方的<ruby=マイスター>操纵者</ruby><ruby=しえき>驱使</ruby>自动人偶，\n先让对方的自动人偶\n停止运作者获胜。”
「尚、<ruby=マイスター>操縦者</ruby>への<ruby=ダイレクトアタック>直接攻撃</ruby>は禁止とし\nあくまでもオートマタ同士の戦いで勝敗を決する。」	“另外，禁止对<ruby=マイスター>操纵者</ruby>发动<ruby=ダイレクトアタック>直接攻击</ruby>，\n胜负必须由自动人偶之间的战斗决定。”
「それじゃあ行くよ。」	“那么，开始吧。”
「――――――<ruby=きこうしょうぶ>機巧勝負</ruby>、開始！」	“————<ruby=きこうしょうぶ>机巧对决</ruby>，开始！”
「川島さん！先制攻撃だッ！\n奴の懐に入ってパンチをお見舞いしてやるッスッ！」	“川岛先生！先发制人！\n冲进那家伙怀里给它一拳！”
「そのつもりだッ！行くぜッ！」	“我正有此意！上！”
（俺はノヴァの指示よりも\n先に敵機目掛けて駆け出していた。）	（还没等诺瓦下令，\n我便已经朝敌机冲了过去。）
「マスターの意図を汲み取った先制攻撃。\nまさに<ruby=あうん>阿吽</ruby>の呼吸ですね。」	“读懂主人意图的先发制人。\n真是<ruby=あうん>默契十足</ruby>。”
「うんうん！\nあの二人、息ピッタリだね！」	“嗯嗯！\n他们两个配合得真默契！”
「けれど、<ruby=むやみ>無闇</ruby>に飛び出すのは<ruby=けいそつ>軽率</ruby>とも言えるわね。」	“不过，这样<ruby=むやみ>贸然</ruby>冲出去，也未免太<ruby=けいそつ>轻率</ruby>了。”
「飛んで火にいる夏の虫。」	“飞蛾扑火。”
「ソルジャー。\n<ruby=はち>蜂</ruby>の<ruby=す>巣</ruby>にしてやりなさい。」	“士兵。\n把它打成<ruby=はち>蜂</ruby>的<ruby=す>巢</ruby>。”
「了解。ADSモード起動。\nターゲットロック。」	“收到。启动 ADS 模式。\n锁定目标。”
（ソルジャーは銃を構え、\nターゲットサイトを覗き込み\n俺に照準を合わせる。）	（士兵举起枪，\n透过瞄准镜\n将准星对准了我。）
「ちょ…っ！待ッ！」	“等……！等等！”
「―――――射撃開始。」	“————开始射击。”
（ソルジャーのアサルトライフルから\n無数の弾丸が乱射される。）	（士兵的突击步枪\n疯狂倾泻出无数子弹。）
（俺は<ruby=とっさ>咄嗟</ruby>に横っ飛びし、\nたまたま近くにあったソルジャーが\n格納されていたコンテナに隠れる。）	（我<ruby=とっさ>急忙</ruby>向侧面扑去，\n躲进了恰好在附近、\n原本收纳士兵的集装箱。）
「うおお…！あぶねーッ！」	“呜哦……！好险！”
「まさか飛び道具を持っていたとは…ッ！\nこいつは大きなミステイク…ッ！」	“没想到它还带着远程武器……！\n这是个巨大的失误……”
「いやいや！普通に銃構えただろ！\nさすがに気付くでしょ！？」	“不不不！它明明正常地举起了枪！\n这总该注意到吧！？”
「勢いよく飛び出して行ったわりには\n失速が早かったわね。」	“冲出去时气势十足，\n没想到这么快就泄气了。”
「浅はかね。」	“肤浅。”
「おのれ卑怯者め…！\nコソコソと隠れてないで出てきなさいッ！」	“可恶的卑鄙小人……！\n别鬼鬼祟祟躲着，给我出来！”
「冗談じゃねぇ！\n素手で銃とやり合えるかっての！」	“开什么玩笑！\n谁能徒手跟枪械对打啊！”
「おっと、お忘れですかな。川島さん。\nこちらにも飛び道具がある事を。」	“哎呀，川岛先生，您忘了吗？\n我们这边也有远程武器。”
「そうか！\n影山が改造したこの機体には\n新たな武装が追加されているんだった！」	“对了！\n影山改造的这具机体，\n还追加了新的武装！”
「川島さん！<ruby=ぎょうかく>仰角</ruby>45度！方向120度！\n距離30メートル！\nリボルバー発射！」	“川岛先生！<ruby=ぎょうかく>仰角</ruby>45度，方向120度！\n距离30米！\n发射左轮手枪！”
「了解！くらいやがれ！」	“收到！吃我这一击！”
（俺はコンテナから身を乗り出し\nノヴァの指示通りの座標に向かって\n右腕リボルバーを発射する！）	（我从集装箱探出身子，\n朝诺瓦指示的坐标\n发射右臂上的左轮手枪！）
（リボルバーの弾丸はソルジャーの\n頭部に直撃する！）	（左轮手枪的子弹\n正中士兵头部！）
「頭部損傷率55％……。\n視覚センサーに障害発生、命中精度低下。」	“头部损伤率55%……\n视觉传感器受损，命中精度下降。”
「なにィ…！？\nあの距離から頭部に直撃させただとォッ！？\n<ruby=こしゃく>小癪</ruby>なァッ！」	“什么……！？\n居然从那个距离直接命中头部！？\n真是<ruby=こしゃく>可恶</ruby>！”
「素晴らしい精密射撃です！」	“精彩的精准射击！”
「やるじゃない！ユート！」	“干得漂亮！悠斗！”
「機巧院さんの的確な座標指示のおかげね。」	“多亏了机巧院小姐精准的坐标指示。”
「いえ、喜ぶのは早いわ。」	“不，先别高兴得太早。”
「どういう事です？」	“什么意思？”
「今の一撃。\n獅堂ミナトの<ruby=げきりん>逆鱗</ruby>に触れたわ。」	“刚才那一击，\n触碰到了狮堂凑的<ruby=げきりん>逆鳞</ruby>。”
「眠れる<ruby=しし>獅子</ruby>を呼び起こしてしまったか。」	“看来是唤醒了沉睡的<ruby=しし>狮子</ruby>。”
「やってくれたなッ！\nもはや<ruby=てごころ>手心</ruby>など加えんッ！\n覚悟しろッ！」	“你干得好啊！\n我不会再<ruby=てごころ>手下留情</ruby>！\n觉悟吧！”
「ソルジャーッ！\nC4の使用を許可するッ！\n奴を消し飛ばせッ！」	“士兵！\n我准许使用 C4！\n把那家伙炸飞！”
「了解。C4の遠隔起動を実行。\n爆破します。」	“收到。执行 C4 远程启动。\n准备爆破。”
「ッ！？まずいッ！\n川島さん！そのコンテナから離れるッスッ！」	“！？糟糕！\n川岛先生，快离开那个集装箱！”
「おいおいッ！冗談だろ！？」	“喂喂！开什么玩笑！？”
（コンテナから離れると同時に\nコンテナは爆破され、\n俺は爆風で吹っ飛ばされる。）	（我刚离开集装箱，\n集装箱便被炸毁，\n我也被爆风掀飞。）
「ぐわああああーーーーーーッ！！！」	“呜哇啊啊啊————！！！”
「ユートーーーーッ！」	“悠斗————！”
「ふふん。これで決まりのようね。」	“哼哼，这下似乎已经分出胜负了。”
「いや。まだだ。」	“不，还没结束。”
システム	系统
「機体損傷率65%。\n右腕機能停止、リボルバー使用不能。\n左腕サブマシンガン、リロード機能に障害発生。」	“机体损伤率65%。\n右臂功能停止，左轮手枪无法使用。\n左臂冲锋枪的装填功能发生故障。”
「く……そ……っ。\nやりやがったな……っ。」	“可……恶……\n你还真干得出来……”
「ちっ！しぶとい奴め！\nまだ動けるのか…！」	“啧！真顽强！\n居然还动得了……”
「爆発の直撃は<ruby=まぬが>免</ruby>れたようだけど\n爆風の衝撃で<ruby=まんしんそうい>満身創痍</ruby>といったところね。」	“看来你<ruby=まぬが>躲过</ruby>了爆炸的正面冲击，\n但爆风的冲击也让你<ruby=まんしんそうい>遍体鳞伤</ruby>了。”
