# Chapter 1 continuation: a new day and a forgotten past
「ありがとう！\nありがとうございます！\nリスナーの皆様！」	“谢谢！\n真的非常感谢！\n各位听众！”
「まったく。\n<ruby=きこういん>機巧院</ruby>は警察官としての意識が低すぎるぞ。」	“真是的。\n<ruby=きこういん>机巧院</ruby>作为警察的自觉性太低了。”
「自由人でフリーダムなノヴァさんに\n警察官らしさを求めるのは無茶な気はしますけどねえ。」	“要一个自由奔放的诺瓦小姐\n表现得像警察，我觉得有点强人所难。”
「何を他人事のように言っている？\n監督責任だ。\n上司のお前が<ruby=きこういん>機巧院</ruby>を連れて来い。」	“你怎么说得像事不关己？\n这是你的监管责任。\n你这个上司去把<ruby=きこういん>机巧院</ruby>带回来。”
「ええー……。」	“诶——……”
「ふわわ～。おはよーッス。」	“呼哇～早上好。”
「おはよーって、もう12時なんだけど。\n昼だぞ。昼。」	“早上好？都十二点了。\n已经是中午了，中午。”
「いやー。昨日は深夜の耐久配信やってたもんで\n寝たの朝の5時なんスよねー。」	“哎呀，昨晚做深夜耐久直播，\n我可是早上五点才睡。”
「昨日もネットアイドルやってたのかよ。\nつーか、朝5時まで付き合う\nお前のリスナー達がすげーよ。」	“你昨天也在做网络偶像啊。\n话说，能陪你到早上五点的\n那些听众才真厉害。”
「自分のリスナーはもはや戦友。\nラスボスであるドラゴンを倒す瞬間まで\n彼らは自分にエールを送り続けていたのですぞ。」	“我的听众已经是战友了。\n直到击败最终Boss巨龙的那一刻，\n他们一直在为我加油。”
「彼らが居なければ\n感動のエンディングまで辿り着く事は\n叶わなかったでありましょう。」	“如果没有他们，\n我恐怕根本无法抵达\n感动的结局。”
（どうやらノヴァは\n<ruby=そうちょう>早朝</ruby>までゲーム配信をやっていたようだ。）	（看来诺瓦一直直播游戏\n直到<ruby=そうちょう>清晨</ruby>。）
「ありがとう。戦友。\nありがとう赤ギフチャ。」	“谢谢你们，战友。\n谢谢你们的红色礼物。”
「戦友からしっかりと\n金を巻き上げているのがえげつねェ。」	“从战友身上狠狠捞钱，\n你还真够狠的。”
「いやいや。自分からは\n金銭を要求をした事など一度もありませぬ。」	“不不不，我从来没有\n主动要求过钱。”
「これは戦友…もといリスナーからのお気持ち。\n『ノヴァちゃん頑張って！』というエールを\n貰っているのです。」	“这是战友……不，是听众们的心意。\n我收到的是‘诺瓦酱加油！’\n这样的声援。”
（などと<ruby=きょうじゅつ>供述</ruby>しているが俺は知っている。\nノヴァが配信の売上金の数字を見ながら\nニヤニヤと<ruby=ゆえつ>愉悦</ruby>に<ruby=ひた>浸</ruby>っているところを。）	（她嘴上这么<ruby=きょうじゅつ>供述</ruby>，但我知道真相。\n我亲眼见过诺瓦看着直播收入的数字，\n满脸<ruby=ゆえつ>愉悦</ruby>地<ruby=ひた>沉浸</ruby>其中。）
「はてさて、昨夜の耐久配信の思い出を語りたいのは\n山々ですがノヴァちゃんはお腹ペコペコなのです。」	“虽然很想聊聊昨晚耐久直播的回忆，\n但诺瓦酱肚子已经饿扁了。”
「朝ごはんをプリーズミー。」	“请给我早餐。”
「朝ごはんっていうかもう昼飯の時間なんだが。」	“这已经不是早餐时间，是午饭时间了。”
「まぁいいけどよ。\nいつものミートスパゲティでいいか？」	“算了，随你。\n还是照旧吃肉酱意大利面？”
「いえーす。」	“耶——是。”
「今作るからちょっと待ってろ。」	“我现在就做，等一会儿。”
「かたじけない。」	“承蒙关照。”
「そら、ミートスパゲティ一丁上がりだ。」	“来，肉酱意大利面做好了。”
「おー！待ってました！」	“哦——！等你好久了！”
「いっただっきまーす！」	“我开动啦！”
「んー！でりしゃす！」	“嗯——！好吃！”
（ノヴァはフォークでスパゲティを\nくるくると巻くと次々と口に放り込んでいく。）	（诺瓦用叉子卷起意大利面，\n一股脑儿地往嘴里塞。）
（本当に美味そうに食うもんだから\n俺も作った甲斐があるというものだ。）	（她吃得实在太香，\n让我也觉得这顿饭没白做。）
「しかし、毎日ミートスパゲティばっかり\n食ってて飽きないのか？」	“不过，你每天都吃肉酱意大利面，\n不会腻吗？”
「ミートスパゲティは大好物っスからねー。\n飽きるという概念は無いんスよ\nまさに息を吸うかのように食べられますなー。」	“因为我最喜欢肉酱意大利面嘛。\n我根本没有‘吃腻’这个概念，\n吃它就像呼吸一样自然。”
「そんなに好きとはねぇ。\n確かにメイド喫茶でもそれ食ってたもんな。」	“没想到你这么喜欢。\n你在女仆咖啡厅也一直吃这个。”
「まぁ、こっちは作るのが楽で助かるけどな。」	“不过对我来说倒是省事，做起来很方便。”
（ここに引っ越してきてから\n何か作れるものはないか食材を探したところ\n大量のパスタとミートソースの在庫があって驚いた。）	（搬来这里后，我找食材看看能做些什么，\n结果发现库存里有大量意大利面和肉酱，\n着实吓了一跳。）
（どうやらノヴァのやつ\nミートスパゲティガチ勢だったらしい。）	（看来诺瓦这家伙\n是个彻头彻尾的肉酱意大利面狂热者。）
「それにしても何でそんなに\nミートスパゲティが好きなんだ？」	“话说回来，你为什么这么喜欢\n肉酱意大利面？”
「それは川島さんが\n作ってくれた料理だからッスよ。」	“因为这是川岛先生\n为我做过的料理。”
「ん？別に俺が作る前から\nミートスパゲティ好きだったじゃねぇか。」	“嗯？在我做给你吃之前，\n你不就已经喜欢肉酱意大利面了吗？”
「俺はお前がミートスパゲティが\n好きだって言うから作っただけで……、」	“我只是因为你说喜欢肉酱意大利面，\n才做给你吃的……”
「それはもっと昔の話。\n自分と川島さんが出会って間もない頃。」	“那是更久以前的事。\n在我和川岛先生刚认识不久的时候。”
「今の川島さんは\n覚えてないかもしれないッスけどね。」	“不过现在的川岛先生\n可能已经不记得了。”
「昔の……俺？\n俺は過去にミートスパゲティを作った事がある…？」	“过去的……我？\n我以前给你做过肉酱意大利面……？”
（ダメだ……。\n全然思い出せねぇ……。）	（不行……\n完全想不起来……）
「その時の川島さんは全然料理が出来なくて\n唯一作れたのがパスタを<ruby=ゆ>茹</ruby>でる事だけだったんス。」	“那时的川岛先生完全不会做饭，\n唯一会做的，只有<ruby=ゆ>煮</ruby>意大利面。”
「茹でたパスタに\nたまたま家にあったミートソースをかけて\n空腹だった自分に<ruby=ふるま>振舞</ruby>ってくれた。」	“他把煮好的意大利面\n浇上家里碰巧有的肉酱，\n<ruby=ふるま>端给</ruby>饥肠辘辘的我吃。”
「慣れない料理でパスタは伸びてたし\nミートソースも賞味期限がとっくに切れていたけど。」	“那是他不熟悉的料理，面都煮烂了，\n肉酱也早就过了保质期。”
「それでも自分にとっては\nとても美味しくて忘れない味だった。\nそれが川島さんのミートスパゲティだったんス。」	“可对我来说，那依然是\n非常美味、永远不会忘记的味道。\n那就是川岛先生做的肉酱意大利面。”
（俺がノヴァに……\nミートスパゲティを作ってやった……？）	（我曾经给诺瓦……\n做过肉酱意大利面……？）
（確かに……そんな事が、あったような。）	（好像……确实发生过这种事。）
