# Chapter 1 continuation: arcade battle and mission briefing
「いけぇええええーーーーッ！！\nブリザルド・ソーマブレイドッ！」	“上啊啊啊啊——！\n冰霜苏玛之刃！”
「こんなに一生懸命なのに<ruby=むく>報</ruby>われないなんて\n可哀想じゃねぇか…！\n俺は救いたいんだブリュンヒルデをな…！」	“这么努力却得不到<ruby=むく>回报</ruby>，\n不可怜吗……！\n我想拯救布伦希尔德！”
「あー。川島さんって\n何か不遇系キャラ好きっスよね。」	“啊，川岛先生\n好像很喜欢不幸系角色。”
「自分と似た境遇に親近感が芽生えて\n感情移入してる感じッスか。」	“是因为和自己境遇相似，\n产生亲近感并代入了吗？”
「え？お前の中では\n俺は不遇キャラ扱いなの？」	“诶？在你看来\n我是这种不幸角色？”
「さあさあ。まだまだ手持ちのコインは\n残ってるッスよ。\n早くコンティニューするッス。」	“来来，手里的硬币\n还剩不少。\n快点继续。”
「手持ち……。」	“手里……”
（ゲーム筐体のテーブルに積み上げられていた\n１００円玉のタワーが見るも無残に\n標高が低くなっている。）	（堆在游戏机台上的\n百日元硬币塔，\n高度已经惨不忍睹地降低了。）
（そう。俺が負け続けてコンティニューする度に\n１００円玉を投入しているせいで\nあっという間にコインが枯渇していくのだ。）	（没错。因为我不断输掉、\n每次继续都投进百日元硬币，\n硬币才会转眼耗尽。）
（反面、ノヴァは最初にコイン投入から\n全戦全勝。奴はこれまでにたったの\n１００円しか消費していない。）	（相反，诺瓦从投币开始\n全战全胜。到现在为止\n她只花了一百日元。）
（弱者が<ruby=さくしゅ>搾取</ruby>され続ける現実。\nまさに格ゲーは社会の<ruby=しゅくず>縮図</ruby>。\nこんな<ruby=りふじん>理不尽</ruby>があってたまるか。）	（弱者不断被<ruby=さくしゅ>压榨</ruby>的现实。\n格斗游戏正是社会的<ruby=しゅくず>缩影</ruby>。\n这种<ruby=りふじん>蛮不讲理</ruby>怎么能忍。）
（負けられない。\n負けるわけにはいかない。\n絶対に負けられない戦いがここにある。）	（不能输。\n绝不能输。\n一场绝对不能输的战斗就在这里。）
「行くぞ！コンティニューだ！」	“上吧！继续！”
「見せてやろうぜ！ブリュンヒルデ！\n<ruby=げこくじょう>下剋上</ruby>、番狂わせ、\nジャイアントキリングだ！」	“让他们看看吧，布伦希尔德！\n<ruby=げこくじょう>下克上</ruby>、爆冷、\n巨人杀手！”
「<ruby=しょうこ>性懲</ruby>りも無くブリュンヒルデッスか。\nいいでしょう。すぐに『くっころ』にしてやりますよ。\n『くっころ』に。」	“又不长<ruby=しょうこ>记性</ruby>地用布伦希尔德吗。\n好吧，我马上让你‘去死吧’。\n让你‘去死吧’。”
（女騎士であるブリュンヒルデは\n敗北すると『くっ……、殺せ。』、\n通称『くっころ』ボイスがあるのだ。）	（女骑士布伦希尔德败北时\n会说“呜……杀了我吧”，\n这就是所谓的“去死吧”语音。）
（もちろんそのボイスは特定の層には\nご褒美ではあるのであえて弱キャラの\nブリュンヒルデを使う輩も少なくない。）	（当然，这句语音对某些人来说是奖励，\n所以故意使用弱角\n布伦希尔德的人也不少。）
（――――だが！）	（————但是！）
「俺は……俺達は勝つッ！」	“我……我们会赢！”
「行くぜえええええーーーーーッ！！」	“上啊啊啊啊啊————！”
（この後、俺は更に２０連敗した。\nブリュンヒルデの『くっころ』祭り開催である。）	（之后我又连败二十场。\n布伦希尔德的“去死吧”祭典开幕。）
「くそー。結局、\nノヴァに１度も勝てなかったぜー。」	“可恶，结果还是\n一次都没赢过诺瓦。”
「ははは。\nまたいつでも相手になってやるでござるよ。」	“哈哈哈。\n随时都可以再陪你打。”
「それまでに練習を積んでおく事ですなー。」	“在那之前可要好好练习。”
「次は負けねーからな！」	“下次我不会输！”
「おや？」	“咦？”
「そうこうしているうちに\n日が落ちてしまいましたな。」	“不知不觉\n太阳已经下山了。”
「ああ。暗くなってきたし\nそろそろ帰るとするか。」	“嗯，天也黑了，\n差不多该回去了。”
「うーん！久々のデート、\n随分<ruby=たんのう>堪能</ruby>出来ましたなー。」	“嗯——！久违的约会\n真是<ruby=たんのう>尽兴</ruby>。”
「デートって何か\nもっと<ruby=あまず>甘酸</ruby>っぱいやつ\nじゃなかったっけ？」	“约会不该是\n更<ruby=あまず>酸甜</ruby>的东西\n吗？”
「それはアニメや映画の見過ぎですなー。\n真のデートとは\n二人で楽しい時間を過ごす事ッスよ。」	“那是动画和电影看太多了。\n真正的约会，\n就是两个人一起度过快乐时光。”
「自分は今日はとても楽しい一日でした。\n川島さんはどうですかな？」	“我今天过得很开心。\n川岛先生呢？”
「ああ。俺も楽しかったぜ。\nまったく想定してなかった\n劇場版ザクロちゃんも観れたことだしな。」	“嗯，我也很开心。\n还看到了完全没预料到的\n剧场版小石榴。”
「むー。\n今日楽しかったかと聞かれて\n映画の話するのマジでノンデリッスよ。」	“唔——。\n问你今天开不开心，\n你却只说电影，真是没情商。”
（予想の斜め上の返答が返って来て\n<ruby=ふまんげ>不満気</ruby>にむくれるノヴァ。）	（收到意料之外的回答，\n诺瓦<ruby=ふまんげ>不满地</ruby>鼓起脸。）
（ザクロちゃんに\n嫉妬するのちょっと可愛いとこあるな。）	（她会嫉妒小石榴，\n还真有点可爱。）
「ははは。そう怒るなって。\nもちろんノヴァとメイドカフェに行ったり\nゲーセンで遊んだりしてるのは楽しいよ。」	“哈哈，别生气。\n当然，和诺瓦去女仆咖啡厅、\n在游戏厅玩都很开心。”
「なんていうのかな、お前と居ると\n変に気を使わなくていいっていうか\n自然体で居られるのがいいんだよな。」	“怎么说呢，和你在一起\n不用刻意顾虑什么，\n能保持自然状态，这感觉很好。”
「ふっふっふ。そうでしょう。\n自分と川島さんは<ruby=あうん>阿吽</ruby>の呼吸。\n相性バッチリなんスから。」	“呵呵，没错。\n我和川岛先生<ruby=あうん>默契十足</ruby>，\n相性完美。”
「これも腐れ縁。\nマスター登録した時から\n長い付き合いッスからねー。」	“这也是孽缘。\n从登记为主人的那天起，\n我们就相处很久了。”
「川島さん事なら\nもはや手に取るようにわかるのですよ。」	“只要是川岛先生的事，\n我都了如指掌。”
「マスター登録……そうか。\n公園でのオートマタ暴走事件より\nずっと昔に既に俺達は出会っていたんだよな。」	“登记主人……原来如此。\n在公园自动人偶暴走事件很久以前，\n我们就已经相遇了。”
「……未だに思い出せないが。」	“……可我还是想不起来。”
「まったくー。\nノエルさんの事は思い出したのに\n何で自分の事は思い出してくれないんスかねー。」	“真是的。\n明明想起了诺艾尔小姐，\n为什么想不起我的事呢。”
「やっぱり思い出すきっかけなのかな。」	“果然需要一个契机吗。”
「ノエルの事はあいつと出会った場所、\n生体工学研究所に行ったことが\nきっかけで思い出す事が出来た。」	“诺艾尔的事，是因为去了\n和她相遇的地方，也就是生体工学研究所，\n才想起来的。”
「もしかしたらノヴァと初めて出会った場所に\n行ったら何か思い出せるかもしれないな。」	“也许去和诺瓦初次相遇的地方，\n我就能想起什么。”
「……残念ながらそれは無理ッスね。」	“……遗憾的是，那不可能。”
「無理？」	“不可能？”
「自分と川島さんの出会いの場所、\nマスター登録をした場所。\nそれはこの世界のどこにも存在しないんス。」	“我和川岛先生相遇的地方，\n登记主人的地方，\n在这个世界任何地方都不存在。”
「ここは―――、\nこの世界は―――――――、」	“这里是————，\n这个世界是——————，”
「―――――■■■■■■だから。」	“——————因为是■■■■■■。”
（……今、見えたのは何だ？\n見たことのない光景……はずだ。\n俺はあんな場所に行ったことはない。）	（……刚才看到的是什么？\n应该是从未见过的景象……\n我从没去过那种地方。）
（けど……何故か、俺は知っている気がする。\n何なんだこの感覚は……？）	（可是……不知为何，我觉得自己知道。\n这种感觉到底是什么……？）
（駄目だ……。思い出そうとすると\n頭が割れそうに痛くなる……。）	（不行……一想起来，\n头就痛得像要裂开……。）
「無理に思い出そうとしない方がいいッスよ。\n<ruby=げっこうけいかく>月光計画</ruby>に都合の悪い情報へのアクセスが\n制限されているッスから。」	“别勉强自己回忆。\n因为对<ruby=げっこうけいかく>月光计划</ruby>不利的信息访问\n受到了限制。”
「ロックされたセキュリティを\n無理に突破しようとすれば対象者の<ruby=こんぱく>魂魄</ruby>が\nダメージを受け、最悪廃人になるッス。」	“如果强行突破锁定的安全系统，\n对象的<ruby=こんぱく>魂魄</ruby>会受损，\n最坏可能变成废人。”
「……<ruby=げっこうけいかく>月光計画</ruby>。\nお前と影山は一体何を<ruby=たくら>企</ruby>んでいるんだ？」	“……<ruby=げっこうけいかく>月光计划</ruby>。\n你和影山究竟在<ruby=たくら>谋划</ruby>什么？”
「<ruby=げっこうけいかく>月光計画</ruby>の到達点。\nそれは川島さん自身で確かめて欲しいッス。\nそうでなければ意味が無い。」	“<ruby=げっこうけいかく>月光计划</ruby>的终点，\n希望川岛先生亲自确认。\n否则就没有意义。”
「何故ならこの<ruby=げっこうけいかく>月光計画</ruby>の鍵は\n<ruby=とくいてん>特異点</ruby>である川島さんが握っているのだから。」	“因为<ruby=げっこうけいかく>月光计划</ruby>的钥匙，\n就在作为<ruby=とくいてん>奇异点</ruby>的川岛先生手中。”
「どういう結末を迎えるかは川島さん次第ッス。\nそして……我々の未来も。」	“会迎来怎样的结局取决于川岛先生。\n还有……我们的未来。”
「……その<ruby=げっこうけいかく>月光計画</ruby>ってのは\n俺にはよくわからない。よくわからないが、\n俺のやる事は最初から何も変わらない。」	“……那个<ruby=げっこうけいかく>月光计划</ruby>，\n我还不太明白。虽然不明白，\n但我要做的事从一开始就没变。”
「俺達の当初の作戦。\n５人の学園アイドル攻略をし<ruby=むげんつくよみ>夢幻月読</ruby>を<ruby=だは>打破</ruby>すれば\nその答えに辿り着けるんだな？」	“按照最初的计划，\n攻略五名学园偶像、<ruby=むげんつくよみ>梦幻月读</ruby><ruby=だは>打破</ruby>，\n就能得到答案，对吧？”
「そうッス。だから川島さんは\nこのままヒロインである自分を攻略するんスよ。\n今日はその為のデートでもあるんスから。」	“没错。所以川岛先生要继续攻略\n身为女主角的我。\n今天也是为此而进行的约会。”
「自分から攻略を\n<ruby=うなが>促</ruby>すヒロインってのも珍しいよな。」	“主动<ruby=うなが>催促</ruby>别人攻略自己的女主角，\n真少见。”
「自分は<ruby=けいかくすいしんがわ>計画推進側</ruby>ッスからね。\n他の<ruby=うぞうむぞう>有象無象</ruby>のヒロイン達とは\n立場が違うんスよ。」	“因为我是<ruby=けいかくすいしんがわ>计划推进方</ruby>。\n和其他<ruby=うぞうむぞう>乌合之众</ruby>的女主角们，\n立场不同。”
「<ruby=うぞうむぞう>有象無象</ruby>で片づけられる他のヒロイン達に\n反感を買う発言だぞ。」	“把其他女主角统统归为<ruby=うぞうむぞう>乌合之众</ruby>，\n会引起她们反感的。”
「兎にも角にも本来の計画で\n学園アイドル攻略に専念したいんスから\nいい加減フェイリクスの件を片付けないとッスね。」	“总之我想按照原计划\n专心攻略学园偶像，\n所以该解决费利克斯的事了。”
「ああ。フェイリクスのクソ野郎に\nユリ姉が寝取られてる状態じゃ\nおちおちデートにも行けねーぜ。」	“是啊。百合姐被费利克斯那个混蛋\n抢走的状态下，\n我连约会都不得安生。”
「……川島さんだって\nフェイリクスに身体を奪われてるのに\n真っ先に気になるのがユリせんせーの事なんスね。」	“……明明川岛先生的身体\n也被费利克斯夺走了，\n你最先担心的还是百合老师。”
「あったりまえよ！ユリ姉は俺の唯一の家族、\nそして最強のお姉ちゃん！\n失う訳にはいかないのさ。絶対に。」	“那当然！百合姐是我唯一的家人，\n也是最强的姐姐！\n我绝不能失去她。”
「川島さんが超絶シスコンなのには\n<ruby=じゅうじゅうしょうち>重々承知</ruby>ではあるんスけど\nヒロイン側としては不安になるんスよね。」	“我<ruby=じゅうじゅうしょうち>非常清楚</ruby>川岛先生是超级姐控，\n但作为女主角\n还是会不安。”
「家族愛が重いとかいうか、明らかに度を越えている。\n自分にとってユリせんせーが\n最大のライバルであるという事実に。」	“与其说家人爱得沉重，不如说明显过头了。\n对我来说，百合老师\n可是最大的情敌。”
「俺は好きに正直なだけさ。」	“我只是坦率地面对喜欢的人。”
「馬鹿正直にも程があると言ってるんスよ。」	“我说的是你坦率过头了。”
「……記憶を失っていても本当にブレないというか\n根っこの部分は相変わらずッスね。」	“……即使失去记忆也毫不动摇，\n本质上还是老样子。”
「さて、そろそろ帰りますか。我が家に。\nこの後、深夜から配信もあることですし。」	“好了，差不多回家吧。\n之后深夜还要直播。”
「うっそ。この後、配信やる気なのかよ。」	“不是吧，你之后还要直播？”
「今日は伝説のクソゲー\n『すーぱーまるおブラザーズ』の\nエンディングを目指すんスよ。」	“今天要挑战传说中的垃圾游戏\n《超级丸尾兄弟》，\n目标是打到结局。”
「体力オバケか。」	“你是体力怪物吗。”
「忘れたんスか？\nオートマタは体力無尽蔵ッスよ。」	“忘了吗？\n自动人偶的体力可是无穷无尽。”
「確かに。そういうところは良いよな。\n俺もオートマタになって\nありがたみに気付いたわ。」	“确实，这一点不错。\n我变成自动人偶后\n才知道它的好处。”
「ま、オートマタのメリットは\nそれだけじゃないッスけどねー。」	“嘛，自动人偶的优点\n可不止这一点。”
「さーて、お仕事お仕事ーっと。」	“好了，工作工作。”
（ノヴァは両手を頭の後ろで組みながら\nテクテクと駅に向かっていく。）	（诺瓦双手抱在脑后，\n迈着小步走向车站。）
「ほら、川島さん。\nさっさと帰るッスよー。」	“走吧，川岛先生。\n快回家。”
「おうよ。」	“好嘞。”
（そして俺達は歩き出す。\n二人の帰るべき場所へ。）	（于是我们迈步前行，\n走向两人应该回去的地方。）
