# Chapter 1 continuation: preparing the laboratory infiltration
「生体工学研究所は数年前に\n爆発事故が発生して以来閉鎖中だ。」	“生体工学研究所自几年前发生爆炸事故后，\n就一直处于关闭状态。”
（ノヴァがここぞとばかりに\nキメ顔でキメ台詞を放った。）	（诺瓦抓住机会，\n摆出帅气表情说出帅气台词。）
ノヴァ・メイド店員	诺瓦·女仆店员
「おいしくなーれ♪\nおいしくなーれ♪」	“变得好吃吧♪\n变得好吃吧♪”
「萌え萌えきゅーん♪」	“萌萌啾——♪”
メイド店員	女仆店员
「はい。美味しくなる魔法をかけたわよ。」	“好了，我施加了让食物变美味的魔法。”
「それじゃごゆっくり～。」	“那么请慢慢享用～。”
「ほーい。あでゅー。」	“好嘞，回见。”
「さてさて料理も来た事ですし……」	“好了好了，既然菜也上来了……”
「いただきまーす。」	“我开动啦。”
「はぐはぐ……うーん、デリシャス。」	“嚼嚼……嗯，好吃。”
（ノヴァはいつものように\nミートスパゲティを美味そうに食べていた。）	（诺瓦像往常一样，\n津津有味地吃着肉酱意大利面。）
「……っていうか朝飯も\nミートスパゲティだったのに\n昼もそれ食うのかよ。」	“……话说早饭\n明明也是肉酱意大利面，\n午饭你还吃这个啊？”
