# Chapter 1 continuation: Nova's present
「さて、今回のデートのラストを飾るのは\nこのお店ッス。」	“好了，为这次约会压轴的，\n就是这家店。”
「相変わらず用心深い奴だ。\nさすがは<ruby=いかるがけいさつ>斑鳩警察</ruby>・<ruby=ちょうほうぶ>諜報部</ruby>だな。」	“还是一如既往地谨慎。\n不愧是<ruby=いかるがけいさつ>斑鸠警察</ruby><ruby=ちょうほうぶ>情报部</ruby>的人。”
「ははは。<ruby=しょくぎょうがら>職業柄</ruby>でして。」	“哈哈哈，这是<ruby=しょくぎょうがら>职业习惯</ruby>。”
「<ruby=いかるがけいさつ>斑鳩警察</ruby>？<ruby=ちょうほうぶ>諜報部</ruby>？」	“<ruby=いかるがけいさつ>斑鸠警察</ruby>？<ruby=ちょうほうぶ>情报部</ruby>？”
「こいつが噂に聞く、\nお前さんのマスターってやつか。」	“这家伙就是传闻中，\n你的那位主人吗？”
「そッス。川島さんッス。」	“没错，就是川岛先生。”
「まぁ、今は見ての通りオートマタになってて\n成り行きで自分がこの人のマスターやってますが。」	“不过，他现在如你所见变成了自动人偶，\n因缘际会之下，反倒由我担任他的主人。”
「はー。話には聞いてたが\nこれが元人間だってんだから信じられねぇよなぁ。」	“哈——。虽然听说过这件事，\n但这东西原本是人类，还是让人难以置信。”
「<ruby=ていこくじゅうこう>帝国重工</ruby>がすげーのか、\n<ruby=むげんつくよみ>夢幻月読</ruby>がすげーのか、\nはたまた、こいつがすげーのか。」	“不知道该说<ruby=ていこくじゅうこう>帝国重工</ruby>厉害，\n还是<ruby=むげんつくよみ>梦幻月读</ruby>厉害，\n又或者是这家伙厉害。”
「まぁ、全ての要素が絶妙に絡み合って\nこういう<ruby=じしょう>事象</ruby>にはなってるみたいッスけど。」	“应该是所有要素巧妙地交织在一起，\n才形成了现在这种<ruby=じしょう>现象</ruby>。”
「おいこら。お前ら。\n俺を置いてけぼりにして\n意味のわからねー話してんじゃねー。」	“喂，你们两个。\n别把我晾在一边，\n自顾自聊些让人听不懂的话。”
「驚いたな。\n本当に人間みたいに喋るじゃねぇか。\nこのオートマタ。」	“真让人吃惊。\n这台自动人偶\n居然真的像人类一样说话。”
「俺は元々人間だっつーの。\nそれとオートマタじゃねぇ、\n川島ユートだ。」	“都说了我原本就是人类。\n还有，别叫我自动人偶，\n我叫川岛悠斗。”
「それで、テンチョー。\n例のブツは？」	“那么，店长。\n我说的那件货呢？”
「あぁ。仕入れておいたぜ。」	“啊，已经进到货了。”
「こいつがお望みのブツだ。」	“这就是你想要的东西。”
「――――――――ッ！？」	“――――――――！？”
（テンチョーが棚から取り出した四角い長方形の箱。）	（店长从架子上取出一个四四方方的长方形盒子。）
（一目でわかった。いや、見間違えるはずがない。）	（我一眼就认出来了。不，我绝不可能看错。）
（だって、これはフェイリクスのクソ野郎によって\n消し炭となってしまった俺の宝物。）	（因为这正是被费利克斯那个混蛋\n烧成灰烬的，我最珍贵的宝物。）
「『魔法アイドル・ザクロちゃん\nBD-コンプリートボックス』ッ！！！」	“《魔法偶像小石榴\n蓝光全集套装》！！！”
「し、しかもッ！未開封新品……だとッ！！」	“而、而且！还是全新未拆封……！！”
「当時、ザクロちゃんは知名度が無く\nマイナーな部類だった為メーカーは初回限定盤を\nたった３０００本しか作らなかった。」	“当时小石榴没有什么知名度，\n属于冷门作品，因此厂商制作的初回限定版\n只有区区三千套。”
「やがて、ザクロちゃんの人気が爆発すると\n初回限定盤の価値はとんでもない事になり、」	“后来小石榴人气暴涨，\n初回限定版的价值也一路飙升。”
「インフレにインフレを重ね、\n中古価格でも高級車を買えるレベルの超高額品。\nまさに幻の一品となってしまった。」	“价格一涨再涨，\n就连二手价都高到足以购买一辆豪车。\n彻底成了传说中的珍品。”
「だが、ここにあるのは未開封新品…ッ！\nこいつは下手すれば家すら買えるような\nどえらい価値の品だ……ッ！」	“可摆在这里的却是全新未拆封……！\n这东西弄不好价值高到\n足以买下一栋房子……！”
「い、一体…ッ！\n何故こんなものがここにッ！？」	“这、这究竟……！\n为什么会出现在这里！？”
「おいおい。川島。何を寝ぼけてやがる。\nちっと考えればわかるだろう。」	“喂喂，川岛。你在犯什么迷糊。\n稍微想想不就明白了吗？”
「こいつを注文したのは誰だ？\nそしてそれは誰の為だ？」	“是谁订购了这个？\n又是为了谁订的？”
「……ッ！？\nま……まさか……ッ！？」	“……！？\n难……难道说……！？”
「川島さんの大事なザクロちゃん。\nお返しするッス。」	“川岛先生珍爱的小石榴，\n现在还给你。”
「だから、元気出してください。\n川島さんは馬鹿みたいに前向きな方が\n川島さんらしいんスから。」	“所以，请打起精神。\n像个笨蛋一样永远积极向前，\n才更像川岛先生。”
「ノヴァ……お前……っ。\n俺の為に……っ。」	“诺瓦……你……\n为了我……”
「言ったでしょう。今日はデートだって。\nこれは川島さんに元気を出してもらう為の\nデートだったんスよ。」	“我不是说了吗，今天是约会。\n这场约会就是为了\n让川岛先生重新振作。”
（ノヴァは『魔法アイドル・ザクロちゃん\nBD-コンプリートボックス』を俺に手渡す。）	（诺瓦将《魔法偶像小石榴\n蓝光全集套装》递给了我。）
「今度は失くさないようにしてくださいッス。」	“这次请不要再弄丢了。”
「あ……ありがとう…っ。ノヴァ……っ。\n俺……俺……マジで嬉しいよ……っ。」	“谢……谢谢你，诺瓦……\n我……我……真的好高兴……”
（俺が人間だったら涙を流していた事だろう。\n今の自分がオートマタである事が\nなんと嘆かわしい事なのか。）	（如果我还是人类，此刻一定已经泪流满面。\n现在的自己是自动人偶，\n这件事多么令人悲叹。）
「で、でもよ……っ。\nこんな高いもん本当に貰っていいのか……っ。」	“可、可是……\n这么昂贵的东西真的能送给我吗……”
「いいんスよ。それはテンチョーに\nタダで仕入れてもらったもんス。」	“没关系。这是请店长\n免费弄来的。”
「タダって……これが無料だと！？\nオークションに出せば家すら買えるレベルなのに！？」	“免费……这东西不要钱！？\n拿去拍卖甚至能买下一栋房子啊！？”
「別にそいつを手に入れる事自体は\n大して難しくなかったぜ。\nいつものノヴァの依頼に比べりゃな。」	“拿到这东西本身\n并没有多困难。\n至少比诺瓦平时的委托容易。”
「それに、今回そいつを仕入れた事で\nノヴァへの貸し借りはチャラになったんだ。\nむしろ、俺にとっては安いもんだ。」	“而且，这次替她进了这件货，\n我和诺瓦之间的人情债就一笔勾销。\n对我来说反而很划算。”
「へへ。毎度。」	“嘿嘿，成交。”
（おいおい……。\nこのとんでもない価値の初回限定盤を\nチャラにするぐらいの借りってなんだよ……。）	（喂喂……\n到底是什么样的人情债，\n竟能用价值惊人的初回限定版一笔勾销……）
（ノヴァって掴みどころの無い奴だと思ってたが\n実はとんでもなく凄い奴なんじゃないのか…？）	（我一直觉得诺瓦是个让人捉摸不透的家伙，\n可她其实是不是厉害得不得了……？）
「おや？　どしたんスか、川島さん。\nそんなに自分の事をジロジロ眺めて。	“哦？怎么了，川岛先生？\n为什么一直盯着我看？”
「もしかしてノヴァちゃんに惚れたな～？」	“该不会是迷上诺瓦了吧～？”
「俺、今回の一件で\nノヴァの事、好きになったわ。」	“经历这件事之后，\n我喜欢上诺瓦了。”
「ほほお。」	“哦哦。”
「ちょ……っ、\n急にマジになるのやめて欲しいんスけど。」	“等……\n能别突然这么认真吗？”
「お前のプレゼント。\n最高だぜ。一生大事にするからな。」	“你送的礼物，\n棒极了。我会珍惜一辈子的。”
「そんなにストレートに喜んで貰えると\nプレゼントした甲斐があったってものですな。」	“你能这么直率地表达喜悦，\n这份礼物也算送得值得了。”
「川島……か。\nあのノヴァにここまでさせるとはな。\n面白い男だ。」	“川岛……吗。\n居然能让那个诺瓦为他做到这种地步。\n真是个有趣的男人。”
「まぁ、一緒に居て飽きないッスね。\n川島さんは。」	“不过，和川岛先生在一起，\n确实永远不会无聊。”
「川島さん。今日は川島さんの為にデートして\nザクロちゃんもプレゼントしたんスから\n我々の計画の事もちゃんとしてくださいッスね。」	“川岛先生，今天我为了你安排约会，\n还把小石榴送给了你，\n所以也请认真执行我们的计划。”
「わかってるって。フェイリクスをぶっ飛ばして\nユリ姉を取り戻すッ！任せときな！」	“知道啦。打飞费利克斯，\n夺回百合姐！尽管交给我！”
「いや、ユリせんせーだけじゃなくて、\n学園アイドルを全員救出して欲しいんスけど。」	“不，我希望你不只救百合老师，\n而是把所有校园偶像都救出来。”
