# Chapter 1 continuation: Nova's origin and the rematch
「どちらの選択も\n二人が望んだ結果になっているッス。」	“你们各自的选择，\n都带来了两人期望的结果。”
「そう来なくっちゃ、\nじゃあ早速……やろうか！」	“就该这样。\n那我们马上……开始吧！”
「さあ、―――――やろうか。」	“来吧，——————开始。”
「く……っ！\nやるしかねぇのか……っ！」	“可恶……！\n只能打了吗……！”
「その勝負、俺が<ruby=たいちあいにん>立会人</ruby>を引き受けよう。」	“这场决斗的<ruby=たいちあいにん>见证人</ruby>，由我来担任。”
「アイゼン……！？\n何でここに！？帰ったんじゃねぇのか！？」	“艾森……！？\n你怎么还在这里！？不是回去了吗！？”
「サツキがここに入るのを見かけてな。\n後を付けて来た。」	“我看到皋月进了这里。\n就跟在她后面来了。”
「は！？\nサツキ、こいつを知ってるのか！？」	“哈！？\n皋月，你认识这家伙吗！？”
「いや、全然知らないけど。」	“不，完全不认识。”
「うわー。\n五月雨さんのストーカーだー。」	“哇——\n是五月雨小姐的跟踪狂。”
「一方的に女子高生をつけ回してんじゃねぇ！\n犯罪だぞ！犯罪！」	“别单方面跟踪女高中生啊！\n这是犯罪！犯罪！”
「黙れ。俺はサツキが心配なだけだ。」	“闭嘴。我只是担心皋月。”
「サツキ。この勝負の<ruby=たいちあいにん>立会人</ruby>、\n俺に任せてくれ。」	“皋月，这场决斗的<ruby=たいちあいにん>见证人</ruby>\n交给我吧。”
「誰だか知らないけど\nやってくれるんだっていうのなら\nお願いするよ。」	“虽然不知道你是谁，\n但既然你愿意帮忙，\n那就拜托你了。”
「話は決まりだな。」	“那就说定了。”
「おい、俺にも許可取れよ。」	“喂，也该征求我的同意吧。”
「<ruby=きこうしょうぶ>機巧勝負</ruby>のルール確認だ。」	“确认<ruby=きこうしょうぶ>机巧对决</ruby>的规则。”
「無視かよ！」	“无视我吗！”
「尚、<ruby=マイスター>操縦者</ruby>への<ruby=ダイレクトアタック>直接攻撃</ruby>は禁止とし\nあくまでもオートマタ同士の戦いで勝敗を決する。\n異論は無いな？」	“另外，禁止对<ruby=マイスター>操纵者</ruby>进行<ruby=ダイレクトアタック>直接攻击</ruby>，\n只能通过自动人偶之间的战斗分出胜负。\n没有异议吧？”
「無いよー。」	“没有——”
「おけおけおっけーッス。」	“OK、OK，没问题。”
「では尋常に―――――、」	“那么堂堂正正地——”
（アイゼンは片手を天高く上げ、）	（艾森将一只手高高举起，）
「行け！ガラハドくん！\n撃ち殺せー！ばんばんっ！」	“上吧，加拉哈德！\n开枪打死他——！砰砰！”
「なんて物騒な事を言いやがる…！」	“你这话也太吓人了……！”
「了解。マスター。\n右腕ガトリング、射撃準備。」	“了解，主人。\n右臂加特林，准备射击。”
「ノヴァ！どうする回避か！？」	“诺瓦！怎么办，躲开吗！？”
「いや、こちらもサブマシンガン発射用意！」	“不，我们也准备发射冲锋枪！”
「何ィ！？」	“什么！？”
（俺はノヴァの指示通り、\n左腕のサブマシンガンを構える。）	（我按照诺瓦的指示，\n架起左臂的冲锋枪。）
「へえ、ガラハドくんと撃ち合いしようっての？」	“哦，要和加拉哈德对射吗？”
「面白い！蜂の巣になっちゃえ！」	“有意思！把他打成马蜂窝！”
「川島さん！正面から撃ち落とすッス！」	“川岛先生！从正面把它们击落！”
「こうなりゃヤケだッ！！！\nうおおおおおおーーーーーーーッ！！！！」	“事到如今拼了！！！\n呜哦哦哦哦哦————！”
（ガラハドのガトリング砲から乱射された弾丸に\n俺は狙いを付け、左腕サブマシンガンを発射する。）	（面对加拉哈德加特林炮扫射而来的子弹，\n我瞄准目标，开火左臂冲锋枪。）
（するとどうか。向かってくる弾丸に全てに\nこちらの弾丸を<ruby=すんぶんたが>寸分違</ruby>わず当て撃ち落としていく。）	（没想到，迎面而来的每一发子弹\n都被我们的子弹<ruby=すんぶんたが>分毫不差</ruby>地击中并打落。）
（まさに<ruby=せいかくむひ>正確無比</ruby>。精密な射撃。\nガラハドの弾丸がすべてロックオン\nされているような感覚である。）	（真是<ruby=せいかくむひ>精准无比</ruby>的射击。\n感觉加拉哈德的每一发子弹\n都被锁定了。）
「馬鹿な……ッ！相手の発射した弾丸に\nカウンターで弾丸を当てて撃ち落とすだと……！？」	“不可能……！\n居然用子弹反击对方射来的子弹，将其击落……！？”
「そんな複雑な弾道計算……\n単機のオートマタが出来るわけが無い…！」	“那么复杂的弹道计算……\n单机自动人偶不可能做到……！”
「ふっ。<ruby=だいさんせだいがた>第三世代型</ruby>の演算能力を\n<ruby=あなど>侮</ruby>ってもらっちゃ困るッスね。」	“哼，第三代机型的运算能力可不能被<ruby=だいさんせだいがた>小看</ruby>，\n别<ruby=あなど>轻视</ruby>我啊。”
（なるほど。ノヴァの<ruby=こんぱくせつぞく>魂魄接続</ruby>によって\n俺とノヴァの２機分の<ruby=だんどうけいさん>弾道計算</ruby>が行われているのか。\nつまり、CPUがデュアルコアになっているようなものだ。）	（原来如此。通过诺瓦的<ruby=こんぱくせつぞく>魂魄连接</ruby>，\n同时进行我和诺瓦两台机体的<ruby=だんどうけいさん>弹道计算</ruby>。\n也就是说，就像CPU变成了双核。）
