# Chapter 1 continuation: the salary ultimatum
「ユ、ユリ姉は悪くねえ…っ！\nユリ姉は悪くねえ…っ！」	“百、百合姐没错……！\n百合姐没有错……！”
「ほう。フェイリクス捕獲任務は\n斑鳩警察本部の<ruby=ちょくめい>勅命</ruby>。\nそれよりも重要な任務とは何だ？」	“哦？费利克斯捕获任务可是\n斑鸠警察总部的<ruby=ちょくめい>敕命</ruby>。\n还有什么任务比它更重要？”
「―――――<ruby=はいしんしゃ>配信者</ruby>。\nそれは人々に勇気と希望を届ける仕事。\n自分は彼らの闇を照らす光となりたいんス。」	“——————<ruby=はいしんしゃ>主播</ruby>。\n那是把勇气与希望带给人们的工作。\n我想成为照亮他们黑暗的光。”
「ふざけるな。何が勇気と希望だ。\n画面の外の奴らはインターネットアイドルなどという\n<ruby=きょこう>虚構</ruby>に踊らされているに過ぎん。」	“少胡说。勇气和希望算什么？\n屏幕外的那些人，不过是在名为网络偶像的\n<ruby=きょこう>虚构</ruby>里被牵着走罢了。”
「いいか。今、我々が最優先に解決すべきは\nフェイリクスに洗脳された生徒達を救出する事だ。」	“听好了。现在我们最优先要解决的，\n是救出被费利克斯洗脑的学生。”
「その為には一刻も早く、\nフェイリクスを捕獲する必要がある。\n配信者などという<ruby=どうらく>道楽</ruby>に<ruby=うつつ>現</ruby>を抜かしている暇などないのだ。」	“为此必须尽快\n逮捕费利克斯。\n没时间沉迷于主播这种<ruby=どうらく>消遣</ruby>，<ruby=うつつ>荒废正事</ruby>。”
「は、配信者を……遊び…だと…？」	“你、你说主播……只是玩……？”
（真田の<ruby=むじひ>無慈悲</ruby>な一言。インターネットアイドル業を\n否定されたノヴァは\nわなわなと怒りに打ち震える。）	（真田<ruby=むじひ>无情</ruby>的一句话。\n网络偶像事业遭到否定的诺瓦，\n气得浑身发抖。）
「あんた…何もわかっちゃいねぇよ…っ！」	“你……什么都不懂……！”
「こちとら食事も…睡眠時間も削って…、\nそれこそ命を削ってアイドルやってんだ…！」	“我可是连吃饭……睡觉的时间都压缩了……\n简直是在拿命做偶像啊……！”
「別に食事も睡眠もたっぷりとってるけどな。」	“可你明明吃得饱、睡得足。”
「遊びでやってんじゃないんだよー！！」	“我才不是在玩啊——！！”
（<ruby=じそんしん>自尊心</ruby>を傷つけられ\nブチ切れたノヴァは真田に殴りかかる…！）	（<ruby=じそんしん>自尊心</ruby>受到伤害的诺瓦\n彻底暴怒，向真田挥拳……！）
「これが若さか。」	“这就是年轻吗。”
（真田はノヴァの拳を掴むと\n突進力をそのまま利用し\n<ruby=あいきどう>合気道</ruby>の如くノヴァを放り投げる。）	（真田抓住诺瓦的拳头，\n顺势借力，\n如同<ruby=あいきどう>合气道</ruby>般将诺瓦甩了出去。）
（そして、投げ飛ばされたノヴァ\n何故か俺の方に一直線で飛んでくる。）	（被甩飞的诺瓦，\n不知为何直直朝我飞了过来。）
「ちょ！？えっ！？\nこっち！？」	“等一下！？什么！？\n往我这边来了！？”
「ぐええええーーーーッ！！！」	“呜哇啊啊啊————！”
「いてて……っ。\n部下を投げ飛ばすとは何事ッスか！\nパワハラで訴えてやるッ！」	“好痛……！\n居然把部下扔出去，算什么上司！\n我要以职场霸凌起诉你！”
「先に仕掛けて来たのは貴様だろう。\nそれに国家権力である斑鳩警察に\nパワハラなどという概念が通用すると思うな。」	“先动手的人是你吧。\n而且，别以为对拥有国家权力的斑鸠警察，\n职场霸凌这种概念能派上用场。”
「く…っ！これが権力ってやつか…っ！」	“可恶……！这就是所谓的权力吗……！”
「権力に屈してるようだが、\n単純にお前が仕事サボってただけだからな。」	“你看起来像是屈服于权力，\n其实单纯只是你一直在偷懒。”
「これでわかったでしょう？ノヴァさん。\n真田警部……いや、斑鳩警察には逆らえないと。」	“这下明白了吧，诺瓦小姐。\n真田警部……不，是斑鸠警察，根本不能违抗。”
「<ruby=ちゃばん>茶番</ruby>は終わりだ。\nさっさと任務に戻れ。\n一刻も早くフェイリクスを<ruby=ほばく>捕縛</ruby>するのだ。」	“<ruby=ちゃばん>闹剧</ruby>到此为止。\n赶紧回去执行任务。\n尽快<ruby=ほばく>逮捕</ruby>费利克斯。”
「い、嫌だ…っ！」	“不、不要……！”
「は、働きたくない…！\n働きたくないでござる…っ！」	“我、我不想工作……！\n在下不想工作……！”
「本音が出てるぞ。」	“说出真心话了。”
「1週間だ。」	“给你一周。”
「へ？」	“啊？”
「あと１週間以内に何の進捗も出なければ\n<ruby=きこういん>機巧院</ruby>。貴様の給与を<ruby=げんきゅうしょぶん>減給処分</ruby>とする。」	“一周之内要是还拿不出任何进展，\n<ruby=きこういん>机巧院</ruby>，你的工资就<ruby=げんきゅうしょぶん>扣减</ruby>。”
「な…っ！なんて卑劣な…っ！\n給与を人質にするんじゃあないっ！」	“什么……！太卑鄙了……！\n不许拿工资当人质！”
「それが嫌なら結果を出せ。\n話は以上だ。」	“不想这样就拿出成果。\n我要说的就这些。”
「うわああああああーーーーーーっ！！！」	“呜哇啊啊啊啊啊啊——————！”
「なるほど。\nフェイリクス捕獲任務における\n進捗を出せ、か。」	“原来如此。\n要拿出费利克斯捕获任务的\n进展吗。”
「助けて。ドクえもーん。\n何かしら進捗をでっち上げないと\n真田警部に給料を減らされちゃうよー。」	“救救我，哆啦A梦。\n要是不编出点进展，\n工资就要被真田警部扣光啦。”
「なんででっち上げる前提なんだよ。」	“为什么前提是要编啊？”
「我々は諜報部ですからねえ。\n情報ならある事無い事、\nすべて操作する事が出来るのですよ。」	“我们可是情报部嘛。\n只要是情报，不论真假，\n都可以全部操纵。”
「……なんて邪悪な考えをしてやがる。\nこいつら本当に警察官なのか？」	“……这帮家伙的想法真邪恶。\n他们真的是警察官吗？”
「っていうか、影山。\nお前も斑鳩警察と絡んでたんだな。」	“话说回来，影山。\n你也和斑鸠警察有来往啊。”
（まぁ、ノヴァが斑鳩警察官な時点で\nノヴァの開発者の影山が\n関係してるのも不思議じゃないが。）	（也是，既然诺瓦是斑鸠警察官，\n身为诺瓦开发者的影山\n和他们有关系也不奇怪。）
「斑鳩警察とはビジネスパートナーの<ruby=あいだがら>間柄</ruby>。\n私のビジネスのお<ruby=とくいさま>得意様</ruby>。\nつまりはクライアントという事だ。」	“斑鸠警察是我的商业<ruby=あいだがら>伙伴</ruby>。\n是我生意上的<ruby=とくいさま>老主顾</ruby>。\n也就是客户。”
「影山さんには我々諜報部も\n力をお借りする事がありましてねえ。\nとても助かっているのですよ。」	“影山先生，我们情报部\n有时也会借助您的力量。\n真是帮了大忙。”
「天道。先日の案件の請求書を送っておいた。\n月末までに振り込んでおきたまえ。」	“天道，我已经把上次案件的账单发给你了。\n在月底前把钱汇过来。”
「ひええぇ…。\n請求書の中身を見るのが怖いですねえ…。」	“咿——……\n我都不敢看账单内容了……”
「安心したまえ。斑鳩警察はお得意様だ。\n良心的な価格に設定しておいた。」	“放心吧。斑鸠警察是老客户，\n我给你们定的是良心价。”
「そう言ってこの前も<ruby=ほうがい>法外</ruby>な値段を\n請求された気がしますが。」	“你上次也是这么说的，\n结果收了我<ruby=ほうがい>天价</ruby>账单。”
「成果に対する対価を請求したに過ぎん。\n支払うのが嫌ならお前達、\n斑鳩警察の力だけで何とかするのだな。」	“我不过是在收取成果应得的报酬。\n要是不想付钱，\n你们就只靠斑鸠警察自己的力量解决吧。”
「はぁ…。痛い所を付いてきますねえ…。\nそれが出来ないから\n影山さんに依頼しているというのに。」	“唉……真是哪壶不开提哪壶……\n正因为我们办不到，\n才会委托影山先生啊。”
「はいはい。わかりましたよ。\nとりあえず請求書は経理に回しておくので\n支払いはお待ちください。」	“好好好，知道了。\n我会先把账单交给财务，\n付款请稍等。”
「毎度。今後もよろしく頼む。」	“承蒙关照，以后也请多多合作。”
（どうやら斑鳩警察は影山に弱みを握られてるようだ。\n警察を良い金ヅルにするとは影山の奴、\nタダモノじゃないな。）	（看来斑鸠警察被影山抓住了把柄。\n能把警察当成优质摇钱树，\n影山那家伙果然不是普通人。）
「ちょっとちょっとー。ドクター。\n天道さんとばかり話して無いで\n自分のお悩み聞いてくださいよォー。」	“等一下等一下，博士。\n别光顾着和天道先生说话，\n也听听我的烦恼嘛——”
「やれやれ。科学室から引っ越してから\n<ruby=おとさた>音沙汰</ruby>が無いと思えば\n真田に<ruby=しゅどうけん>主導権</ruby>を握られていたとはな。」	“真是的。我还以为搬离科学室后\n就<ruby=おとさた>杳无音讯</ruby>了，\n没想到<ruby=しゅどうけん>主导权</ruby>竟落在真田手里。”
「我々の<ruby=てんてき>天敵</ruby>はフェイリクスではなく\n真田警部なのかもしれないッス。」	“我们的<ruby=てんてき>天敌</ruby>或许不是费利克斯，\n而是真田警部。”
「フェイリクスの洗脳はオートマタである\n自分には効かないッスが、真田警部は自分の<ruby=きゅうりょう>給料</ruby>を\n<ruby=げんきゅう>減給</ruby>する特殊能力を持ってるッス。」	“费利克斯的洗脑对身为自动人偶的我无效，\n但真田警部拥有把我的<ruby=きゅうりょう>工资</ruby>\n<ruby=げんきゅう>扣减</ruby>的特殊能力。”
「<ruby=せま>迫</ruby>り来る<ruby=きょうい>脅威</ruby>、そして絶望。\n今、まさに自分の給料の<ruby=せいさつよだつ>生殺与奪</ruby>は真田警部に\n握られているんス。」	“<ruby=せま>逼近</ruby>的<ruby=きょうい>威胁</ruby>，以及绝望。\n现在，我的工资<ruby=せいさつよだつ>生杀予夺</ruby>，\n正掌握在真田警部手中。”
「早く…！早くなんとかしないと…！」	“得快点……！不快点想办法……！”
「任務遂行や洗脳された生徒達の解放ではなく\n自分の給料を守る為への<ruby=しゅうねん>執念</ruby>がすごいな。\nまさに金の<ruby=もうじゃ>亡者</ruby>だ。」	“不是为了完成任务、解放被洗脑的学生，\n而是为了保住自己的工资，这份<ruby=しゅうねん>执念</ruby>真惊人。\n简直就是金钱<ruby=もうじゃ>亡灵</ruby>。”
「ノヴァさんはお金大好きですからねえ。」	“毕竟诺瓦小姐最喜欢钱了。”
「ふむ。ところで川島。\n少し見ないうちに随分と１３号との\n親密度を上げたようだな。」	“嗯。话说回来，川岛。\n才一阵子没见，\n你和十三号的亲密度似乎提高了不少。”
「確かに引っ越したってのもあって\nここ最近ノヴァとずっと一緒に居るからな。\n多少は仲良くなってるかもしれねえ。」	“确实也是因为搬了家，\n最近一直和诺瓦待在一起。\n或许多少熟悉了一些吧。”
「多少ってなんだ。多少って。\nもっとノヴァちゃんを褒めて、\n持ち上げて、<ruby=あが>崇</ruby>め<ruby=たてまつ>奉</ruby>りなさい。」	“多少是什么意思？多少？\n再多夸夸诺瓦酱，\n把她捧起来，<ruby=あが>崇</ruby>拜她、<ruby=たてまつ>奉</ruby>承她。”
「しかし、影山。\nなんでそんな事がわかるんだ？」	“不过，影山。\n你怎么知道这种事？”
「お前達に搭載されている<ruby=ぎじこんぱく>疑似魂魄</ruby>から\n<ruby=どうちょうりつ>同調率</ruby>のデータを直接取得する事が出来る。」	“我可以从你们搭载的<ruby=ぎじこんぱく>模拟魂魄</ruby>中，\n直接取得<ruby=どうちょうりつ>同步率</ruby>数据。”
