# Chapter 1 continuation: parental briefing and infiltration
「よし。作戦内容は決まった。\n直ちに保護者説明会を執り行う。」	“好，作战内容确定。\n现在立即召开家长说明会。”
「それだけカグヤさんの権力が\n上という事ですねえ。」	“这说明辉夜小姐的权力\n在他之上。”
「権力に屈する真田警部が見れるのは今だけ！」	“能看到向权力低头的真田警部，只有现在！”
「作戦自体は悪くないわ。\nただ、破壊工作を行う実行班は\n信用していいのかしら？」	“行动本身不错。\n不过，负责破坏行动的执行队\n值得信任吗？”
「任務達成率１００％。\n狙った獲物は逃さない。\n諜報部のエースである自分にお任せあれ。」	“任务达成率100%。\n盯上的猎物绝不放过。\n交给谍报部王牌的我吧。”
「安心しな。壊すのは得意だ。\n洗脳装置だけとは言わず拠点ごと\nぶっ壊してやるぜ。」	“放心，破坏可是我的强项。\n别说洗脑装置，\n我连据点一起轰烂。”
「………不安ね。\n本当にあれに任せて\n大丈夫なのかしら？」	“……真让人不安。\n把任务交给那两个人，\n真的没问题吗？”
「ご、ご安心を…！\nああみえて諜報部でも実績のある者達です。\n必ずや作戦成功に導いてくれるでしょう。」	“请、请放心……！\n他们看起来那样，其实在谍报部也有功绩。\n一定会带领行动走向成功。”
「そら！お前達もアピールせんか！」	“喂！你们也展示一下自己！”
「やる気あります！\n頑張ります！\nお客様は神様です！」	“我们很有干劲！\n一定努力！\n顾客就是上帝！”
「体力に自信あります！\n言われた事やります！\n仕事に文句言いません！」	“我们对体力有信心！\n叫我们做什么就做什么！\n绝不抱怨工作！”
「あーあ。こりゃダメだ。\nカグヤちゃん、\nますます不安になっちゃってる。」	“唉，这下完了。\n辉夜酱\n越来越不安了。”
「コイツラ、\nバイトみたいな事言ッテルゾー。」	“这两个人\n说话像兼职工一样。”
「まぁ、パッと見、\n<ruby=うさんくさ>胡散臭</ruby>い二人組なのは事実ですからねえ。」	“毕竟从表面看，\n他们确实是两个<ruby=うさんくさ>可疑</ruby>的家伙。”
「カグヤさん。\nここはお二人に任せてみませんか？」	“辉夜小姐，\n不如把任务交给他们两位？”
「……ステラさん？」	“……斯特拉小姐？”
「カグヤさんも見たでしょう？\nあの二人の<ruby=きこうしょうぶ>機巧勝負</ruby>を。」	“辉夜小姐也看到了吧？\n那两人的<ruby=きこうしょうぶ>机巧对决</ruby>。”
「あれほど息の合っていて\n誰よりも勝利に<ruby=どんよく>貪欲</ruby>な二人組は\nなかなか居ません。」	“如此默契、\n比任何人都<ruby=どんよく>渴望</ruby>胜利的组合，\n实在少见。”
「この先、どんな困難が待ち受けていようとも\n二人ならきっと乗り越えて行けると思うんです。」	“无论前方有什么困难，\n我相信他们两人一定能克服。”
「だからあの二人に託しましょう。\nこの作戦の行く末、私達の……\n聖皇学園の子供達の未来を。」	“所以就把一切托付给他们吧。\n这次行动的未来，以及我们……\n圣皇学园孩子们的未来。”
「大丈夫だって！カグヤちゃん！\nユートとノヴァちゃんならやれるよ！」	“没问题的，辉夜酱！\n悠斗和诺瓦酱一定能做到！”
「だって二人はオートマタなんだから！」	“因为他们可是自动人偶！”
「…………まぁ、いいでしょう。\nどのみち他に選択肢は無いようだしね。」	“……好吧。\n反正似乎也没有别的选择。”
「機巧院さん、川島さん。\nあなた達に洗脳装置の破壊を任せます。」	“机巧院小姐、川岛先生。\n洗脑装置的破坏任务就交给你们。”
「ああ、任せろ。」	“好，交给我们。”
「必ず成功させなさい。\nもし失敗してサツキにもしもの事があれば\nあなた達の首を刎ねます。文字通り。」	“必须成功。\n如果失败导致皋月有个三长两短，\n我会砍下你们的脑袋，字面意义上的。”
（カグヤは刀を掴み、\n俺達に向けて<ruby=さや>鞘</ruby>から刃を見せつける。）	（辉夜握住刀，\n对着我们从<ruby=さや>刀鞘</ruby>中亮出刀刃。）
（………この人、本気じゃん。\n本気で首持ってこうとしてるよ。）	（……这人是认真的。\n她真的打算砍下我们的脑袋。）
「は……はい。\n頑張りまするでする、はい。」	“是……是。\n我们会努力的，真的。”
「絶対成功させます。\nまだ死にたくないので。」	“绝对会成功。\n我还不想死。”
「川島さんなら\n<ruby=くびは>首刎</ruby>ねられても平気なんじゃないですか？\nオートマタなんだし。」	“川岛先生的话，\n就算被<ruby=くびは>砍头</ruby>也没事吧？\n毕竟是自动人偶。”
「……いや、なんだろう。\nカグヤに首跳ねられたらオートマタでも\n即死しそうな予感がするんだが。」	“……不知怎么的，\n要是被辉夜砍头，\n我觉得自动人偶也会当场毙命。”
（……あの殺気。そしてあの刀。\n<ruby=こんぱく>魂魄</ruby>を直接攻撃して来そうな気がするんだよな。）	（……那股杀气，还有那把刀。\n感觉她会直接攻击<ruby=こんぱく>魂魄</ruby>。）
