# Chapter 1 continuation: automata, maid work, and Satsuki's pursuer
「な、なるほど！つまり、\n<ruby=だいさんせだいがた>第三世代型</ruby>が今後発展すれば\n理想の彼女を作り出すことが出来るじゃないか！」	“原、原来如此！也就是说，\n只要<ruby=だいさんせだいがた>第三代机型</ruby>今后继续发展，\n就能创造出理想的女朋友！”
「ルックス、スタイル、性格、<ruby=しゅみしゅこう>趣味趣向</ruby>！\nすべて俺好みにオーダーメイドしたオートマタが…ッ！\n最強の彼女が誕生するって事だぜ！」	“长相、身材、性格和<ruby=しゅみしゅこう>兴趣爱好</ruby>！\n一切都按照我的喜好量身定制的自动人偶……！\n这不就能诞生最强的女朋友了吗！”
「や、やべえ…！未来が明るい…ッ！\n凄すぎるぜ<ruby=ていこくじゅうこう>帝国重工</ruby>…ッ！」	“太、太棒了……！未来一片光明……！\n太厉害了，<ruby=ていこくじゅうこう>帝国重工</ruby>……！”
「川島さん、川島さん。」	“川岛先生，川岛先生。”
（ノヴァは急に自分自身を指さした。）	（诺瓦突然指向自己。）
「え？なにしてんの？」	“欸？你在干什么？”
「ここに居るじゃない。理想の彼女が。」	“理想的女朋友，不就在这里吗？”
「あー……そうだねぇ……。」	“啊——……是啊……”
「ちょっと何でそこでテンション下がってるんスか。\n失礼ッスねー。」	“等一下，你为什么突然没精神了？\n很失礼啊——。”
「自分とのデート中だって事、忘れないで欲しいッス。\nぷんぷん。」	“请别忘了你还在和我约会。\n气鼓鼓。”
（ノヴァは機嫌を損ねたのか\n腕を組み、口をへの字にして怒っていた。）	（诺瓦似乎闹起了脾气，\n抱起双臂，嘴角撇成八字生着气。）
「はー。ごちそうさまー。\nいやー、食べた食べた。」	“哈——，多谢款待——。\n哎呀，吃得真饱。”
「川島さんは\n何も食べなくて良かったんスか？」	“川岛先生\n什么都不吃，真的没关系吗？”
「いや、俺お前と違って食事出来ないんだけど。\nっていうか、今さっき飯食えるの\n<ruby=だいさんせだいがた>第三世代型</ruby>だけって言ってたじゃん。」	“不，我和你不同，根本没法吃饭。\n话说，你刚才不是才说过，\n只有<ruby=だいさんせだいがた>第三代机型</ruby>能吃饭吗？”
「ははは。そうでしたなー。\nめんごめんご。」	“哈哈哈，好像是哦——。\n抱歉抱歉。”
（こいつマジでオートマタと思えないほど\nテキトーだよな。\n<ruby=だいさんせだいがた>第三世代型</ruby>って皆こんな感じなのか？）	（这家伙随便得简直不像自动人偶。\n<ruby=だいさんせだいがた>第三代机型</ruby>\n全都是这种德行吗？）
「そういや、\nノヴァってここでバイトしてたのか？\nさっき、メイドとそんな感じの話してたし。」	“对了，\n诺瓦，你在这里打工吗？\n刚才好像和那个女仆聊到了。”
「ええ。当店、人気ナンバーワンの\nゆるふわ小悪魔系ロリっ子メイドのノヴァちゃんとは\nこの私の事でございます。」	“没错。本店人气第一的\n软萌小恶魔系娇小女仆诺瓦，\n正是在下。”
「小悪魔系ロリまではなんとなくわかるが\nゆるふわはどっからきたんだ。」	“小恶魔系娇小女仆还勉强能理解，\n软萌又是从哪儿冒出来的？”
「普段はゆるふわ<ruby=せいそけい>清楚系</ruby>メイドの\nノヴァちゃんが実は\n小悪魔系Sっ子メイドだった！？」	“平时软萌的<ruby=せいそけい>清纯系</ruby>女仆诺瓦，\n真实身份竟然是\n小恶魔系施虐女仆！？”
「実は責められたいMっ気オタクくんのハートを\nガッチリ掴んで離さない！\nこれぞまさにギャップ萌え！」	“牢牢抓住那些其实渴望被欺负的\n受虐宅男之心，绝不放开！\n这正是所谓的反差萌！”
「絶対的な人気を確立するには\nこーゆー意外性にとんだパンチが効いた\n趣向が必要なのですよ。」	“想要确立绝对的人气，\n就需要这种充满意外性、\n冲击力十足的设计。”
「こいつ……できる！」	“这家伙……有一套！”
（冴えわたる洗練された巧みなノヴァの\n営業トークの前に成す術なく\n納得してしまう俺だった。）	（面对诺瓦敏锐、老练又巧妙的\n推销话术，我毫无招架之力，\n就这样被她说服了。）
「お前がメイドカフェで\nバイトしてるのはわかったけど何でまた？\n影山から給料貰ってんだろ？」	“我知道你在女仆咖啡厅打工了，\n可为什么要来这里？\n影山不是会给你发工资吗？”
（なぜこいつだけ給料が支給されて、\n俺が貰えないのは謎でしかないが。）	（不过为什么只有这家伙有工资，\n而我却拿不到，实在是个谜。）
「<ruby=やぼ>野暮</ruby>な質問ですな。\n女の子は色々お金が掛かるのですよ。」	“真是个<ruby=やぼ>不解风情</ruby>的问题。\n女孩子在各方面都很花钱。”
「特に<ruby=デュエリスト>決闘者</ruby>はね。お金を掛けた額が\n戦闘力になるといっても<ruby=かごん>過言</ruby>では無いのです。」	“尤其是<ruby=デュエリスト>决斗者</ruby>。投入的金钱数额\n会转化为战斗力，这样说也毫不<ruby=かごん>夸张</ruby>。”
「……お前の大会優勝トロフィーは\n金の力で小学生達からもぎ取ったものだったのか。」	“……原来你的大赛冠军奖杯，\n是靠金钱的力量从小学生手里夺来的。”
「世の中、<ruby=じゃくにくきょうしょく>弱肉強食</ruby>。強い者が勝つ。\nお金こそパワー。」	“世间本就是<ruby=じゃくにくきょうしょく>弱肉强食</ruby>，强者获胜。\n金钱就是力量。”
「……さ、最低の発想だ。」	“……太、太差劲的想法了。”
「というわけで、ドクターからのお給金では\n足りない分はこうしてメイドカフェで働き\n収入を得ているのです。」	“所以，博士发的工资不够用时，\n我就像这样在女仆咖啡厅工作，\n赚取额外收入。”
「まぁ、動機はどうあれ、\n小遣いは自分で稼いでるってのは偉いよな。」	“不过，不管动机是什么，\n能自己赚零花钱确实值得表扬。”
「えっへん。ノヴァちゃんはとても偉いのです。」	“哼哼。诺瓦可是非常了不起的。”
「今度自分の働きぶりを見に来るといいッス。\n人気ナンバーワンメイドの輝きというものを\nご覧にいれましょう。」	“下次可以来看看我工作时的表现。\n我会让你亲眼见识\n人气第一女仆的光辉。”
「ああ。そうさせてもらうぜ。」	“好，我会来的。”
「あれ…？\nサツキじゃないのか？」	“咦……？\n那不是皋月吗？”
「あ、本当だ。声掛けてみましょう。\nおーい！<ruby=さみだれ>五月雨</ruby>さーん！」	“啊，真的是她。过去打个招呼吧。\n喂——！<ruby=さみだれ>皋月</ruby>同学——！”
「待て…！」	“等一下……！”
（俺は<ruby=とっさ>咄嗟</ruby>にノヴァの口を<ruby=ふさ>塞</ruby>ぐ）	（我<ruby=とっさ>下意识</ruby>地<ruby=ふさ>捂住</ruby>诺瓦的嘴。）
「もがもが。」	“唔唔唔。”
「いきなり何するんスかー！」	“突然干什么啊——！”
「サツキの後ろ。アヤシイ奴が後をつけてる。」	“看皋月后面。有个可疑的家伙在跟踪她。”
黒いオートマタ	黑色自动人偶
（そこにはサツキの歩幅に合わせピッタリと\n後ろを付いてくる怪しいオートマタの姿があった。）	（那里有一台可疑的自动人偶，\n正配合着皋月的步幅，紧紧跟在她身后。）
「何だあのオートマタは？\nサツキのストーカーか？」	“那台自动人偶是怎么回事？\n皋月的跟踪狂吗？”
「人間のストーカーをする\nオートマタって珍しいッスね。」	“会跟踪人类的\n自动人偶还真罕见。”
「どちらにしろサツキの危険が危ない…！\nあのオートマタをとっちめてやる…！」	“不管怎样，皋月现在危险得很……！\n我要去收拾那台自动人偶……！”
（俺が不審なオートマタに近づこうとした瞬間――――――）	（就在我准备接近那台可疑自动人偶的瞬间――――――）
「キャー！弾丸ライナーの打球が飛んでくるわッ！」	“呀！一记子弹般的平飞球打过来了！”
「危ない！女子高生に当たるぞッ！」	“小心！要打中那个女高中生了！”
（どこからともなく飛んで来た<ruby=こうしきやきゅう>硬式野球</ruby>ボールの\n弾道の先にサツキの姿があった！\nまずい…！あれは直撃コースだ！）	（一颗不知从何处飞来的<ruby=こうしきやきゅう>硬式棒球</ruby>，\n弹道前方正是皋月！\n糟了……！那会直接命中！）
（その時、怪しい黒いオートマタが\n弾丸ライナーのボールをキャッチし、\nサツキへの直撃を防いだ！）	（这时，那台可疑的黑色自动人偶\n接住了子弹般飞来的棒球，\n阻止它直接命中皋月！）
