# Chapter 1 continuation: Nova's livestream
「……ッ！」	“……！”
「ちょい待ち。\n……ほい、ちょっと上げたッス。」	“等一下。\n……好了，稍微调高了。”
（ノヴァはリスナーからのコメントを\n読みながら音量のバランスを確認し\n慣れた手つきで機材の調整を行う。）	（诺瓦一边阅读听众评论，\n一边确认音量平衡，\n熟练地调整设备。）
「お、バッチリッスね。\nそれじゃ始めていきまっしょー。\nよろしくッスー。」	“哦，完美。\n那么我们开始吧——\n请多关照。”
「さてさて、<ruby=ツイックス>TwiX</ruby>で告知したとおり\n今日は重大発表がありますぞ。」	“好了好了，正如我在<ruby=ツイックス>TwiX</ruby>上预告的，\n今天有重大消息要宣布。”
「皆はどんな内容か予想出来たかなー？」	“大家猜到是什么消息了吗？”
リスナーコメントA	听众评论A
「い、一体どんな内容なんだ……！」	“究、究竟是什么消息……！”
リスナーコメントB	听众评论B
「まったく予想が出来ねえ…っ！\nいつも唐突過ぎるぜノヴァちゃん…っ！」	“完全猜不到……！\n诺瓦酱总是这么突然……！”
リスナーコメントC	听众评论C
「ざわ……ざわ……！」	“窸窸窣窣……！”
「重大発表…！それは…ッ！」	“重大消息……！那就是……！”
リスナーコメント欄	听众评论区
「ごくり…！」	“咕嘟……！”
「今日から同棲生活始めました！」	“从今天开始，我们同居啦！”
「―――――――――は？」	“——————哈？”
（ノヴァの重大発表という名の\n爆弾発言により\nコメント欄の時が止まる。）	（诺瓦这番名为重大消息的爆炸发言，\n让评论区的时间\n仿佛停止了。）
「う、嘘……だろ……？\n同…棲……？」	“骗、骗人的吧……？\n同……居……？”
「それってつまり……\nノヴァちゃんに彼氏が出来た……？」	“也就是说……\n诺瓦酱交男朋友了……？”
「つまり、俺達のアイドルノヴァちゃんが\n俺達のアイドルじゃ無くなったという事か…？」	“也就是说，我们的偶像诺瓦酱\n不再属于我们的偶像了……？”
リスナーコメントD	听众评论D
「あ……あぁ……っ。」	“啊……啊啊……”
「うわあああああーーーーー！！\n俺達のノヴァちゃんが\n寝取られたぁああーーーッ！！」	“呜哇啊啊啊啊————！！\n我们的诺瓦酱\n被人抢走了啊啊啊——！！”
（案の定だがノヴァのファンである\nリスナー達は<ruby=あびきょうかん>阿鼻叫喚</ruby>となる。）	（不出所料，身为诺瓦粉丝的听众们\n陷入了<ruby=あびきょうかん>阿鼻叫喚</ruby>。）
「おおー。凄いコメント数ッスねー。\nコメ欄のスクロールが早すぎてまるで読めねーッス。」	“哦——评论数量真多。\n评论区滚动得太快，根本看不清。”
「いやー。そんなに喜んでもらえるとは\nこれはいいサプライズでしたなー。」	“哎呀，没想到大家会这么高兴。\n这真是个精彩的惊喜。”
「まったく喜んでねぇよ！\nむしろ悲しんでるよ！」	“根本没人高兴！\n大家明明都在悲伤！”
「嘘だと言ってよノヴァちゃん！」	“诺瓦酱，告诉我这是假的！”
「さーて。場も温まって来たことだし\n同棲相手の紹介といきましょー。」	“好了，气氛也热起来了，\n接下来介绍一下我的同居对象吧。”
（リスナーのコメントの叫びをまるで\n意に介さずマイペースに進行するノヴァ。\nリスナーを石ころ程度にしか思ってないのではないか。）	（诺瓦完全不在意听众评论中的哀嚎，\n自顾自地按自己的节奏推进。\n她该不会只把听众当成石头吧。）
（っていうか、同棲相手紹介って\nまさか俺がこの場に呼ばれたのは……？）	（话说回来，介绍同居对象……\n难道我被叫到这里就是因为……？）
「紹介しよう！これから我が<ruby=きょじょう>居城</ruby>で\n一緒に暮らす事になったパートナー！\nメカワシマだー！」	“来介绍一下！今后将和我一起住在<ruby=きょじょう>居城</ruby>里的伙伴！\n我亲爱的搭档！\n机械川岛——！”
「………は？」	“………哈？”
「『は？』じゃないッスよ。\nメカワシマさん。\nリスナーの皆さんに挨拶ッス。」	“不是‘哈？’啦。\n机械川岛先生，\n快向各位听众打招呼。”
「いきなり呼び出されて\nどんな無茶ぶりだ。\nつーか、配信に出るとか聞いてねーんだが。」	“突然把我叫来，\n到底是什么乱来的要求。\n而且我可没听说要上直播。”
「そりゃサプライズ感を演出する為ッスよ。\nネタバレしたら面白くないじゃん。」	“当然是为了制造惊喜感。\n提前剧透就不好玩了嘛。”
「別に俺には教えてもよくね？\nそこはサプライズ感いらないよね？」	“告诉我也没关系吧？\n我这边就不用制造惊喜了吧？”
「え…？何コレ？\nオートマタ…？」	“咦……？这是什么？\n自动人偶……？”
「っていうか、オートマタって\nこんな流暢に受け答えできたっけ…？」	“话说，自动人偶\n原来能这么流畅地对答吗……？”
「す、すげえ…なんだこれ。\nマスターと普通に会話してる…！」	“好、好厉害……这是什么。\n居然能和主人正常交谈……！”
「ほほー。さすが自分のリスナー達。\n既にメカワシマさんの凄さに\n気付いたようッスね。」	“哦哦，不愧是我的听众。\n已经发现机械川岛先生的厉害之处了。\n”
「ほら。何ボサっとているんスか。\nメカワシマさん。リスナーの皆さんに挨拶ッス。」	“别发什么呆。\n机械川岛先生，向各位听众打招呼。”
（まじかよ。どんな無茶ぶりだ。\n俺は舌打ちしながらも、言われた通り\n挨拶をする。）	（真的假的，这是什么乱来的要求。\n我一边咂舌，还是照她说的\n打了招呼。）
「こんにちは。リスナーの皆さん。\nノヴァさんのパートナーをやらせてもらってる\nメカワシマです。」	“各位听众，大家好。\n我是诺瓦小姐的搭档，\n机械川岛。”
「おお…！ちゃんと挨拶出来るオートマタだ…！」	“哦……！是会好好打招呼的自动人偶……！”
「まさか同棲相手の彼氏と見せかけて\nこんな隠し玉を持ってくるとは…っ！」	“没想到她假装同居对象是男朋友，\n其实藏着这么一张王牌……！”
「だけど何故唐突にオートマタが…！？」	“不过为什么突然出现自动人偶……！？”
「ふふっ。このメカワシマさんは\nそんじゃそこらのオートマタとはワケが違うんスよ。」	“呵呵，这位机械川岛先生\n和普通自动人偶可不是一个级别。”
「何と！一般には流通していない\n<ruby=ていこくじゅうこう>帝国重工</ruby>・<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>で\n開発された超レアな実験機！」	“什么！这是一般市场上绝不流通、\n由<ruby=ていこくじゅうこう>帝国重工</ruby>·<ruby=せいたいこうがくけんきゅうじょ>生物工程研究所</ruby>\n开发的超稀有实验机！”
