# Chapter 1 continuation: Yuto reveals his identity
「でも、ちょっと待ってよ！」	“不过，等一下！”
「いいだろう。俺が川島ユートである事を\n証明しようじゃないか。」	“好吧。就让我来证明，\n我正是川岛悠斗。”
「へえ。面白い。\nではお手並み<ruby=はいけん>拝見</ruby>と行きましょうか。」	“哦？有意思。\n那就让我们<ruby=はいけん>见识</ruby>一下你的本事吧。”
「俺はユリ姉の<ruby=イトコ>従弟</ruby>。つまり<ruby=おとうと>弟</ruby>。\n幼き頃からユリ姉と１つ屋根の下で暮らしている。」	“我是百合姐的<ruby=イトコ>表弟</ruby>，也就是她的<ruby=おとうと>弟弟</ruby>。\n从小便和百合姐住在同一个屋檐下。”
「つまり、俺はユリ姉のすべてを知っている。」	“换句话说，我知道百合姐的一切。”
「へー。それは聞き捨てなら無いわね。」	“哦？这话我可不能当作没听见。”
「私はユリヒメの親友。\nつまり、私よりユリヒメに詳しいって\nそう言いたいわけ？」	“我是百合姬最好的朋友。\n也就是说，你想说自己\n比我更了解百合姬？”
「無論だ。\nじゃあ、俺にユリ姉の事を質問してみな。\n<ruby=ひゃっぱつひゃくちゅうぜんもんせいかい>百発百中全問正解</ruby>してやるぜ。」	“当然。\n尽管问我有关百合姐的问题吧。\n我会<ruby=ひゃっぱつひゃくちゅうぜんもんせいかい>百发百中、全部答对</ruby>。”
「望むところよ。それじゃ私が出題する\nユリヒメ<ruby=けんていじゅんにきゅう>検定準二級</ruby>に合格出来たら\nあんたを川島ユートと認めてあげるわ。」	“正合我意。那就由我出题，\n只要你能通过百合姬<ruby=けんていじゅんにきゅう>鉴定准二级</ruby>，\n我便承认你是川岛悠斗。”
「いいのかい？ユリヒメ<ruby=けんていいっきゅう>検定１級</ruby>じゃなくて？」	“这样好吗？不用百合姬<ruby=けんていいっきゅう>鉴定一级</ruby>？”
「ユリヒメ<ruby=けんていいっきゅう>検定１級</ruby>なんてやったら\nそれこそユリヒメが<ruby=まるはだか>丸裸</ruby>にされちゃうわよ。\n<ruby=けつえんかんけい>血縁関係</ruby>の<ruby=しょうめいていど>証明程度</ruby>なら<ruby=じゅんにきゅう>準二級</ruby>で十分だわ。」	“要是进行百合姬<ruby=けんていいっきゅう>鉴定一级</ruby>，\n百合姬可真要被扒得<ruby=まるはだか>一丝不挂</ruby>了。\n只是<ruby=けつえんかんけい>血缘关系</ruby>的<ruby=しょうめいていど>证明</ruby>，<ruby=じゅんにきゅう>准二级</ruby>就足够。”
「ユリ姉を<ruby=まるはだか>丸裸</ruby>にしてやりたいところだが、\nまぁ、<ruby=じゅんにきゅう>準二級</ruby>でいいってんなら俺はいいぜ。」	“虽然我很想把百合姐扒得<ruby=まるはだか>一丝不挂</ruby>，\n不过你说<ruby=じゅんにきゅう>准二级</ruby>就行，那我没意见。”
「っていうか、ユリヒメ<ruby=けんていいっきゅう>検定１級</ruby>とか<ruby=じゅんにきゅう>準二級</ruby>とか。\nそんな検定存在するんですか？」	“话说回来，什么百合姬<ruby=けんていいっきゅう>鉴定一级</ruby>、<ruby=じゅんにきゅう>准二级</ruby>的。\n真有这种鉴定吗？”
「彼らの中では存在するんでしょうな。\n彼らの中では。」	“在他们的世界里大概是存在的吧。\n在他们的世界里。”
「……こんな事で本当に証明になるのかしら？」	“……这种事真的能算证明吗？”
「……ドキドキします！」	“……好紧张！”
「イイカラ、サッサトハジメロー！」	“别磨蹭了，赶紧开始！”
