# Chapter 1 continuation: the card shop
<ruby=デュエリスト>決闘者</ruby>A	<ruby=デュエリスト>决斗者</ruby>A
「さあ！来てくれ！\nマイフェイバリットカード！」	“来吧！给我出来！\n我最爱的卡牌！”
「デステニードローッ！」	“命运抽卡！”
（ノヴァはパックを開封し、\n５枚のカードをドローする。）	（诺瓦拆开卡包，\n从中抽出五张卡。）
「き、来た……っ！」	“出、出来了……”
「５０００円の超レアカードッ！\n<ruby=こんぱくゆうごう>魂魄融合</ruby>を引き当てたぞぉおおおーーーーッ！！」	“五千日元的超稀有卡！\n我抽到《<ruby=こんぱくゆうごう>魂魄融合</ruby>》啦啊啊啊————！！”
（ノヴァは勝利のガッツポーズをしながら\n一枚のレアカードを天高く掲げる。）	（诺瓦摆出胜利姿势，\n将那张稀有卡高高举向天空。）
「ちょっ。見られてる見られてる！\n恥ずかしいから抑えて抑えて！」	“喂，大家都在看，都在看！\n太丢人了，冷静一点！”
「まさか一発でレアカード引き当ててしまうとは\nこれが持ってるってやつッスねー。\nいやはや自分の強運が怖い。」	“没想到一包就抽中了稀有卡，\n这就是所谓的天选之人吧——。\n哎呀，我这强运真让自己害怕。”
「最強デッキに仕上げるにはあと２枚引き当てる必要は\nあるッスけど今日はこのぐらいにしておいてやりますか。」	“要完成最强卡组，还得再抽中两张，\n不过今天就暂且到此为止吧。”
「さて、気分は<ruby=じょうじょう>上々</ruby>ですし、\nそろそろ引き上げるとしましょう。」	“好了，现在心情<ruby=じょうじょう>大好</ruby>，\n差不多该打道回府了。”
（ノヴァはレアカードを自分のデッキにセットすると\n上機嫌のまま店を出て行った。）	（诺瓦把稀有卡放进自己的卡组，\n心情愉快地走出了店门。）
